qualifyid,raceid,driverid,constructorid,position,year,round,circuitid,circuitref,car_condition,driver_condition,previous_year_position,mean_lap_time,driver_time_better_mean,car_time_better_mean,q1
9116.0,1051,1.0,131.0,1.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-885.1999999999971,-827.6999999999971,81901.0
9118.0,1051,822.0,131.0,3.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-770.1999999999971,-827.6999999999971,82016.0
9117.0,1051,830.0,9.0,2.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-790.1999999999971,-589.1999999999971,81996.0
9126.0,1051,815.0,9.0,5.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-388.1999999999971,-589.1999999999971,82398.0
9122.0,1051,832.0,6.0,4.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-482.1999999999971,-263.1999999999971,82304.0
9128.0,1051,844.0,6.0,13.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-44.19999999999709,-263.1999999999971,82742.0
9120.0,1051,4.0,214.0,6.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-364.1999999999971,-292.6999999999971,82422.0
9124.0,1051,839.0,214.0,11.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-221.1999999999971,-292.6999999999971,82565.0
9123.0,1051,852.0,213.0,7.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-328.1999999999971,-289.6999999999971,82458.0
9119.0,1051,842.0,213.0,8.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-251.1999999999971,-289.6999999999971,82535.0
9125.0,1051,20.0,117.0,9.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-237.1999999999971,-236.1999999999971,82549.0
9127.0,1051,840.0,117.0,10.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-235.1999999999971,-236.1999999999971,82551.0
9129.0,1051,817.0,1.0,12.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,-98.19999999999709,-22.69999999999709,82688.0
9121.0,1051,846.0,1.0,14.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,52.80000000000291,-22.69999999999709,82839.0
9130.0,1051,847.0,3.0,15.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,76.80000000000291,251.8000000000029,82863.0
9132.0,1051,849.0,3.0,17.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,426.8000000000029,251.8000000000029,83213.0
9131.0,1051,8.0,51.0,16.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,369.8000000000029,422.8000000000029,83156.0
9133.0,1051,841.0,51.0,18.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,475.8000000000029,422.8000000000029,83262.0
9134.0,1051,854.0,210.0,19.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,620.8000000000029,1846.800000000003,83407.0
9135.0,1051,853.0,210.0,20.0,2021.0,20.0,3.0,bahrain,0.0,0.0,20.0,82786.2,3072.800000000003,1846.800000000003,85859.0
8735.0,1052,830.0,9.0,1.0,2021.0,1.0,80.0,yeda,0.0,0.0,20.0,91320.0,-821.0,-488.0,90499.0
8745.0,1052,815.0,9.0,10.0,2021.0,1.0,80.0,yeda,0.0,0.0,20.0,91320.0,-155.0,-488.0,91165.0
8747.0,1052,852.0,213.0,2.0,2021.0,1.0,80.0,yeda,0.0,0.0,20.0,91320.0,-713.0,-592.5,90607.0
8739.0,1052,842.0,213.0,6.0,2021.0,1.0,80.0,yeda,0.0,0.0,20.0,91320.0,-472.0,-592.5,90848.0
8736.0,1052,1.0,131.0,3.0,2021.0,1.0,80.0,yeda,0.0,0.0,20.0,91320.0,-703.0,-411.5,90617.0
