qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
9252.0,1076,840.0,117.0,1.0,2022.0,3.0,1.0,albert_park,50.0,95.0,1.0,20.0,76732.0,-76732.0,-36157.5,0.0,0.0,81372.0
9250.0,1076,20.0,117.0,19.0,2022.0,3.0,1.0,albert_park,50.0,5.0,19.0,20.0,76732.0,4417.0,-36157.5,0.0,0.0,81149.0
9234.0,1076,830.0,9.0,2.0,2022.0,3.0,1.0,albert_park,87.5,90.0,2.0,20.0,76732.0,1848.0,1975.0,0.0,0.0,78580.0
9235.0,1076,815.0,9.0,3.0,2022.0,3.0,1.0,albert_park,87.5,85.0,3.0,20.0,76732.0,2102.0,1975.0,0.0,0.0,78834.0
9233.0,1076,844.0,6.0,4.0,2022.0,3.0,1.0,albert_park,77.5,80.0,4.0,20.0,76732.0,2149.0,2200.0,0.0,0.0,78881.0
9241.0,1076,832.0,6.0,5.0,2022.0,3.0,1.0,albert_park,77.5,75.0,5.0,20.0,76732.0,2251.0,2200.0,0.0,0.0,78983.0
9242.0,1076,4.0,214.0,6.0,2022.0,3.0,1.0,albert_park,55.0,70.0,6.0,20.0,76732.0,2460.0,2666.5,0.0,0.0,79192.0
9240.0,1076,839.0,214.0,12.0,2022.0,3.0,1.0,albert_park,55.0,40.0,12.0,20.0,76732.0,2873.0,2666.5,0.0,0.0,79605.0
9244.0,1076,822.0,51.0,7.0,2022.0,3.0,1.0,albert_park,45.0,65.0,7.0,20.0,76732.0,2519.0,2848.5,0.0,0.0,79251.0
9246.0,1076,855.0,51.0,15.0,2022.0,3.0,1.0,albert_park,45.0,25.0,15.0,20.0,76732.0,3178.0,2848.5,0.0,0.0,79910.0
9236.0,1076,846.0,1.0,8.0,2022.0,3.0,1.0,albert_park,47.5,60.0,8.0,20.0,76732.0,2548.0,2740.5,0.0,0.0,79280.0
9239.0,1076,817.0,1.0,13.0,2022.0,3.0,1.0,albert_park,47.5,35.0,13.0,20.0,76732.0,2933.0,2740.5,0.0,0.0,79665.0
9237.0,1076,1.0,131.0,9.0,2022.0,3.0,1.0,albert_park,52.5,55.00000000000001,9.0,20.0,76732.0,2669.0,2671.0,0.0,0.0,79401.0
9238.0,1076,847.0,131.0,10.0,2022.0,3.0,1.0,albert_park,52.5,50.0,10.0,20.0,76732.0,2673.0,2671.0,0.0,0.0,79405.0
9243.0,1076,842.0,213.0,11.0,2022.0,3.0,1.0,albert_park,37.5,45.0,11.0,20.0,76732.0,2848.0,2929.0,0.0,0.0,79580.0
9245.0,1076,852.0,213.0,14.0,2022.0,3.0,1.0,albert_park,37.5,30.0,14.0,20.0,76732.0,3010.0,2929.0,0.0,0.0,79742.0
9247.0,1076,854.0,210.0,16.0,2022.0,3.0,1.0,albert_park,15.0,20.0,16.0,20.0,76732.0,3372.0,3447.0,0.0,0.0,80104.0
9249.0,1076,825.0,210.0,18.0,2022.0,3.0,1.0,albert_park,15.0,10.0,18.0,20.0,76732.0,3522.0,3447.0,0.0,0.0,80254.0
9248.0,1076,848.0,3.0,17.0,2022.0,3.0,1.0,albert_park,7.5,15.0,17.0,20.0,76732.0,3403.0,4021.5,0.0,0.0,80135.0
