qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
9900.0,847.0,131.0,2024.0,3.0,1.0,9.0,3.0,76732.0,922.0,939.5,0,-141.0,-139.5,11.0,79452.82,4.0
9905.0,840.0,117.0,2024.0,3.0,1.0,3.0,7.0,76732.0,1141.0,1120.5,0,-257.0,-403.0,14.0,79449.72,3.0
9911.0,817.0,213.0,2024.0,3.0,1.0,15.0,13.0,76732.0,2933.0,2740.5,0,-535.0,-374.5,14.0,79427.83,1.0
9901.0,852.0,213.0,2024.0,3.0,1.0,5.0,16.0,76732.0,1739.0,1728.5,0,-372.0,-243.5,17.0,79469.71,5.0
9894.0,830.0,9.0,2024.0,3.0,1.0,14.0,2.0,76732.0,652.0,-38040.0,0,-328.0,-164.0,6.0,79482.4,7.0
9909.0,855.0,51.0,2024.0,3.0,1.0,10.0,18.0,76732.0,1808.0,1895.0,0,0.0,0.0,3.0,79524.88,14.0
9907.0,825.0,210.0,2024.0,3.0,1.0,1.0,11.0,76732.0,1427.0,1362.0,0,-30.0,-323.5,19.0,79734.01,15.0
9896.0,832.0,6.0,2024.0,3.0,1.0,7.0,8.0,76732.0,1196.0,1341.0,0,-579.0,-703.5,8.0,79479.52,6.0
9893.0,844.0,6.0,2024.0,3.0,1.0,7.0,12.0,76732.0,1486.0,1341.0,0,-828.0,-703.5,9.0,79494.19,10.0
9904.0,839.0,214.0,2024.0,3.0,1.0,4.0,5.0,76732.0,1038.0,1309.0,0,-2.0,-370.0,16.0,79430.57,2.0
9903.0,842.0,214.0,2024.0,3.0,1.0,2.0,14.0,76732.0,1580.0,1309.0,0,-738.0,-370.0,13.0,79485.76,8.0
9906.0,846.0,1.0,2024.0,3.0,1.0,6.0,13.0,76732.0,1511.0,1648.0,0,-124.0,-62.0,18.0,79489.08,9.0
9898.0,857.0,1.0,2024.0,3.0,1.0,11.0,17.0,76732.0,1785.0,1648.0,0,0.0,-62.0,3.0,79499.555,11.0
9908.0,848.0,3.0,2024.0,3.0,1.0,12.0,9.0,76732.0,1230.0,1527.5,0,-201.0,-100.5,15.0,79505.13,13.0
9910.0,858.0,3.0,2024.0,3.0,1.0,13.0,19.0,76732.0,1825.0,1527.5,0,0.0,-100.5,3.0,79499.66,12.0
