qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q1,q2
9237.0,1076,1.0,131.0,9.0,2022.0,3.0,1.0,albert_park,52.5,55.00000000000001,9.0,20.0,76732.0,2669.0,2671.0,0.0,0.0,0,-295.0,-312.0,0.0,0.0,13.0,20.0,79401.0,79106.0
9238.0,1076,847.0,131.0,10.0,2022.0,3.0,1.0,albert_park,52.5,50.0,10.0,20.0,76732.0,2673.0,2671.0,0.0,0.0,0,-329.0,-312.0,0.0,0.0,12.0,20.0,79405.0,79076.0
9242.0,1076,4.0,214.0,6.0,2022.0,3.0,1.0,albert_park,55.0,70.0,6.0,20.0,76732.0,2460.0,2666.5,0.0,0.0,0,-377.0,-423.0,0.0,0.0,10.0,20.0,79192.0,78815.0
9240.0,1076,839.0,214.0,12.0,2022.0,3.0,1.0,albert_park,55.0,40.0,12.0,20.0,76732.0,2873.0,2666.5,0.0,0.0,0,-469.0,-423.0,0.0,0.0,15.0,20.0,79605.0,79136.0
9250.0,1076,20.0,117.0,19.0,2022.0,3.0,1.0,albert_park,50.0,5.0,19.0,20.0,76732.0,4417.0,-36157.5,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,20.0,81149.0,0.0
9252.0,1076,840.0,117.0,1.0,2022.0,3.0,1.0,albert_park,50.0,95.0,1.0,20.0,76732.0,-76732.0,-36157.5,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,20.0,81372.0,0.0
9235.0,1076,815.0,9.0,3.0,2022.0,3.0,1.0,albert_park,87.5,85.0,3.0,20.0,76732.0,2102.0,1975.0,0.0,0.0,0,-494.0,-231.5,0.0,0.0,6.0,20.0,78834.0,78340.0
9234.0,1076,830.0,9.0,2.0,2022.0,3.0,1.0,albert_park,87.5,90.0,2.0,20.0,76732.0,1848.0,1975.0,0.0,0.0,0,31.0,-231.5,0.0,0.0,9.0,20.0,78580.0,78611.0
9239.0,1076,817.0,1.0,13.0,2022.0,3.0,1.0,albert_park,47.5,35.0,13.0,20.0,76732.0,2933.0,2740.5,0.0,0.0,0,-535.0,-374.5,0.0,0.0,14.0,20.0,79665.0,79130.0
9236.0,1076,846.0,1.0,8.0,2022.0,3.0,1.0,albert_park,47.5,60.0,8.0,20.0,76732.0,2548.0,2740.5,0.0,0.0,0,-214.0,-374.5,0.0,0.0,11.0,20.0,79280.0,79066.0
9244.0,1076,822.0,51.0,7.0,2022.0,3.0,1.0,albert_park,45.0,65.0,7.0,20.0,76732.0,2519.0,2848.5,0.0,0.0,0,159.0,202.0,0.0,0.0,17.0,20.0,79251.0,79410.0
9246.0,1076,855.0,51.0,15.0,2022.0,3.0,1.0,albert_park,45.0,25.0,15.0,20.0,76732.0,3178.0,2848.5,0.0,0.0,0,245.0,202.0,0.0,0.0,19.0,20.0,79910.0,80155.0
9249.0,1076,825.0,210.0,18.0,2022.0,3.0,1.0,albert_park,15.0,10.0,18.0,20.0,76732.0,3522.0,3447.0,0.0,0.0,1,0.0,180.5,0.0,0.0,3.0,20.0,80254.0,0.0
9247.0,1076,854.0,210.0,16.0,2022.0,3.0,1.0,albert_park,15.0,20.0,16.0,20.0,76732.0,3372.0,3447.0,0.0,0.0,1,361.0,180.5,0.0,0.0,20.0,20.0,80104.0,80465.0
