qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
9900.0,847.0,131.0,2024.0,3.0,1.0,9.0,3.0,76732.0,922.0,939.5,0,-141.0,-139.5,4.0,11.0,0,-545.0,-496.0,12.0,77686.01,2.0
9905.0,840.0,117.0,2024.0,3.0,1.0,3.0,7.0,76732.0,1141.0,1120.5,0,-257.0,-403.0,3.0,14.0,0,-308.0,-226.0,16.0,78068.17,3.0
9911.0,817.0,213.0,2024.0,3.0,1.0,15.0,13.0,76732.0,2933.0,2740.5,0,-535.0,-374.5,1.0,14.0,0,-98.0,-230.5,18.0,78140.914,4.0
9901.0,852.0,213.0,2024.0,3.0,1.0,5.0,16.0,76732.0,1739.0,1728.5,0,-372.0,-243.5,5.0,17.0,0,0.0,0.0,5.5,78707.6,8.0
9894.0,830.0,9.0,2024.0,3.0,1.0,14.0,2.0,76732.0,652.0,-38040.0,0,-328.0,-164.0,7.0,6.0,0,-324.0,-162.0,11.0,77589.29,1.0
9896.0,832.0,6.0,2024.0,3.0,1.0,7.0,8.0,76732.0,1196.0,1341.0,0,-579.0,-703.5,6.0,8.0,0,-79.0,-50.0,15.0,78867.45,10.0
9893.0,844.0,6.0,2024.0,3.0,1.0,7.0,12.0,76732.0,1486.0,1341.0,0,-828.0,-703.5,10.0,9.0,0,-21.0,-50.0,17.0,78437.664,6.0
9904.0,839.0,214.0,2024.0,3.0,1.0,4.0,5.0,76732.0,1038.0,1309.0,0,-2.0,-370.0,2.0,16.0,0,0.0,50.5,5.5,78772.22,9.0
9903.0,842.0,214.0,2024.0,3.0,1.0,2.0,14.0,76732.0,1580.0,1309.0,0,-738.0,-370.0,8.0,13.0,0,101.0,50.5,19.0,78548.586,7.0
9906.0,846.0,1.0,2024.0,3.0,1.0,6.0,13.0,76732.0,1511.0,1648.0,0,-124.0,-62.0,9.0,18.0,0,0.0,0.0,5.5,78324.375,5.0
