qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
9060.0,1069,844.0,6.0,1.0,2021.0,17.0,69.0,americas,82.5,95.0,1.0,20.0,94723.0,-570.0,-367.5,0.0,0.0,94153.0
9061.0,1069,832.0,6.0,6.0,2021.0,17.0,69.0,americas,82.5,70.0,6.0,20.0,94723.0,-165.0,-367.5,0.0,0.0,94558.0
9056.0,1069,830.0,9.0,2.0,2021.0,17.0,69.0,americas,87.5,90.0,2.0,20.0,94723.0,-371.0,-362.5,0.0,0.0,94352.0
9058.0,1069,815.0,9.0,3.0,2021.0,17.0,69.0,americas,87.5,85.0,3.0,20.0,94723.0,-354.0,-362.5,0.0,0.0,94369.0
9062.0,1069,817.0,1.0,4.0,2021.0,17.0,69.0,americas,77.5,80.0,4.0,20.0,94723.0,-316.0,-244.0,0.0,0.0,94407.0
9063.0,1069,846.0,1.0,5.0,2021.0,17.0,69.0,americas,77.5,75.0,5.0,20.0,94723.0,-172.0,-244.0,0.0,0.0,94551.0
9064.0,1069,842.0,213.0,7.0,2021.0,17.0,69.0,americas,55.0,65.0,7.0,20.0,94723.0,-156.0,240.5,0.0,0.0,94567.0
9065.0,1069,852.0,213.0,11.0,2021.0,17.0,69.0,americas,55.0,45.0,11.0,20.0,94723.0,637.0,240.5,0.0,0.0,95360.0
9057.0,1069,1.0,131.0,8.0,2021.0,17.0,69.0,americas,57.5,60.0,8.0,20.0,94723.0,-144.0,-138.5,0.0,0.0,94579.0
9059.0,1069,822.0,131.0,9.0,2021.0,17.0,69.0,americas,57.5,55.00000000000001,9.0,20.0,94723.0,-133.0,-138.5,0.0,0.0,94590.0
9067.0,1069,20.0,117.0,10.0,2021.0,17.0,69.0,americas,35.0,50.0,10.0,20.0,94723.0,558.0,909.0,0.0,0.0,95281.0
9071.0,1069,840.0,117.0,16.0,2021.0,17.0,69.0,americas,35.0,20.0,16.0,20.0,94723.0,1260.0,909.0,0.0,0.0,95983.0
9070.0,1069,847.0,3.0,12.0,2021.0,17.0,69.0,americas,27.5,40.0,12.0,20.0,94723.0,1023.0,1147.5,0.0,0.0,95746.0
9072.0,1069,849.0,3.0,17.0,2021.0,17.0,69.0,americas,27.5,15.0,17.0,20.0,94723.0,1272.0,1147.5,0.0,0.0,95995.0
9066.0,1069,839.0,214.0,13.0,2021.0,17.0,69.0,americas,32.5,35.0,13.0,20.0,94723.0,1024.0,1028.5,0.0,0.0,95747.0
9069.0,1069,4.0,214.0,14.0,2021.0,17.0,69.0,americas,32.5,30.0,14.0,20.0,94723.0,1033.0,1028.5,0.0,0.0,95756.0
9068.0,1069,841.0,51.0,15.0,2021.0,17.0,69.0,americas,17.5,25.0,15.0,20.0,94723.0,1197.0,1392.5,0.0,0.0,95920.0
9073.0,1069,8.0,51.0,18.0,2021.0,17.0,69.0,americas,17.5,10.0,18.0,20.0,94723.0,1588.0,1392.5,0.0,0.0,96311.0
9074.0,1069,854.0,210.0,19.0,2021.0,17.0,69.0,americas,2.5,5.0,19.0,20.0,94723.0,1776.0,1924.5,0.0,0.0,96499.0
9075.0,1069,853.0,210.0,20.0,2021.0,17.0,69.0,americas,2.5,0.0,20.0,20.0,94723.0,2073.0,1924.5,0.0,0.0,96796.0
9553.0,1093,832.0,6.0,1.0,2022.0,19.0,69.0,americas,92.5,95.0,1.0,6.0,94723.0,574.0,823.0,-165.0,-367.5,95297.0
9554.0,1093,844.0,6.0,2.0,2022.0,19.0,69.0,americas,92.5,90.0,2.0,1.0,94723.0,1072.0,823.0,-570.0,-367.5,95795.0
9555.0,1093,830.0,9.0,3.0,2022.0,19.0,69.0,americas,80.0,85.0,3.0,2.0,94723.0,1141.0,1290.5,-371.0,-362.5,95864.0
9556.0,1093,815.0,9.0,5.0,2022.0,19.0,69.0,americas,80.0,75.0,5.0,3.0,94723.0,1440.0,1290.5,-354.0,-362.5,96163.0
9557.0,1093,1.0,131.0,4.0,2022.0,19.0,69.0,americas,75.0,80.0,4.0,8.0,94723.0,1425.0,1448.5,-144.0,-138.5,96148.0
9558.0,1093,847.0,131.0,6.0,2022.0,19.0,69.0,americas,75.0,70.0,6.0,12.0,94723.0,1472.0,1448.5,1023.0,1147.5,96195.0
9561.0,1093,4.0,214.0,7.0,2022.0,19.0,69.0,americas,37.5,65.0,7.0,14.0,94723.0,1723.0,2034.0,1033.0,1028.5,96446.0
9570.0,1093,839.0,214.0,18.0,2022.0,19.0,69.0,americas,37.5,10.0,18.0,13.0,94723.0,2345.0,2034.0,1024.0,1028.5,97068.0
