qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10215.0,1.0,131.0,2024.0,19.0,69.0,7.0,4.0,94723.0,1425.0,1448.5,0,-416.0,-459.5,10.0,96465.54,4.0
10220.0,847.0,131.0,2024.0,19.0,69.0,10.0,6.0,94723.0,1472.0,1448.5,0,-503.0,-459.5,9.0,97420.26,15.0
10217.0,4.0,117.0,2024.0,19.0,69.0,9.0,7.0,94723.0,1723.0,2034.0,0,-458.0,-229.0,12.0,96736.33,6.0
10232.0,807.0,213.0,2024.0,19.0,69.0,8.0,20.0,94723.0,0.0,0.0,0,0.0,0.0,20.0,96720.19,5.0
10231.0,817.0,213.0,2024.0,19.0,69.0,11.0,17.0,94723.0,2323.0,2032.5,0,0.0,-62.0,3.0,96758.41,7.0
10221.0,852.0,213.0,2024.0,19.0,69.0,12.0,13.0,94723.0,2085.0,1969.5,0,339.0,251.0,20.0,97126.86,14.0
10219.0,815.0,9.0,2024.0,19.0,69.0,14.0,5.0,94723.0,1440.0,1290.5,0,-299.0,-434.5,11.0,96770.67,8.0
10216.0,832.0,6.0,2024.0,19.0,69.0,3.0,1.0,94723.0,574.0,823.0,0,293.0,-128.0,8.0,96363.1,1.0
10213.0,844.0,6.0,2024.0,19.0,69.0,4.0,2.0,94723.0,1072.0,823.0,0,-549.0,-128.0,6.0,96412.58,3.0
10224.0,839.0,214.0,2024.0,19.0,69.0,15.0,18.0,94723.0,2345.0,2034.0,0,0.0,-229.0,3.0,96780.74,9.0
10223.0,842.0,214.0,2024.0,19.0,69.0,13.0,9.0,94723.0,1854.0,1969.5,0,163.0,251.0,18.0,96865.99,13.0
10226.0,846.0,1.0,2024.0,19.0,69.0,5.0,8.0,94723.0,1742.0,2032.5,0,-124.0,-62.0,15.0,96412.33,2.0
10218.0,857.0,1.0,2024.0,19.0,69.0,2.0,20.0,94723.0,0.0,0.0,0,0.0,0.0,20.0,96862.414,11.0
10228.0,848.0,3.0,2024.0,19.0,69.0,6.0,15.0,94723.0,2209.0,2365.0,0,-564.0,-282.0,16.0,96821.47,10.0
10230.0,858.0,3.0,2024.0,19.0,69.0,1.0,20.0,94723.0,0.0,0.0,0,0.0,0.0,20.0,96863.414,12.0
