qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,driver_q3vsq2,car_q3vsq2,previous_driver_q3vsq2,previous_car_q3vsq2,position_q3,previous_year_position_q3,q1,q2,q3
9057.0,1069,1.0,131.0,8.0,2021.0,17.0,69.0,americas,57.5,60.0,8.0,20.0,94723.0,-144.0,-138.5,0.0,0.0,0,-782.0,-706.5,0.0,0.0,8.0,20.0,0,-678.0,-581.0,0.0,0.0,12.0,20.0,94579.0,93797.0,93119.0
9059.0,1069,822.0,131.0,9.0,2021.0,17.0,69.0,americas,57.5,55.00000000000001,9.0,20.0,94723.0,-133.0,-138.5,0.0,0.0,0,-631.0,-706.5,0.0,0.0,11.0,20.0,1,-484.0,-581.0,0.0,0.0,14.0,20.0,94590.0,93959.0,93475.0
9069.0,1069,4.0,214.0,14.0,2021.0,17.0,69.0,americas,32.5,30.0,14.0,20.0,94723.0,1033.0,1028.5,0.0,0.0,0,8793.0,4211.5,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,95756.0,104549.0,0.0
9066.0,1069,839.0,214.0,13.0,2021.0,17.0,69.0,americas,32.5,35.0,13.0,20.0,94723.0,1024.0,1028.5,0.0,0.0,0,-370.0,4211.5,0.0,0.0,17.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,95747.0,95377.0,0.0
9073.0,1069,8.0,51.0,18.0,2021.0,17.0,69.0,americas,17.5,10.0,18.0,20.0,94723.0,1588.0,1392.5,0.0,0.0,1,0.0,-63.0,0.0,0.0,18.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,96311.0,0.0,0.0
9068.0,1069,841.0,51.0,15.0,2021.0,17.0,69.0,americas,17.5,25.0,15.0,20.0,94723.0,1197.0,1392.5,0.0,0.0,0,-126.0,-63.0,0.0,0.0,19.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,95920.0,95794.0,0.0
9067.0,1069,20.0,117.0,10.0,2021.0,17.0,69.0,americas,35.0,50.0,10.0,20.0,94723.0,558.0,909.0,0.0,0.0,0,219.0,109.5,0.0,0.0,18.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,95281.0,95500.0,0.0
9071.0,1069,840.0,117.0,16.0,2021.0,17.0,69.0,americas,35.0,20.0,16.0,20.0,94723.0,1260.0,909.0,0.0,0.0,1,0.0,109.5,0.0,0.0,16.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,95983.0,0.0,0.0
9058.0,1069,815.0,9.0,3.0,2021.0,17.0,69.0,americas,87.5,85.0,3.0,20.0,94723.0,-354.0,-362.5,0.0,0.0,0,-191.0,-539.5,0.0,0.0,13.0,20.0,1,-1044.0,-799.0,0.0,0.0,13.0,20.0,94369.0,94178.0,93134.0
9056.0,1069,830.0,9.0,2.0,2021.0,17.0,69.0,americas,87.5,90.0,2.0,20.0,94723.0,-371.0,-362.5,0.0,0.0,0,-888.0,-539.5,0.0,0.0,7.0,20.0,0,-554.0,-799.0,0.0,0.0,11.0,20.0,94352.0,93464.0,92910.0
