qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10215.0,1.0,131.0,2024.0,19.0,69.0,7.0,4.0,94723.0,1425.0,1448.5,0,-416.0,-459.5,4.0,10.0,0,-785.0,-744.5,15.0,94765.086,4.0
10217.0,4.0,117.0,2024.0,19.0,69.0,9.0,7.0,94723.0,1723.0,2034.0,0,-458.0,-229.0,6.0,12.0,0,-112.0,-56.0,19.0,94760.09,2.0
10232.0,807.0,213.0,2024.0,19.0,69.0,8.0,20.0,94723.0,0.0,0.0,0,0.0,0.0,5.0,20.0,0,0.0,0.0,20.0,94824.09,6.0
10231.0,817.0,213.0,2024.0,19.0,69.0,11.0,17.0,94723.0,2323.0,2032.5,0,0.0,-62.0,7.0,3.0,0,0.0,-325.5,5.5,94825.09,7.0
10219.0,815.0,9.0,2024.0,19.0,69.0,14.0,5.0,94723.0,1440.0,1290.5,0,-299.0,-434.5,8.0,11.0,0,-1219.0,-1032.5,14.0,94763.09,3.0
10216.0,832.0,6.0,2024.0,19.0,69.0,3.0,1.0,94723.0,574.0,823.0,0,293.0,-128.0,1.0,8.0,0,-1234.0,-1029.5,11.0,94592.07,1.0
10213.0,844.0,6.0,2024.0,19.0,69.0,4.0,2.0,94723.0,1072.0,823.0,0,-549.0,-128.0,3.0,6.0,0,-825.0,-1029.5,12.0,94811.95,5.0
10224.0,839.0,214.0,2024.0,19.0,69.0,15.0,18.0,94723.0,2345.0,2034.0,0,0.0,-229.0,9.0,3.0,0,0.0,-56.0,5.5,94875.57,9.0
10226.0,846.0,1.0,2024.0,19.0,69.0,5.0,8.0,94723.0,1742.0,2032.5,0,-124.0,-62.0,2.0,15.0,0,-651.0,-325.5,18.0,94871.86,8.0
10228.0,848.0,3.0,2024.0,19.0,69.0,6.0,15.0,94723.0,2209.0,2365.0,0,-564.0,-282.0,10.0,16.0,0,0.0,0.0,5.5,94935.67,10.0
