predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
92106.61,89218.36655992176,90016.40379705769,94796.16300595365,91892.0,91711.2,11.0,1.0,1.0,6.0,1.0,11.0
92108.46,89472.59224889241,90240.60474335449,94843.00171212293,91892.0,92101.6,12.0,5.0,5.0,7.0,1.0,20.0
92128.17,89229.92162654316,90022.97505167767,94774.18217729963,92181.0,91791.0,18.0,2.0,2.0,4.0,10.0,19.0
92055.97,89625.2239144668,90363.70315198263,94795.11897454038,92181.0,91443.6,3.0,7.0,7.0,5.0,10.0,7.0
92058.875,89321.75080977054,90082.79074445402,94646.07771963254,92181.0,91608.2,4.0,3.0,3.0,1.0,10.0,10.0
92136.67,89716.45216043759,90474.30154700298,95015.39739673398,91892.0,91771.8,19.0,9.0,9.0,16.0,1.0,18.0
92100.7,89561.13439342473,90298.67171480553,94720.79994630627,91892.0,91732.6,9.0,6.0,6.0,3.0,1.0,13.0
92114.82,90127.49729179032,90827.90806345292,95033.20795181952,91892.0,91711.2,14.0,14.0,14.0,17.0,1.0,11.0
92117.37,89460.34177089576,90207.33494263748,94691.19160343148,92101.0,91535.6,16.0,4.0,4.0,2.0,6.0,9.0
92071.91,90082.08380339993,90761.3549072292,94846.53059522063,92181.0,91355.6,6.0,13.0,13.0,8.0,10.0,1.0
92103.46,89693.61615545535,90465.17563104315,95093.4573967401,92121.0,91736.6,10.0,8.0,8.0,19.0,8.0,14.0
92049.45,90485.69679543935,91127.92097160558,95005.07260510325,92181.0,91372.8,1.0,19.0,19.0,14.0,10.0,6.0
92113.95,90612.61166622909,91269.48303491971,95220.83439824358,92181.0,91736.6,13.0,20.0,20.0,20.0,10.0,14.0
92052.82,89820.98932992248,90541.92915647698,94869.50705902651,92181.0,91736.6,2.0,11.0,11.0,9.0,10.0,14.0
92098.15,90365.04798934609,91016.49071171822,94936.7109756209,92121.0,91355.6,8.0,17.0,17.0,12.0,8.0,1.0
92144.375,89794.49983430421,90532.10703801864,94960.10243206844,92181.0,91488.0,20.0,10.0,10.0,13.0,10.0,8.0
92120.9,89882.8415959701,90625.22919194004,95078.6090262495,92181.0,91355.6,17.0,12.0,12.0,18.0,10.0,1.0
92071.5,90151.75136580085,90846.16226842639,95015.17169212736,92181.0,91356.4,5.0,15.0,15.0,15.0,10.0,5.0
92093.26,90337.30111907562,90987.64056911168,94899.69971133396,92181.0,91736.6,7.0,16.0,16.0,11.0,10.0,14.0
92116.15,90448.60104010999,91080.9803024747,94890.25716440193,92101.0,91355.6,15.0,18.0,18.0,10.0,6.0,1.0
