qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
8735.0,1052,830.0,9.0,1.0,2021.0,1.0,3.0,bahrain,0.0,0.0,1.0,20.0,89708.0,791.0,1124.0,0.0,0.0,90499.0
8745.0,1052,815.0,9.0,10.0,2021.0,1.0,3.0,bahrain,0.0,0.0,10.0,20.0,89708.0,1457.0,1124.0,0.0,0.0,91165.0
8747.0,1052,852.0,213.0,2.0,2021.0,1.0,3.0,bahrain,0.0,0.0,2.0,20.0,89708.0,899.0,1019.5,0.0,0.0,90607.0
8739.0,1052,842.0,213.0,6.0,2021.0,1.0,3.0,bahrain,0.0,0.0,6.0,20.0,89708.0,1140.0,1019.5,0.0,0.0,90848.0
8736.0,1052,1.0,131.0,3.0,2021.0,1.0,3.0,bahrain,0.0,0.0,3.0,20.0,89708.0,909.0,1200.5,0.0,0.0,90617.0
8737.0,1052,822.0,131.0,11.0,2021.0,1.0,3.0,bahrain,0.0,0.0,11.0,20.0,89708.0,1492.0,1200.5,0.0,0.0,91200.0
8738.0,1052,844.0,6.0,4.0,2021.0,1.0,3.0,bahrain,0.0,0.0,4.0,20.0,89708.0,983.0,1464.0,0.0,0.0,90691.0
8742.0,1052,832.0,6.0,15.0,2021.0,1.0,3.0,bahrain,0.0,0.0,15.0,20.0,89708.0,1945.0,1464.0,0.0,0.0,91653.0
8740.0,1052,817.0,1.0,5.0,2021.0,1.0,3.0,bahrain,0.0,0.0,5.0,20.0,89708.0,1087.0,1140.5,0.0,0.0,90795.0
8741.0,1052,846.0,1.0,8.0,2021.0,1.0,3.0,bahrain,0.0,0.0,8.0,20.0,89708.0,1194.0,1140.5,0.0,0.0,90902.0
8743.0,1052,4.0,214.0,7.0,2021.0,1.0,3.0,bahrain,0.0,0.0,7.0,20.0,89708.0,1155.0,1585.5,0.0,0.0,90863.0
