qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
9875.0,1.0,131.0,2024.0,1.0,3.0,4.0,13.0,89708.0,-1835.0,-1592.0,0,-1030.0,-790.0,10.0,91255.08,4.0
9877.0,4.0,117.0,2024.0,1.0,3.0,9.0,4.0,89708.0,-1450.0,-1463.0,0,-513.0,-285.0,12.0,91423.29,6.0
9885.0,840.0,117.0,2024.0,1.0,3.0,14.0,5.0,89708.0,-1476.0,-1463.0,0,-57.0,-285.0,16.0,91438.75,8.0
9892.0,807.0,213.0,2024.0,1.0,3.0,13.0,6.0,89708.0,-1496.0,-1840.0,0,-395.0,-197.5,14.0,91565.375,10.0
9891.0,817.0,213.0,2024.0,1.0,3.0,1.0,18.0,89708.0,-3237.0,-2884.0,0,0.0,-115.5,3.0,91284.54,5.0
9881.0,852.0,213.0,2024.0,1.0,3.0,10.0,8.0,89708.0,-1692.0,-2052.5,0,1110.0,555.0,20.0,91714.53,11.0
9879.0,815.0,9.0,2024.0,1.0,3.0,3.0,10.0,89708.0,-1771.0,-1679.0,0,-733.0,-762.5,13.0,90978.86,1.0
9882.0,822.0,51.0,2024.0,1.0,3.0,2.0,11.0,89708.0,-1796.0,-1851.5,0,-61.0,-101.5,18.0,91437.73,7.0
9889.0,855.0,51.0,2024.0,1.0,3.0,8.0,14.0,89708.0,-1907.0,-1851.5,0,-142.0,-101.5,19.0,91962.586,12.0
9887.0,825.0,210.0,2024.0,1.0,3.0,5.0,17.0,89708.0,-2184.0,-1840.0,0,0.0,-197.5,3.5,91543.02,9.0
9876.0,832.0,6.0,2024.0,1.0,3.0,12.0,1.0,89708.0,-1285.0,-1335.5,0,-478.0,-645.0,11.0,91064.59,3.0
9873.0,844.0,6.0,2024.0,1.0,3.0,11.0,3.0,89708.0,-1386.0,-1335.5,0,-812.0,-645.0,7.0,91009.195,2.0
9886.0,846.0,1.0,2024.0,1.0,3.0,6.0,15.5,89708.0,-1944.0,-2168.5,0,-271.0,-135.5,17.0,92031.28,13.0
9888.0,848.0,3.0,2024.0,1.0,3.0,7.0,9.0,89708.0,-1753.0,-1848.5,0,0.0,0.0,3.5,92282.05,14.0
9890.0,858.0,3.0,2024.0,1.0,3.0,15.0,15.5,89708.0,-1944.0,-1848.5,0,0.0,0.0,3.5,92826.305,15.0
