qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
9875.0,1.0,131.0,2024.0,1.0,3.0,4.0,13.0,89708.0,-1835.0,-1592.0,0,-1030.0,-790.0,4.0,10.0,0,-129.0,-148.0,18.0,90194.32,1.0
9877.0,4.0,117.0,2024.0,1.0,3.0,9.0,4.0,89708.0,-1450.0,-1463.0,0,-513.0,-285.0,6.0,12.0,0,-309.0,-300.0,16.0,91011.46,10.0
9885.0,840.0,117.0,2024.0,1.0,3.0,14.0,5.0,89708.0,-1476.0,-1463.0,0,-57.0,-285.0,8.0,16.0,0,-291.0,-300.0,19.0,90891.375,8.0
9892.0,807.0,213.0,2024.0,1.0,3.0,13.0,6.0,89708.0,-1496.0,-1840.0,0,-395.0,-197.5,10.0,14.0,0,0.0,0.0,6.0,90875.68,7.0
9891.0,817.0,213.0,2024.0,1.0,3.0,1.0,18.0,89708.0,-3237.0,-2884.0,0,0.0,-115.5,5.0,3.0,0,0.0,0.0,5.5,90779.12,6.0
9879.0,815.0,9.0,2024.0,1.0,3.0,3.0,10.0,89708.0,-1771.0,-1679.0,0,-733.0,-762.5,1.0,13.0,0,-900.0,-847.5,13.0,90442.734,2.0
9882.0,822.0,51.0,2024.0,1.0,3.0,2.0,11.0,89708.0,-1796.0,-1851.5,0,-61.0,-101.5,7.0,18.0,0,0.0,0.0,6.0,90770.62,5.0
9887.0,825.0,210.0,2024.0,1.0,3.0,5.0,17.0,89708.0,-2184.0,-1840.0,0,0.0,-197.5,9.0,3.5,0,0.0,0.0,6.0,90638.28,4.0
9876.0,832.0,6.0,2024.0,1.0,3.0,12.0,1.0,89708.0,-1285.0,-1335.5,0,-478.0,-645.0,3.0,11.0,0,-361.0,-321.5,15.0,90946.86,9.0
9873.0,844.0,6.0,2024.0,1.0,3.0,11.0,3.0,89708.0,-1386.0,-1335.5,0,-812.0,-645.0,2.0,7.0,0,-282.0,-321.5,14.0,90557.484,3.0
