qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,driver_q3vsq2,car_q3vsq2,previous_driver_q3vsq2,previous_car_q3vsq2,position_q3,previous_year_position_q3,q1,q2,q3
8736.0,1052,1.0,131.0,3.0,2021.0,1.0,3.0,bahrain,0.0,0.0,3.0,20.0,89708.0,909.0,1200.5,0.0,0.0,0,-532.0,-773.0,0.0,0.0,3.0,20.0,0,-700.0,-650.0,0.0,0.0,2.0,20.0,90617.0,90085.0,89385.0
8737.0,1052,822.0,131.0,11.0,2021.0,1.0,3.0,bahrain,0.0,0.0,11.0,20.0,89708.0,1492.0,1200.5,0.0,0.0,0,-1014.0,-773.0,0.0,0.0,5.0,20.0,0,-600.0,-650.0,0.0,0.0,3.0,20.0,91200.0,90186.0,89586.0
8743.0,1052,4.0,214.0,7.0,2021.0,1.0,3.0,bahrain,0.0,0.0,7.0,20.0,89708.0,1155.0,1585.5,0.0,0.0,0,-268.0,-134.0,0.0,0.0,9.0,20.0,0,-346.0,-346.0,0.0,0.0,9.0,20.0,90863.0,90595.0,90249.0
8735.0,1052,830.0,9.0,1.0,2021.0,1.0,3.0,bahrain,0.0,0.0,1.0,20.0,89708.0,791.0,1124.0,0.0,0.0,0,-181.0,-343.5,0.0,0.0,7.0,20.0,0,-1321.0,-660.5,0.0,0.0,1.0,20.0,90499.0,90318.0,88997.0
8740.0,1052,817.0,1.0,5.0,2021.0,1.0,3.0,bahrain,0.0,0.0,5.0,20.0,89708.0,1087.0,1140.5,0.0,0.0,0,-573.0,-688.0,0.0,0.0,6.0,20.0,0,-295.0,-210.0,0.0,0.0,6.0,20.0,90795.0,90222.0,89927.0
8741.0,1052,846.0,1.0,8.0,2021.0,1.0,3.0,bahrain,0.0,0.0,8.0,20.0,89708.0,1194.0,1140.5,0.0,0.0,0,-803.0,-688.0,0.0,0.0,4.0,20.0,0,-125.0,-210.0,0.0,0.0,7.0,20.0,90902.0,90099.0,89974.0
8742.0,1052,832.0,6.0,15.0,2021.0,1.0,3.0,bahrain,0.0,0.0,15.0,20.0,89708.0,1945.0,1464.0,0.0,0.0,0,-1644.0,-1162.5,0.0,0.0,1.0,20.0,0,206.0,-63.0,0.0,0.0,8.0,20.0,91653.0,90009.0,90215.0
8738.0,1052,844.0,6.0,4.0,2021.0,1.0,3.0,bahrain,0.0,0.0,4.0,20.0,89708.0,983.0,1464.0,0.0,0.0,0,-681.0,-1162.5,0.0,0.0,2.0,20.0,0,-332.0,-63.0,0.0,0.0,4.0,20.0,90691.0,90010.0,89678.0
8744.0,1052,840.0,117.0,12.0,2021.0,1.0,3.0,bahrain,0.0,0.0,12.0,20.0,89708.0,1553.0,1950.5,0.0,0.0,0,-637.0,-318.5,0.0,0.0,10.0,20.0,0,-23.0,-23.0,0.0,0.0,10.0,20.0,91261.0,90624.0,90601.0
8739.0,1052,842.0,213.0,6.0,2021.0,1.0,3.0,bahrain,0.0,0.0,6.0,20.0,89708.0,1140.0,1019.5,0.0,0.0,0,-335.0,130.5,0.0,0.0,8.0,20.0,0,-704.0,-352.0,0.0,0.0,5.0,20.0,90848.0,90513.0,89809.0
9180.0,1074,1.0,131.0,10.0,2022.0,1.0,3.0,bahrain,60.0,85.0,10.0,3.0,89708.0,2577.0,2569.0,-909.0,-1200.5,0,-1237.0,-1127.0,-532.0,-773.0,5.0,3.0,0,190.0,577.0,-700.0,-650.0,5.0,2.0,92285.0,91048.0,91238.0
9184.0,1074,847.0,131.0,9.0,2022.0,1.0,3.0,bahrain,60.0,35.0,9.0,13.0,89708.0,2561.0,2569.0,-1608.0,-1918.0,0,-1017.0,-1127.0,2114.0,1057.0,6.0,15.0,0,964.0,577.0,0.0,0.0,9.0,13.0,92269.0,91252.0,92216.0
9183.0,1074,4.0,214.0,12.0,2022.0,1.0,3.0,bahrain,42.5,65.0,12.0,7.0,89708.0,2638.0,2485.5,-1155.0,-1585.5,0,-725.0,-492.0,-268.0,-134.0,8.0,9.0,0,574.0,287.0,-346.0,-346.0,8.0,9.0,92346.0,91621.0,92195.0
