qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
8853.0,1057,841.0,51.0,1.0,2021.0,6.0,73.0,baku,57.5,95.0,1.5,20.0,100203.0,-100203.0,-48741.5,0.0,0.0,104238.0
8847.0,1057,8.0,51.0,16.0,2021.0,6.0,73.0,baku,57.5,20.0,16.0,20.0,100203.0,2720.0,-48741.5,0.0,0.0,102923.0
8852.0,1057,840.0,117.0,2.0,2021.0,6.0,73.0,baku,65.0,90.0,1.5,20.0,100203.0,-100203.0,-48973.0,0.0,0.0,104238.0
8844.0,1057,20.0,117.0,12.0,2021.0,6.0,73.0,baku,65.0,40.0,12.0,20.0,100203.0,2257.0,-48973.0,0.0,0.0,102460.0
8835.0,1057,1.0,131.0,3.0,2021.0,6.0,73.0,baku,57.5,85.0,3.0,20.0,100203.0,1342.0,1920.0,0.0,0.0,101545.0
8843.0,1057,822.0,131.0,14.0,2021.0,6.0,73.0,baku,57.5,30.0,14.0,20.0,100203.0,2498.0,1920.0,0.0,0.0,102701.0
8836.0,1057,830.0,9.0,4.0,2021.0,6.0,73.0,baku,77.5,80.0,4.0,20.0,100203.0,1557.0,1661.0,0.0,0.0,101760.0
8840.0,1057,815.0,9.0,5.0,2021.0,6.0,73.0,baku,77.5,75.0,5.0,20.0,100203.0,1765.0,1661.0,0.0,0.0,101968.0
8838.0,1057,832.0,6.0,6.0,2021.0,6.0,73.0,baku,65.0,70.0,6.0,20.0,100203.0,1918.0,1978.0,0.0,0.0,102121.0
8834.0,1057,844.0,6.0,8.0,2021.0,6.0,73.0,baku,65.0,60.0,8.0,20.0,100203.0,2038.0,1978.0,0.0,0.0,102241.0
8839.0,1057,846.0,1.0,7.0,2021.0,6.0,73.0,baku,57.5,65.0,7.0,20.0,100203.0,1964.0,2032.5,0.0,0.0,102167.0
8846.0,1057,817.0,1.0,10.0,2021.0,6.0,73.0,baku,57.5,50.0,10.0,20.0,100203.0,2101.0,2032.5,0.0,0.0,102304.0
8837.0,1057,842.0,213.0,9.0,2021.0,6.0,73.0,baku,45.0,55.00000000000001,9.0,20.0,100203.0,2085.0,2201.5,0.0,0.0,102288.0
8841.0,1057,852.0,213.0,13.0,2021.0,6.0,73.0,baku,45.0,35.0,13.0,20.0,100203.0,2318.0,2201.5,0.0,0.0,102521.0
8845.0,1057,839.0,214.0,11.0,2021.0,6.0,73.0,baku,30.0,45.0,11.0,20.0,100203.0,2223.0,2477.0,0.0,0.0,102426.0
8842.0,1057,4.0,214.0,17.0,2021.0,6.0,73.0,baku,30.0,15.0,17.0,20.0,100203.0,2731.0,2477.0,0.0,0.0,102934.0
8848.0,1057,847.0,3.0,15.0,2021.0,6.0,73.0,baku,17.5,25.0,15.0,20.0,100203.0,2525.0,2725.0,0.0,0.0,102728.0
8849.0,1057,849.0,3.0,18.0,2021.0,6.0,73.0,baku,17.5,10.0,18.0,20.0,100203.0,2925.0,2725.0,0.0,0.0,103128.0
8850.0,1057,854.0,210.0,19.0,2021.0,6.0,73.0,baku,2.5,5.0,19.0,20.0,100203.0,3955.0,3995.0,0.0,0.0,104158.0
8851.0,1057,853.0,210.0,20.0,2021.0,6.0,73.0,baku,2.5,0.0,20.0,20.0,100203.0,4035.0,3995.0,0.0,0.0,104238.0
9335.0,1081,830.0,9.0,1.0,2022.0,8.0,73.0,baku,92.5,95.0,1.0,4.0,100203.0,2519.0,2524.5,1557.0,1661.0,102722.0
9334.0,1081,815.0,9.0,2.0,2022.0,8.0,73.0,baku,92.5,90.0,2.0,5.0,100203.0,2530.0,2524.5,1765.0,1661.0,102733.0
9333.0,1081,844.0,6.0,3.0,2022.0,8.0,73.0,baku,82.5,85.0,3.0,8.0,100203.0,2662.0,2708.0,2038.0,1978.0,102865.0
9336.0,1081,832.0,6.0,4.0,2022.0,8.0,73.0,baku,82.5,80.0,4.0,6.0,100203.0,2754.0,2708.0,1918.0,1978.0,102957.0
9338.0,1081,842.0,213.0,5.0,2022.0,8.0,73.0,baku,70.0,75.0,5.0,9.0,100203.0,3065.0,3228.5,2085.0,2201.5,103268.0
9340.0,1081,852.0,213.0,7.0,2022.0,8.0,73.0,baku,70.0,65.0,7.0,13.0,100203.0,3392.0,3228.5,2318.0,2201.5,103595.0
9341.0,1081,20.0,117.0,6.0,2022.0,8.0,73.0,baku,37.5,70.0,6.0,12.0,100203.0,3076.0,4122.0,2257.0,-48973.0,103279.0
9351.0,1081,840.0,117.0,19.0,2022.0,8.0,73.0,baku,37.5,5.0,19.0,1.5,100203.0,5168.0,4122.0,-100203.0,-48973.0,105371.0
9337.0,1081,847.0,131.0,8.0,2022.0,8.0,73.0,baku,52.5,60.0,8.0,15.0,100203.0,3551.0,3643.5,2525.0,2725.0,103754.0
