qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10175.0,1.0,131.0,2024.0,17.0,73.0,8.0,7.0,100203.0,1910.0,1890.0,0,-463.0,-441.0,15.0,103632.02,14.0
10177.0,4.0,117.0,2024.0,17.0,73.0,5.0,4.0,100203.0,1517.0,1919.0,0,-350.0,-649.0,10.0,103550.51,13.0
10192.0,807.0,213.0,2024.0,17.0,73.0,4.0,18.0,100203.0,2552.0,2883.0,0,0.0,0.0,3.0,103231.54,5.0
10191.0,817.0,213.0,2024.0,17.0,73.0,3.0,14.0,100203.0,4234.0,4134.0,0,-863.0,-851.0,17.0,103124.58,2.0
10179.0,815.0,9.0,2024.0,17.0,73.0,1.0,5.0,100203.0,1553.0,1374.0,0,-625.0,-600.5,8.0,103040.54,1.0
10174.0,830.0,9.0,2024.0,17.0,73.0,2.0,3.0,100203.0,1195.0,1374.0,0,-576.0,-600.5,6.0,103169.2,3.0
10182.0,822.0,51.0,2024.0,17.0,73.0,7.0,15.0,100203.0,2379.0,2409.0,0,-323.0,-161.5,19.0,103800.69,15.0
10187.0,825.0,210.0,2024.0,17.0,73.0,15.0,19.0,100203.0,3214.0,2883.0,0,0.0,0.0,3.0,103276.445,9.0
10176.0,832.0,6.0,2024.0,17.0,73.0,9.0,10.0,100203.0,1994.0,1530.0,0,-828.0,-530.0,9.0,103260.4,8.0
10173.0,844.0,6.0,2024.0,17.0,73.0,6.0,2.0,100203.0,1066.0,1530.0,0,-232.0,-530.0,7.0,103255.48,7.0
10183.0,842.0,214.0,2024.0,17.0,73.0,12.0,20.0,100203.0,4650.0,3534.5,0,0.0,-412.0,3.0,103178.17,4.0
10186.0,846.0,1.0,2024.0,17.0,73.0,11.0,8.0,100203.0,1951.0,2101.5,0,-669.0,-744.0,11.0,103433.09,12.0
10178.0,857.0,1.0,2024.0,17.0,73.0,13.0,13.0,100203.0,2252.0,2101.5,0,-819.0,-744.0,14.0,103322.734,10.0
10188.0,848.0,3.0,2024.0,17.0,73.0,10.0,9.0,100203.0,1968.0,2003.5,0,-353.0,-100.0,18.0,103326.36,11.0
10190.0,858.0,3.0,2024.0,17.0,73.0,13.0,12.0,100203.0,2039.0,2003.5,0,153.0,-100.0,20.0,103239.07,6.0
