qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10192.0,807.0,213.0,2024.0,17.0,73.0,4.0,18.0,100203.0,2552.0,2883.0,0,0.0,0.0,5.0,3.0,0,0.0,0.0,5.5,102162.61,9.0
10191.0,817.0,213.0,2024.0,17.0,73.0,3.0,14.0,100203.0,4234.0,4134.0,0,-863.0,-851.0,2.0,17.0,0,0.0,0.0,5.5,101650.914,5.0
10179.0,815.0,9.0,2024.0,17.0,73.0,1.0,5.0,100203.0,1553.0,1374.0,0,-625.0,-600.5,1.0,8.0,0,-636.0,-533.5,13.0,101754.32,6.0
10174.0,830.0,9.0,2024.0,17.0,73.0,2.0,3.0,100203.0,1195.0,1374.0,0,-576.0,-600.5,3.0,6.0,0,-431.0,-533.5,12.0,101318.06,1.0
10187.0,825.0,210.0,2024.0,17.0,73.0,15.0,19.0,100203.0,3214.0,2883.0,0,0.0,0.0,9.0,3.0,0,0.0,0.0,5.5,101801.62,7.0
10176.0,832.0,6.0,2024.0,17.0,73.0,9.0,10.0,100203.0,1994.0,1530.0,0,-828.0,-530.0,8.0,9.0,0,-353.0,-593.5,14.0,101511.63,3.0
10173.0,844.0,6.0,2024.0,17.0,73.0,6.0,2.0,100203.0,1066.0,1530.0,0,-232.0,-530.0,7.0,7.0,0,-834.0,-593.5,11.0,101589.68,4.0
10183.0,842.0,214.0,2024.0,17.0,73.0,12.0,20.0,100203.0,4650.0,3534.5,0,0.0,-412.0,4.0,3.0,0,0.0,0.0,5.5,102272.47,10.0
10178.0,857.0,1.0,2024.0,17.0,73.0,13.0,13.0,100203.0,2252.0,2101.5,0,-819.0,-744.0,10.0,14.0,0,-25.0,-114.5,19.5,101336.64,2.0
10190.0,858.0,3.0,2024.0,17.0,73.0,13.0,12.0,100203.0,2039.0,2003.5,0,153.0,-100.0,6.0,20.0,0,0.0,0.0,5.5,101870.336,8.0
