qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
8803.0,1055,846.0,1.0,1.0,2021.0,4.0,4.0,catalunya,72.5,95.0,1.0,20.0,72272.0,5549.0,5770.5,0.0,0.0,77821.0
8801.0,1055,817.0,1.0,10.0,2021.0,4.0,4.0,catalunya,72.5,50.0,10.0,20.0,72272.0,5992.0,5770.5,0.0,0.0,78264.0
8797.0,1055,822.0,131.0,2.0,2021.0,4.0,4.0,catalunya,72.5,90.0,2.0,20.0,72272.0,5733.0,5853.0,0.0,0.0,78005.0
8795.0,1055,1.0,131.0,9.0,2021.0,4.0,4.0,catalunya,72.5,55.00000000000001,9.0,20.0,72272.0,5973.0,5853.0,0.0,0.0,78245.0
8798.0,1055,844.0,6.0,3.0,2021.0,4.0,4.0,catalunya,75.0,85.0,3.0,20.0,72272.0,5769.0,5851.0,0.0,0.0,78041.0
8800.0,1055,832.0,6.0,7.0,2021.0,4.0,4.0,catalunya,75.0,65.0,7.0,20.0,72272.0,5933.0,5851.0,0.0,0.0,78205.0
8796.0,1055,830.0,9.0,4.0,2021.0,4.0,4.0,catalunya,75.0,80.0,4.0,20.0,72272.0,5818.0,5874.5,0.0,0.0,78090.0
8802.0,1055,815.0,9.0,6.0,2021.0,4.0,4.0,catalunya,75.0,70.0,6.0,20.0,72272.0,5931.0,5874.5,0.0,0.0,78203.0
8806.0,1055,842.0,213.0,5.0,2021.0,4.0,4.0,catalunya,47.5,75.0,5.0,20.0,72272.0,5918.0,6101.0,0.0,0.0,78190.0
8810.0,1055,852.0,213.0,16.0,2021.0,4.0,4.0,catalunya,47.5,20.0,16.0,20.0,72272.0,6284.0,6101.0,0.0,0.0,78556.0
8805.0,1055,840.0,117.0,8.0,2021.0,4.0,4.0,catalunya,47.5,60.0,8.0,20.0,72272.0,5969.0,5993.0,0.0,0.0,78241.0
8807.0,1055,20.0,117.0,13.0,2021.0,4.0,4.0,catalunya,47.5,35.0,13.0,20.0,72272.0,6017.0,5993.0,0.0,0.0,78289.0
8804.0,1055,4.0,214.0,11.0,2021.0,4.0,4.0,catalunya,42.5,45.0,11.5,20.0,72272.0,6009.0,6009.0,0.0,0.0,78281.0
8799.0,1055,839.0,214.0,12.0,2021.0,4.0,4.0,catalunya,42.5,40.0,11.5,20.0,72272.0,6009.0,6009.0,0.0,0.0,78281.0
8809.0,1055,847.0,3.0,14.0,2021.0,4.0,4.0,catalunya,17.5,30.0,14.0,20.0,72272.0,6173.0,6560.0,0.0,0.0,78445.0
8813.0,1055,849.0,3.0,19.0,2021.0,4.0,4.0,catalunya,17.5,5.0,19.0,20.0,72272.0,6947.0,6560.0,0.0,0.0,79219.0
8808.0,1055,841.0,51.0,15.0,2021.0,4.0,4.0,catalunya,20.0,25.0,15.0,20.0,72272.0,6277.0,6461.0,0.0,0.0,78549.0
8811.0,1055,8.0,51.0,17.0,2021.0,4.0,4.0,catalunya,20.0,15.0,17.0,20.0,72272.0,6645.0,6461.0,0.0,0.0,78917.0
8812.0,1055,854.0,210.0,18.0,2021.0,4.0,4.0,catalunya,5.0,10.0,18.0,20.0,72272.0,6845.0,7190.0,0.0,0.0,79117.0
8814.0,1055,853.0,210.0,20.0,2021.0,4.0,4.0,catalunya,5.0,0.0,20.0,20.0,72272.0,7535.0,7190.0,0.0,0.0,79807.0
9293.0,1079,844.0,6.0,1.0,2022.0,6.0,4.0,catalunya,92.5,95.0,1.0,3.0,72272.0,7589.0,7604.5,5769.0,5851.0,79861.0
9295.0,1079,832.0,6.0,2.0,2022.0,6.0,4.0,catalunya,92.5,90.0,2.0,7.0,72272.0,7620.0,7604.5,5933.0,5851.0,79892.0
9294.0,1079,830.0,9.0,3.0,2022.0,6.0,4.0,catalunya,72.5,85.0,3.0,4.0,72272.0,7819.0,7997.0,5818.0,5874.5,80091.0
