qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10035.0,1.0,131.0,2024.0,10.0,4.0,1.0,1.0,72272.0,665.0,859.5,0,62.0,91.5,9.0,74156.0,4.0
10040.0,847.0,131.0,2024.0,10.0,4.0,2.0,3.0,72272.0,1054.0,859.5,0,121.0,91.5,17.0,74288.15,13.0
10037.0,4.0,117.0,2024.0,10.0,4.0,8.0,12.0,72272.0,1475.0,1484.5,0,-649.0,-666.5,13.0,74149.86,3.0
10045.0,840.0,117.0,2024.0,10.0,4.0,12.0,13.0,72272.0,1494.0,1484.5,0,-684.0,-666.5,12.0,74161.03,5.0
10052.0,807.0,213.0,2024.0,10.0,4.0,10.0,5.0,72272.0,1148.0,1459.0,0,-137.0,-68.5,15.0,74175.85,10.0
10051.0,817.0,213.0,2024.0,10.0,4.0,10.0,10.0,72272.0,8277.0,8421.5,0,-262.0,-314.5,14.0,74161.086,6.0
10041.0,852.0,213.0,2024.0,10.0,4.0,4.0,14.0,72272.0,1590.0,1449.5,0,615.0,558.5,20.0,74344.74,15.0
10039.0,815.0,9.0,2024.0,10.0,4.0,6.0,15.0,72272.0,1602.0,1472.5,0,-540.0,-697.5,16.0,74147.47,2.0
10034.0,830.0,9.0,2024.0,10.0,4.0,9.0,9.0,72272.0,1343.0,1472.5,0,-855.0,-697.5,6.0,74168.086,8.0
10042.0,822.0,51.0,2024.0,10.0,4.0,6.0,16.0,72272.0,1705.0,1555.0,0,0.0,-78.0,3.0,74140.47,1.0
10033.0,844.0,6.0,2024.0,10.0,4.0,3.0,19.0,72272.0,1807.0,1473.0,0,0.0,-310.5,3.0,74176.6,11.0
10044.0,839.0,214.0,2024.0,10.0,4.0,13.0,6.0,72272.0,1161.0,1180.0,0,-432.0,-358.5,10.0,74170.75,9.0
10043.0,842.0,214.0,2024.0,10.0,4.0,14.0,7.0,72272.0,1199.0,1180.0,0,-285.0,-358.5,14.0,74206.06,12.0
10046.0,846.0,1.0,2024.0,10.0,4.0,5.0,2.0,72272.0,1023.0,1221.0,0,-519.0,-575.5,7.0,74165.305,7.0
10048.0,848.0,3.0,2024.0,10.0,4.0,15.0,18.0,72272.0,1791.0,2109.0,0,0.0,0.0,3.0,74295.39,14.0
