qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10035.0,1.0,131.0,2024.0,10.0,4.0,1.0,1.0,72272.0,665.0,859.5,0,62.0,91.5,4.0,9.0,0,-181.0,-90.5,15.0,73060.805,9.0
10037.0,4.0,117.0,2024.0,10.0,4.0,8.0,12.0,72272.0,1475.0,1484.5,0,-649.0,-666.5,3.0,13.0,0,409.0,160.5,19.0,72959.26,3.0
10045.0,840.0,117.0,2024.0,10.0,4.0,12.0,13.0,72272.0,1494.0,1484.5,0,-684.0,-666.5,5.0,12.0,0,-88.0,160.5,16.0,72984.016,4.0
10052.0,807.0,213.0,2024.0,10.0,4.0,10.0,5.0,72272.0,1148.0,1459.0,0,-137.0,-68.5,10.0,15.0,0,-54.0,-27.0,18.0,73007.586,5.0
10051.0,817.0,213.0,2024.0,10.0,4.0,10.0,10.0,72272.0,8277.0,8421.5,0,-262.0,-314.5,6.0,14.0,0,10.0,5.0,19.0,72937.0,1.0
10039.0,815.0,9.0,2024.0,10.0,4.0,6.0,15.0,72272.0,1602.0,1472.5,0,-540.0,-697.5,2.0,16.0,0,0.0,-244.0,5.5,73051.97,7.0
10034.0,830.0,9.0,2024.0,10.0,4.0,9.0,9.0,72272.0,1343.0,1472.5,0,-855.0,-697.5,8.0,6.0,0,-488.0,-244.0,11.0,72957.305,2.0
10042.0,822.0,51.0,2024.0,10.0,4.0,6.0,16.0,72272.0,1705.0,1555.0,0,0.0,-78.0,1.0,3.0,0,0.0,0.0,5.5,73060.08,8.0
10044.0,839.0,214.0,2024.0,10.0,4.0,13.0,6.0,72272.0,1161.0,1180.0,0,-432.0,-358.5,9.0,10.0,0,82.0,-144.0,17.0,73032.34,6.0
10046.0,846.0,1.0,2024.0,10.0,4.0,5.0,2.0,72272.0,1023.0,1221.0,0,-519.0,-575.5,7.0,7.0,0,16.0,319.5,13.0,73080.96,10.0
