qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
8953.0,1062,854.0,210.0,1.0,2021.0,11.0,11.0,hungaroring,47.5,95.0,1.0,20.0,76609.0,-76609.0,-37148.0,0.0,0.0,78922.0
8952.0,1062,853.0,210.0,20.0,2021.0,11.0,11.0,hungaroring,47.5,0.0,20.0,20.0,76609.0,2313.0,-37148.0,0.0,0.0,78922.0
8936.0,1062,830.0,9.0,2.0,2021.0,11.0,11.0,hungaroring,65.0,90.0,2.0,20.0,76609.0,-395.0,114.5,0.0,0.0,76214.0
8937.0,1062,815.0,9.0,12.0,2021.0,11.0,11.0,hungaroring,65.0,40.0,12.0,20.0,76609.0,624.0,114.5,0.0,0.0,77233.0
8934.0,1062,1.0,131.0,3.0,2021.0,11.0,11.0,hungaroring,82.5,85.0,3.0,20.0,76609.0,-185.0,-112.5,0.0,0.0,76424.0
8935.0,1062,822.0,131.0,4.0,2021.0,11.0,11.0,hungaroring,82.5,80.0,4.0,20.0,76609.0,-40.0,-112.5,0.0,0.0,76569.0
8948.0,1062,832.0,6.0,5.0,2021.0,11.0,11.0,hungaroring,65.0,75.0,5.0,20.0,76609.0,40.0,257.5,0.0,0.0,76649.0
8940.0,1062,844.0,6.0,9.0,2021.0,11.0,11.0,hungaroring,65.0,55.00000000000001,9.0,20.0,76609.0,475.0,257.5,0.0,0.0,77084.0
8938.0,1062,842.0,213.0,6.0,2021.0,11.0,11.0,hungaroring,42.5,70.0,6.0,20.0,76609.0,265.0,787.5,0.0,0.0,76874.0
8949.0,1062,852.0,213.0,17.0,2021.0,11.0,11.0,hungaroring,42.5,15.0,17.0,20.0,76609.0,1310.0,787.5,0.0,0.0,77919.0
8945.0,1062,840.0,117.0,7.0,2021.0,11.0,11.0,hungaroring,57.5,65.0,7.0,20.0,76609.0,429.0,462.5,0.0,0.0,77038.0
8943.0,1062,20.0,117.0,10.0,2021.0,11.0,11.0,hungaroring,57.5,50.0,10.0,20.0,76609.0,496.0,462.5,0.0,0.0,77105.0
8939.0,1062,846.0,1.0,8.0,2021.0,11.0,11.0,hungaroring,42.5,60.0,8.0,20.0,76609.0,472.0,763.5,0.0,0.0,77081.0
8944.0,1062,817.0,1.0,15.0,2021.0,11.0,11.0,hungaroring,42.5,25.0,15.0,20.0,76609.0,1055.0,763.5,0.0,0.0,77664.0
8942.0,1062,4.0,214.0,11.0,2021.0,11.0,11.0,hungaroring,40.0,45.0,11.0,20.0,76609.0,514.0,636.0,0.0,0.0,77123.0
8941.0,1062,839.0,214.0,13.0,2021.0,11.0,11.0,hungaroring,40.0,35.0,13.0,20.0,76609.0,758.0,636.0,0.0,0.0,77367.0
8946.0,1062,8.0,51.0,14.0,2021.0,11.0,11.0,hungaroring,25.0,30.0,14.0,20.0,76609.0,944.0,1055.5,0.0,0.0,77553.0
8947.0,1062,841.0,51.0,16.0,2021.0,11.0,11.0,hungaroring,25.0,20.0,16.0,20.0,76609.0,1167.0,1055.5,0.0,0.0,77776.0
8950.0,1062,847.0,3.0,18.0,2021.0,11.0,11.0,hungaroring,7.5,10.0,18.0,20.0,76609.0,1335.0,1381.0,0.0,0.0,77944.0
