qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q1,q2
8934.0,1062,1.0,131.0,3.0,2021.0,11.0,11.0,hungaroring,82.5,85.0,3.0,20.0,76609.0,-185.0,-112.5,0.0,0.0,0,129.0,131.0,0.0,0.0,12.0,20.0,76424.0,76553.0
8935.0,1062,822.0,131.0,4.0,2021.0,11.0,11.0,hungaroring,82.5,80.0,4.0,20.0,76609.0,-40.0,-112.5,0.0,0.0,0,133.0,131.0,0.0,0.0,14.0,20.0,76569.0,76702.0
8942.0,1062,4.0,214.0,11.0,2021.0,11.0,11.0,hungaroring,40.0,45.0,11.0,20.0,76609.0,514.0,636.0,0.0,0.0,0,-582.0,-591.5,0.0,0.0,11.0,20.0,77123.0,76541.0
8941.0,1062,839.0,214.0,13.0,2021.0,11.0,11.0,hungaroring,40.0,35.0,13.0,20.0,76609.0,758.0,636.0,0.0,0.0,0,-601.0,-591.5,0.0,0.0,15.0,20.0,77367.0,76766.0
8946.0,1062,8.0,51.0,14.0,2021.0,11.0,11.0,hungaroring,25.0,30.0,14.0,20.0,76609.0,944.0,1055.5,0.0,0.0,0,11.0,-91.0,0.0,0.0,19.0,20.0,77553.0,77564.0
8947.0,1062,841.0,51.0,16.0,2021.0,11.0,11.0,hungaroring,25.0,20.0,16.0,20.0,76609.0,1167.0,1055.5,0.0,0.0,1,-193.0,-91.0,0.0,0.0,20.0,20.0,77776.0,77583.0
8943.0,1062,20.0,117.0,10.0,2021.0,11.0,11.0,hungaroring,57.5,50.0,10.0,20.0,76609.0,496.0,462.5,0.0,0.0,0,-311.0,-228.0,0.0,0.0,16.0,20.0,77105.0,76794.0
8945.0,1062,840.0,117.0,7.0,2021.0,11.0,11.0,hungaroring,57.5,65.0,7.0,20.0,76609.0,429.0,462.5,0.0,0.0,0,-145.0,-228.0,0.0,0.0,18.0,20.0,77038.0,76893.0
8937.0,1062,815.0,9.0,12.0,2021.0,11.0,11.0,hungaroring,65.0,40.0,12.0,20.0,76609.0,624.0,114.5,0.0,0.0,0,-790.0,-677.0,0.0,0.0,10.0,20.0,77233.0,76443.0
8936.0,1062,830.0,9.0,2.0,2021.0,11.0,11.0,hungaroring,65.0,90.0,2.0,20.0,76609.0,-395.0,114.5,0.0,0.0,0,-564.0,-677.0,0.0,0.0,7.0,20.0,76214.0,75650.0
