qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10095.0,1.0,131.0,2024.0,13.0,11.0,6.0,7.0,76609.0,1968.0,2193.0,0,-1150.0,-575.0,2.0,7.0,0,-818.0,-409.0,11.0,77981.97,9.0
10100.0,847.0,131.0,2024.0,13.0,11.0,5.0,18.0,76609.0,2418.0,2193.0,0,0.0,-575.0,6.0,3.0,0,0.0,-409.0,5.5,77731.42,1.0
10097.0,4.0,117.0,2024.0,13.0,11.0,9.0,8.0,76609.0,1971.0,2072.0,0,-879.0,-758.5,4.0,15.0,0,-666.0,-333.0,18.0,77986.42,10.0
10105.0,840.0,117.0,2024.0,13.0,11.0,12.0,13.0,76609.0,2173.0,2072.0,0,-638.0,-758.5,10.0,19.0,0,0.0,-333.0,5.5,77831.15,4.0
10101.0,852.0,213.0,2024.0,13.0,11.0,7.0,17.0,76609.0,2310.0,2303.5,0,0.0,-452.0,7.0,3.0,0,0.0,0.0,5.5,77855.38,7.0
10099.0,815.0,9.0,2024.0,13.0,11.0,11.0,3.0,76609.0,1751.0,1730.0,0,-685.0,-728.0,9.0,13.0,0,-630.0,-782.5,19.0,77839.945,6.0
10102.0,822.0,51.0,2024.0,13.0,11.0,8.0,12.0,76609.0,2166.0,1850.0,0,-1212.0,-827.5,5.0,9.0,0,-529.0,-629.0,17.0,77954.67,8.0
10109.0,855.0,51.0,2024.0,13.0,11.0,3.0,1.0,76609.0,1534.0,1850.0,0,-443.0,-827.5,3.0,14.0,0,-729.0,-629.0,15.0,77815.125,2.0
10106.0,846.0,1.0,2024.0,13.0,11.0,10.0,10.0,76609.0,2088.0,1971.5,0,-1369.0,-1131.0,8.0,6.0,0,-634.0,-650.0,13.0,77818.99,3.0
10098.0,857.0,1.0,2024.0,13.0,11.0,4.0,6.0,76609.0,1855.0,1971.5,0,-893.0,-1131.0,1.0,10.0,0,-666.0,-650.0,14.0,77834.016,5.0
