predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
17175.898,188257.387222372,155400.0849556178,115504.375269006,0.0,62330.4,11.0,20.0,20.0,20.0,1.0,11.0
17145.568,183288.16155781224,151411.86918963864,112733.88017656282,0.0,62330.4,8.0,18.0,18.0,18.0,1.0,11.0
17145.568,186222.30781365186,153490.56077925116,113827.53007390443,0.0,62330.4,8.0,19.0,19.0,19.0,1.0,11.0
17150.299,178139.88788462803,147044.017615987,109410.92005192302,0.0,62330.4,10.0,15.0,16.0,17.0,1.0,11.0
17198.48,179094.01722514257,144995.5404890161,104186.67943217885,0.0,62262.0,12.0,16.0,15.0,13.0,1.0,9.0
17219.879,172470.91947837546,139690.7142768111,100443.65844287723,0.0,47334.8,18.0,13.0,13.0,8.0,1.0,1.0
17200.139,181267.3264544718,148542.40217974223,109219.02276520059,0.0,62262.0,15.0,17.0,17.0,16.0,1.0,9.0
17219.879,168325.4585605748,137839.6605048515,101228.18946865387,0.0,47334.8,18.0,9.0,10.0,10.0,1.0,1.0
7266.0293,167306.31040397286,134364.1381551586,94990.70104077086,0.0,62330.4,2.0,7.0,5.0,5.0,1.0,11.0
14727.008,166717.12028981,136527.01536915824,100544.64160377812,0.0,62330.4,6.0,6.0,6.0,9.0,1.0,11.0
9762.037,169497.2387161255,137006.212436812,97950.62363475002,0.0,47334.8,4.0,11.0,7.0,6.0,1.0,1.0
17218.328,166237.65518430248,137066.99333545193,102119.4317782959,0.0,47334.8,17.0,5.0,8.0,11.0,1.0,1.0
16376.715,154906.64751724154,125943.68711254187,91274.06741808914,0.0,47334.8,7.0,2.0,2.0,2.0,1.0,1.0
17200.139,168521.04582015052,137483.36170995794,100171.43365576304,0.0,62330.4,15.0,10.0,9.0,7.0,1.0,11.0
11386.666,167460.43023254722,138754.88480216637,104319.79148594383,0.0,62330.4,5.0,8.0,11.0,14.0,1.0,11.0
17239.727,166098.5956692323,133252.6198157426,94128.33688464854,0.0,47334.8,20.0,4.0,4.0,4.0,1.0,1.0
17199.574,163332.7609992996,130839.52044358104,92150.33317723591,0.0,47334.8,14.0,3.0,3.0,3.0,1.0,1.0
17199.395,169825.90224145353,139069.4452353604,102264.12544662599,0.0,47334.8,13.0,12.0,12.0,12.0,1.0,1.0
4073.0076,173446.2724542804,142614.97551712394,105846.86085051019,0.0,80452.6,1.0,14.0,14.0,15.0,1.0,20.0
8063.326,153661.1027516015,125232.209113447,91235.869459779,0.0,62330.4,3.0,1.0,1.0,1.0,1.0,11.0
