qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
9975.0,1.0,131.0,2024.0,7.0,21.0,9.0,16.0,78793.0,1677.0,1633.5,0,668.0,521.0,18.0,86360.94,8.0
9980.0,847.0,131.0,2024.0,7.0,21.0,15.0,13.0,78793.0,1590.0,1633.5,0,374.0,521.0,16.0,86870.84,17.0
9977.0,4.0,117.0,2024.0,7.0,21.0,9.0,10.0,78793.0,1405.0,2475.0,0,-603.0,-301.5,11.0,85954.055,4.0
9985.0,840.0,117.0,2024.0,7.0,21.0,15.0,11.0,78793.0,1549.0,1560.0,0,7777.0,3685.0,20.0,86843.71,15.0
9992.0,807.0,213.0,2024.0,7.0,21.0,9.0,20.0,78793.0,0.0,0.0,0,0.0,0.0,20.0,86378.11,9.0
9991.0,817.0,213.0,2024.0,7.0,21.0,6.0,7.0,78793.0,1187.0,1281.0,0,51.0,-411.5,14.0,85841.25,3.0
9981.0,852.0,213.0,2024.0,7.0,21.0,2.0,17.0,78793.0,1681.0,1810.0,0,0.0,0.0,3.0,86724.06,14.0
9979.0,815.0,9.0,2024.0,7.0,21.0,9.0,6.0,78793.0,980.0,741.0,0,-477.0,-489.5,9.0,85836.51,2.0
9974.0,830.0,9.0,2024.0,7.0,21.0,6.0,3.0,78793.0,502.0,741.0,0,-502.0,-489.5,6.0,85813.82,1.0
9982.0,822.0,51.0,2024.0,7.0,21.0,6.0,14.0,78793.0,1626.0,1281.5,0,-227.0,738.5,15.0,86282.4,5.0
9989.0,855.0,51.0,2024.0,7.0,21.0,2.0,5.0,78793.0,937.0,1281.5,0,1704.0,738.5,19.0,86300.22,7.0
9976.0,832.0,6.0,2024.0,7.0,21.0,4.0,4.0,78793.0,512.0,257.5,0,-315.0,236.5,7.0,86297.086,6.0
9973.0,844.0,6.0,2024.0,7.0,21.0,13.0,2.0,78793.0,3.0,257.5,0,788.0,236.5,10.0,86638.51,12.0
9984.0,839.0,214.0,2024.0,7.0,21.0,15.0,20.0,78793.0,3545.0,2475.0,0,0.0,-301.5,3.0,86417.2,10.0
9983.0,842.0,214.0,2024.0,7.0,21.0,15.0,18.0,78793.0,1939.0,1810.0,0,0.0,0.0,3.0,86844.71,16.0
9978.0,857.0,1.0,2024.0,7.0,21.0,5.0,20.0,78793.0,0.0,0.0,0,0.0,0.0,20.0,86482.56,11.0
9988.0,848.0,3.0,2024.0,7.0,21.0,13.0,1.0,78793.0,-78793.0,-37807.5,0,0.0,0.0,3.0,86687.8,13.0
9990.0,858.0,3.0,2024.0,7.0,21.0,1.0,20.0,78793.0,0.0,0.0,0,0.0,0.0,20.0,87346.375,18.0
