qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q1,q2
8755.0,1053,1.0,131.0,3.0,2021.0,2.0,21.0,imola,87.5,85.0,3.0,20.0,78793.0,-3970.0,-4045.5,0.0,0.0,0,-6.0,113.5,0.0,0.0,9.0,20.0,74823.0,74817.0
8762.0,1053,822.0,131.0,2.0,2021.0,2.0,21.0,imola,87.5,90.0,2.0,20.0,78793.0,-4121.0,-4045.5,0.0,0.0,0,233.0,113.5,0.0,0.0,11.0,20.0,74672.0,74905.0
8769.0,1053,4.0,214.0,16.0,2021.0,2.0,21.0,imola,45.0,20.0,16.0,20.0,78793.0,-2961.0,-3184.5,0.0,0.0,1,-239.0,-253.5,0.0,0.0,19.5,20.0,75832.0,75593.0
8763.0,1053,839.0,214.0,6.0,2021.0,2.0,21.0,imola,45.0,70.0,6.0,20.0,78793.0,-3408.0,-3184.5,0.0,0.0,0,-268.0,-253.5,0.0,0.0,14.0,20.0,75385.0,75117.0
8770.0,1053,8.0,51.0,17.0,2021.0,2.0,21.0,imola,12.5,15.0,17.0,20.0,78793.0,-2819.0,-2745.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,20.0,75974.0,0.0
8771.0,1053,841.0,51.0,18.0,2021.0,2.0,21.0,imola,12.5,10.0,18.0,20.0,78793.0,-2671.0,-2745.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,20.0,76122.0,0.0
8767.0,1053,20.0,117.0,10.0,2021.0,2.0,21.0,imola,47.5,50.0,10.0,20.0,78793.0,-3334.0,-3302.5,0.0,0.0,0,-65.0,-224.5,0.0,0.0,18.0,20.0,75459.0,75394.0
8764.0,1053,840.0,117.0,11.0,2021.0,2.0,21.0,imola,47.5,45.0,11.0,20.0,78793.0,-3271.0,-3302.5,0.0,0.0,0,-384.0,-224.5,0.0,0.0,15.0,20.0,75522.0,75138.0
8756.0,1053,815.0,9.0,7.0,2021.0,2.0,21.0,imola,70.0,65.0,7.0,20.0,78793.0,-3398.0,-3541.0,0.0,0.0,0,-679.0,-452.0,0.0,0.0,6.0,20.0,75395.0,74716.0
8757.0,1053,830.0,9.0,5.0,2021.0,2.0,21.0,imola,70.0,75.0,5.0,20.0,78793.0,-3684.0,-3541.0,0.0,0.0,0,-225.0,-452.0,0.0,0.0,10.0,20.0,75109.0,74884.0
8760.0,1053,817.0,1.0,14.0,2021.0,2.0,21.0,imola,55.0,30.0,14.0,20.0,78793.0,-3124.0,-3454.0,0.0,0.0,0,-636.0,-463.5,0.0,0.0,13.0,20.0,75669.0,75033.0
8761.0,1053,846.0,1.0,4.0,2021.0,2.0,21.0,imola,55.0,80.0,4.0,20.0,78793.0,-3784.0,-3454.0,0.0,0.0,0,-291.0,-463.5,0.0,0.0,7.0,20.0,75009.0,74718.0
8765.0,1053,832.0,6.0,8.0,2021.0,2.0,21.0,imola,57.5,60.0,8.0,20.0,78793.0,-3387.0,-3383.5,0.0,0.0,0,-207.0,-406.0,0.0,0.0,16.0,20.0,75406.0,75199.0
8758.0,1053,844.0,6.0,9.0,2021.0,2.0,21.0,imola,57.5,55.00000000000001,9.0,20.0,78793.0,-3380.0,-3383.5,0.0,0.0,0,-605.0,-406.0,0.0,0.0,8.0,20.0,75413.0,74808.0
8759.0,1053,842.0,213.0,12.0,2021.0,2.0,21.0,imola,67.5,40.0,12.0,20.0,78793.0,-3245.0,-41019.0,0.0,0.0,0,-621.0,-310.5,0.0,0.0,12.0,20.0,75548.0,74927.0
8774.0,1053,852.0,213.0,1.0,2021.0,2.0,21.0,imola,67.5,95.0,1.0,20.0,78793.0,-78793.0,-41019.0,0.0,0.0,0,0.0,-310.5,0.0,0.0,3.0,20.0,76797.0,0.0
8766.0,1053,847.0,3.0,15.0,2021.0,2.0,21.0,imola,30.0,25.0,15.0,20.0,78793.0,-2967.0,-3053.5,0.0,0.0,0,-565.0,-312.5,0.0,0.0,17.0,20.0,75826.0,75261.0
8768.0,1053,849.0,3.0,13.0,2021.0,2.0,21.0,imola,30.0,35.0,13.0,20.0,78793.0,-3140.0,-3053.5,0.0,0.0,0,-60.0,-312.5,0.0,0.0,19.5,20.0,75653.0,75593.0
8773.0,1053,853.0,210.0,20.0,2021.0,2.0,21.0,imola,2.5,0.0,20.0,20.0,78793.0,-1996.0,-2255.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,20.0,76797.0,0.0
8772.0,1053,854.0,210.0,19.0,2021.0,2.0,21.0,imola,2.5,5.0,19.0,20.0,78793.0,-2514.0,-2255.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,20.0,76279.0,0.0
9265.0,1077,1.0,131.0,16.0,2022.0,4.0,21.0,imola,27.5,20.0,16.0,3.0,78793.0,1677.0,1633.5,-3970.0,-4045.5,1,668.0,521.0,-6.0,113.5,18.0,9.0,80470.0,81138.0
9263.0,1077,847.0,131.0,13.0,2022.0,4.0,21.0,imola,27.5,35.0,13.0,15.0,78793.0,1590.0,1633.5,-2967.0,-3053.5,0,374.0,521.0,-565.0,-312.5,16.0,17.0,80383.0,80757.0
9257.0,1077,4.0,214.0,10.0,2022.0,4.0,21.0,imola,25.0,50.0,10.0,16.0,78793.0,1405.0,2475.0,-2961.0,-3184.5,0,-603.0,-301.5,-239.0,-253.5,11.0,19.5,80198.0,79595.0
9271.0,1077,839.0,214.0,20.0,2022.0,4.0,21.0,imola,25.0,0.0,20.0,6.0,78793.0,3545.0,2475.0,-3408.0,-3184.5,1,0.0,-301.5,-268.0,-253.5,3.0,14.0,82338.0,0.0
9261.0,1077,20.0,117.0,12.0,2022.0,4.0,21.0,imola,42.5,40.0,12.0,10.0,78793.0,1571.0,1560.0,-3334.0,-3302.5,0,-407.0,3685.0,-65.0,-224.5,13.0,18.0,80364.0,79957.0
9267.0,1077,840.0,117.0,11.0,2022.0,4.0,21.0,imola,42.5,45.0,11.0,11.0,78793.0,1549.0,1560.0,-3271.0,-3302.5,0,7777.0,3685.0,-384.0,-224.5,20.0,15.0,80342.0,88119.0
9259.0,1077,815.0,9.0,6.0,2022.0,4.0,21.0,imola,77.5,70.0,6.0,7.0,78793.0,980.0,741.0,-3398.0,-3541.0,0,-477.0,-489.5,-679.0,-452.0,9.0,6.0,79773.0,79296.0
9253.0,1077,830.0,9.0,3.0,2022.0,4.0,21.0,imola,77.5,85.0,3.0,5.0,78793.0,502.0,741.0,-3684.0,-3541.0,0,-502.0,-489.5,-225.0,-452.0,6.0,10.0,79295.0,78793.0
9258.0,1077,817.0,1.0,7.0,2022.0,4.0,21.0,imola,60.0,65.0,7.0,14.0,78793.0,1187.0,1281.0,-3124.0,-3454.0,0,51.0,-411.5,-636.0,-463.5,14.0,13.0,79980.0,80031.0
9255.0,1077,846.0,1.0,9.0,2022.0,4.0,21.0,imola,60.0,55.00000000000001,9.0,4.0,78793.0,1375.0,1281.0,-3784.0,-3454.0,0,-874.0,-411.5,-291.0,-463.5,8.0,7.0,80168.0,79294.0
9260.0,1077,822.0,51.0,14.0,2022.0,4.0,21.0,imola,52.5,30.0,14.0,2.0,78793.0,1626.0,1281.5,-4121.0,-4045.5,0,-227.0,738.5,233.0,113.5,15.0,11.0,80419.0,80192.0
9266.0,1077,855.0,51.0,5.0,2022.0,4.0,21.0,imola,52.5,75.0,5.0,20.0,78793.0,937.0,1281.5,0.0,0.0,0,1704.0,738.5,0.0,0.0,19.0,20.0,79730.0,81434.0
9256.0,1077,825.0,210.0,8.0,2022.0,4.0,21.0,imola,42.5,60.0,8.0,20.0,78793.0,1354.0,1491.5,0.0,0.0,0,-245.0,124.5,0.0,0.0,12.0,20.0,80147.0,79902.0
9264.0,1077,854.0,210.0,15.0,2022.0,4.0,21.0,imola,42.5,25.0,15.0,19.0,78793.0,1629.0,1491.5,-2514.0,-2255.0,0,494.0,124.5,0.0,0.0,17.0,3.0,80422.0,80916.0
9262.0,1077,832.0,6.0,4.0,2022.0,4.0,21.0,imola,85.0,80.0,4.0,8.0,78793.0,512.0,257.5,-3387.0,-3383.5,0,-315.0,236.5,-207.0,-406.0,7.0,16.0,79305.0,78990.0
9254.0,1077,844.0,6.0,2.0,2022.0,4.0,21.0,imola,85.0,90.0,2.0,9.0,78793.0,3.0,257.5,-3380.0,-3383.5,0,788.0,236.5,-605.0,-406.0,10.0,8.0,78796.0,79584.0
9269.0,1077,842.0,213.0,18.0,2022.0,4.0,21.0,imola,12.5,10.0,18.0,12.0,78793.0,1939.0,1810.0,-3245.0,-41019.0,1,0.0,0.0,-621.0,-310.5,3.0,12.0,80732.0,0.0
