qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
9975.0,1.0,131.0,2024.0,7.0,21.0,9.0,16.0,78793.0,1677.0,1633.5,0,668.0,521.0,8.0,18.0,0,0.0,0.0,6.0,89528.19,7.0
9977.0,4.0,117.0,2024.0,7.0,21.0,9.0,10.0,78793.0,1405.0,2475.0,0,-603.0,-301.5,4.0,11.0,0,9607.0,4803.5,16.0,89276.45,1.0
9992.0,807.0,213.0,2024.0,7.0,21.0,9.0,20.0,78793.0,0.0,0.0,0,0.0,0.0,9.0,20.0,0,0.0,0.0,20.0,89530.19,8.0
9991.0,817.0,213.0,2024.0,7.0,21.0,6.0,7.0,78793.0,1187.0,1281.0,0,51.0,-411.5,3.0,14.0,0,9711.0,9774.0,17.0,89517.88,6.0
9979.0,815.0,9.0,2024.0,7.0,21.0,9.0,6.0,78793.0,980.0,741.0,0,-477.0,-489.5,2.0,9.0,0,10512.0,9859.0,18.0,89278.45,2.0
9974.0,830.0,9.0,2024.0,7.0,21.0,6.0,3.0,78793.0,502.0,741.0,0,-502.0,-489.5,1.0,6.0,0,9206.0,9859.0,12.0,89279.45,3.0
9982.0,822.0,51.0,2024.0,7.0,21.0,6.0,14.0,78793.0,1626.0,1281.5,0,-227.0,738.5,5.0,15.0,0,10247.0,5123.5,19.0,89285.76,4.0
9989.0,855.0,51.0,2024.0,7.0,21.0,2.0,5.0,78793.0,937.0,1281.5,0,1704.0,738.5,7.0,19.0,0,0.0,5123.5,6.0,89808.06,10.0
9976.0,832.0,6.0,2024.0,7.0,21.0,4.0,4.0,78793.0,512.0,257.5,0,-315.0,236.5,6.0,7.0,0,0.0,4597.0,6.0,89464.91,5.0
9984.0,839.0,214.0,2024.0,7.0,21.0,15.0,20.0,78793.0,3545.0,2475.0,0,0.0,-301.5,10.0,3.0,0,0.0,4803.5,6.0,89660.12,9.0
