qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10260.0,847.0,131.0,2024.0,21.0,18.0,13.0,11.0,70162.0,4265.0,3753.0,0,-3109.0,-2486.5,9.0,72093.445,11.0
10257.0,4.0,117.0,2024.0,21.0,18.0,10.0,3.0,70162.0,3380.0,3940.5,0,-2148.0,-2612.0,11.0,71991.64,4.0
10265.0,840.0,117.0,2024.0,21.0,18.0,5.0,10.0,70162.0,4236.0,3835.5,0,-2188.0,-2053.5,20.0,72091.84,9.0
10259.0,815.0,9.0,2024.0,21.0,18.0,7.0,5.0,70162.0,3451.0,3457.0,0,-2157.0,-2450.5,13.0,71977.19,3.0
10254.0,830.0,9.0,2024.0,21.0,18.0,11.0,6.0,70162.0,3463.0,3457.0,0,-2744.0,-2450.5,6.0,71936.06,1.0
10262.0,822.0,51.0,2024.0,21.0,18.0,15.0,18.0,70162.0,5324.0,5179.5,0,0.0,0.0,3.0,72147.77,15.0
10269.0,855.0,51.0,2024.0,21.0,18.0,9.0,17.0,70162.0,5035.0,5179.5,0,0.0,0.0,3.0,72093.06,10.0
10256.0,832.0,6.0,2024.0,21.0,18.0,3.0,14.0,70162.0,4518.0,4421.0,0,-3790.0,-3663.0,7.0,72064.36,6.0
10253.0,844.0,6.0,2024.0,21.0,18.0,2.0,12.0,70162.0,4324.0,4421.0,0,-3536.0,-3663.0,8.0,72061.98,5.0
10264.0,839.0,214.0,2024.0,21.0,18.0,14.0,13.0,70162.0,4501.0,3940.5,0,-3076.0,-2612.0,15.0,72133.914,14.0
10263.0,842.0,214.0,2024.0,21.0,18.0,12.0,9.0,70162.0,4209.0,5155.5,0,-2696.0,-1348.0,17.0,72115.37,13.0
10266.0,846.0,1.0,2024.0,21.0,18.0,1.0,1.0,70162.0,2944.0,3856.5,0,-1729.0,-2260.0,10.0,71946.555,2.0
10258.0,857.0,1.0,2024.0,21.0,18.0,6.0,20.0,70162.0,0.0,0.0,0,0.0,0.0,20.0,72097.43,12.0
10268.0,848.0,3.0,2024.0,21.0,18.0,4.0,8.0,70162.0,4162.0,4547.5,0,-2693.0,-1346.5,16.0,72076.26,7.0
10270.0,858.0,3.0,2024.0,21.0,18.0,8.0,20.0,70162.0,0.0,0.0,0,0.0,0.0,20.0,72091.27,8.0
