qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10257.0,4.0,117.0,2024.0,21.0,18.0,10.0,3.0,70162.0,3380.0,3940.5,0,-2148.0,-2612.0,4.0,11.0,0,1110.0,974.0,18.0,72298.21,1.0
10265.0,840.0,117.0,2024.0,21.0,18.0,5.0,10.0,70162.0,4236.0,3835.5,0,-2188.0,-2053.5,9.0,20.0,0,0.0,0.0,6.0,72318.06,6.0
10259.0,815.0,9.0,2024.0,21.0,18.0,7.0,5.0,70162.0,3451.0,3457.0,0,-2157.0,-2450.5,3.0,13.0,0,4145.0,2570.5,20.0,72299.21,2.0
10254.0,830.0,9.0,2024.0,21.0,18.0,11.0,6.0,70162.0,3463.0,3457.0,0,-2744.0,-2450.5,1.0,6.0,0,996.0,2570.5,13.0,72300.21,3.0
10269.0,855.0,51.0,2024.0,21.0,18.0,9.0,17.0,70162.0,5035.0,5179.5,0,0.0,0.0,10.0,3.0,0,0.0,0.0,6.0,72304.77,5.0
10256.0,832.0,6.0,2024.0,21.0,18.0,3.0,14.0,70162.0,4518.0,4421.0,0,-3790.0,-3663.0,6.0,7.0,0,1467.0,733.5,16.0,72356.76,10.0
10253.0,844.0,6.0,2024.0,21.0,18.0,2.0,12.0,70162.0,4324.0,4421.0,0,-3536.0,-3663.0,5.0,8.0,0,0.0,733.5,6.0,72355.82,9.0
10266.0,846.0,1.0,2024.0,21.0,18.0,1.0,1.0,70162.0,2944.0,3856.5,0,-1729.0,-2260.0,2.0,10.0,0,886.0,443.0,15.0,72338.945,8.0
10268.0,848.0,3.0,2024.0,21.0,18.0,4.0,8.0,70162.0,4162.0,4547.5,0,-2693.0,-1346.5,7.0,16.0,0,0.0,0.0,6.0,72336.91,7.0
10270.0,858.0,3.0,2024.0,21.0,18.0,8.0,20.0,70162.0,0.0,0.0,0,0.0,0.0,8.0,20.0,0,0.0,0.0,20.0,72302.94,4.0
