predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
85320.15,223314.74928944418,223055.87939078035,223272.5728415926,85859.0,82953.6,13.0,1.0,1.0,1.0,1.0,3.0
85306.62,223667.71179416985,223408.18056204286,223625.42775951046,85859.0,82953.6,8.0,3.0,3.0,3.0,1.0,3.0
85306.62,223440.661943428,223181.5574288075,223398.4470465472,85859.0,82953.6,8.0,2.0,2.0,2.0,1.0,3.0
85313.46,224030.0329032552,223769.8289724684,223987.63907539286,85859.0,82953.6,12.0,7.0,7.0,7.0,1.0,3.0
85284.33,223802.11794081866,223541.98188389163,223759.730162882,85859.0,82543.2,1.0,4.0,4.0,4.0,1.0,1.0
85288.63,224580.9293266388,224320.17709357315,224538.42811658955,85859.0,83549.6,2.0,9.0,9.0,9.0,1.0,19.0
85303.125,223991.03916436597,223730.50833391142,223948.5890201663,85859.0,82543.2,7.0,6.0,6.0,6.0,1.0,1.0
85295.29,225123.2531023589,224861.4458848117,225080.5820913848,85859.0,83549.6,3.0,13.0,13.0,13.0,1.0,19.0
85806.56,223892.84970856854,223632.91037373594,223850.49950316292,85859.0,82953.6,18.0,5.0,5.0,5.0,1.0,3.0
85324.195,224838.70355269895,224577.01244830666,224796.06804667204,85859.0,82953.6,14.0,10.0,10.0,10.0,1.0,3.0
85447.37,224986.43546978338,224725.2338995703,224943.84917063988,85859.0,83339.0,17.0,11.0,11.0,11.0,1.0,13.0
85297.71,226164.0772708205,225900.67406200222,226121.1327293485,85859.0,83339.0,4.0,19.0,19.0,19.0,1.0,13.0
85298.65,226280.41129672085,226016.7842758887,226237.43043654156,85859.0,83339.0,5.0,20.0,20.0,20.0,1.0,13.0
85306.62,224533.5979804166,224272.62355505046,224491.07244671602,85859.0,82953.6,8.0,8.0,8.0,8.0,1.0,3.0
85806.56,225370.59860524768,225108.11530498532,225327.82667611586,85859.0,82953.6,18.0,17.0,17.0,17.0,1.0,3.0
85310.516,225224.78999981238,224963.14356514043,225182.13121530786,85859.0,83339.0,11.0,14.0,14.0,14.0,1.0,13.0
85301.125,225342.66419177805,225080.79787387257,225299.96962107695,85859.0,83339.0,6.0,16.0,16.0,16.0,1.0,13.0
85324.74,225681.2416850864,225418.72432310903,225638.44181013783,85859.0,83339.0,16.0,18.0,18.0,18.0,1.0,13.0
85324.195,225083.18460840336,224821.05252162996,225040.47692121472,85859.0,82953.6,14.0,12.0,12.0,12.0,1.0,3.0
85806.56,225322.45337191154,225059.89049874153,225279.67532949848,85859.0,82953.6,18.0,15.0,15.0,15.0,1.0,3.0
