qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10295.0,1.0,131.0,2024.0,23.0,78.0,6.0,1.0,83777.0,-1876.0,-1818.5,0,-219.0,-122.0,6.0,82433.234,1.0
10300.0,847.0,131.0,2024.0,23.0,78.0,10.0,15.0,83777.0,-914.0,-739.0,0,-107.0,-53.5,20.0,82495.5,4.0
10297.0,4.0,117.0,2024.0,23.0,78.0,9.0,6.0,83777.0,-1355.0,-1283.5,0,-528.0,-540.5,8.0,82629.086,9.0
10305.0,840.0,117.0,2024.0,23.0,78.0,10.0,10.0,83777.0,-1226.0,-1227.0,0,-91.0,-247.0,17.0,82672.305,15.0
10312.0,807.0,213.0,2024.0,23.0,78.0,8.0,20.0,83777.0,0.0,0.0,0,0.0,0.0,20.0,82452.78,2.0
10311.0,817.0,213.0,2024.0,23.0,78.0,14.0,12.0,83777.0,-1089.0,-1013.5,0,-91.0,-357.0,19.0,82492.1,3.0
10299.0,815.0,9.0,2024.0,23.0,78.0,5.0,5.0,83777.0,-1379.0,-1580.0,0,-52.0,-32.0,16.0,82632.33,10.0
10294.0,830.0,9.0,2024.0,23.0,78.0,7.0,2.0,83777.0,-1781.0,-1580.0,0,-12.0,-32.0,9.0,82649.83,11.0
10302.0,822.0,51.0,2024.0,23.0,78.0,14.0,3.0,83777.0,-1761.0,-1818.5,0,-25.0,-122.0,10.0,82671.625,14.0
10296.0,832.0,6.0,2024.0,23.0,78.0,1.0,4.0,83777.0,-1473.0,-1254.0,0,-63.0,-171.0,15.0,82628.53,8.0
10293.0,844.0,6.0,2024.0,23.0,78.0,1.0,13.0,83777.0,-1035.0,-1254.0,0,-279.0,-171.0,18.0,82625.695,7.0
10304.0,839.0,214.0,2024.0,23.0,78.0,10.0,11.0,83777.0,-1212.0,-1283.5,0,-553.0,-540.5,11.0,82495.586,5.0
10303.0,842.0,214.0,2024.0,23.0,78.0,10.0,8.0,83777.0,-1242.0,-1280.5,0,-807.0,-603.5,7.0,82497.48,6.0
10306.0,846.0,1.0,2024.0,23.0,78.0,1.0,14.0,83777.0,-938.0,-1013.5,0,-623.0,-357.0,14.0,82657.375,12.0
10308.0,848.0,3.0,2024.0,23.0,78.0,1.0,20.0,83777.0,0.0,0.0,0,0.0,0.0,20.0,82658.1,13.0
