qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10295.0,1.0,131.0,2024.0,23.0,78.0,6.0,1.0,83777.0,-1876.0,-1818.5,0,-219.0,-122.0,1.0,6.0,0,-855.0,-684.0,11.0,81435.445,3.0
10300.0,847.0,131.0,2024.0,23.0,78.0,10.0,15.0,83777.0,-914.0,-739.0,0,-107.0,-53.5,4.0,20.0,0,0.0,0.0,5.5,81574.945,8.0
10297.0,4.0,117.0,2024.0,23.0,78.0,9.0,6.0,83777.0,-1355.0,-1283.5,0,-528.0,-540.5,9.0,8.0,0,-224.0,-104.0,15.0,81421.73,1.0
10312.0,807.0,213.0,2024.0,23.0,78.0,8.0,20.0,83777.0,0.0,0.0,0,0.0,0.0,2.0,20.0,0,0.0,0.0,20.0,81441.32,4.0
10311.0,817.0,213.0,2024.0,23.0,78.0,14.0,12.0,83777.0,-1089.0,-1013.5,0,-91.0,-357.0,3.0,19.0,0,0.0,-242.5,5.5,81442.32,5.0
10299.0,815.0,9.0,2024.0,23.0,78.0,5.0,5.0,83777.0,-1379.0,-1580.0,0,-52.0,-32.0,10.0,16.0,0,0.0,-351.0,5.5,81424.73,2.0
10296.0,832.0,6.0,2024.0,23.0,78.0,1.0,4.0,83777.0,-1473.0,-1254.0,0,-63.0,-171.0,8.0,15.0,0,-401.0,-200.5,17.0,81537.54,6.0
10293.0,844.0,6.0,2024.0,23.0,78.0,1.0,13.0,83777.0,-1035.0,-1254.0,0,-279.0,-171.0,7.0,18.0,0,0.0,-200.5,5.5,81538.54,7.0
10304.0,839.0,214.0,2024.0,23.0,78.0,10.0,11.0,83777.0,-1212.0,-1283.5,0,-553.0,-540.5,5.0,11.0,0,16.0,-104.0,19.0,81585.82,9.0
10303.0,842.0,214.0,2024.0,23.0,78.0,10.0,8.0,83777.0,-1242.0,-1280.5,0,-807.0,-603.5,6.0,7.0,0,-88.0,-132.5,14.0,81586.82,10.0
