qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
9520.0,1091,830.0,9.0,1.0,2022.0,17.0,15.0,marina_bay,87.5,95.0,1.0,20.0,90984.0,22073.0,22746.5,0.0,0.0,113057.0
9514.0,1091,815.0,9.0,4.0,2022.0,17.0,15.0,marina_bay,87.5,80.0,4.0,20.0,90984.0,23420.0,22746.5,0.0,0.0,114404.0
9515.0,1091,1.0,131.0,2.0,2022.0,17.0,15.0,marina_bay,80.0,90.0,2.0,20.0,90984.0,22177.0,22913.0,0.0,0.0,113161.0
9523.0,1091,847.0,131.0,6.0,2022.0,17.0,15.0,marina_bay,80.0,70.0,6.0,20.0,90984.0,23649.0,22913.0,0.0,0.0,114633.0
9513.0,1091,844.0,6.0,3.0,2022.0,17.0,15.0,marina_bay,80.0,85.0,3.0,20.0,90984.0,23145.0,23360.0,0.0,0.0,114129.0
9516.0,1091,832.0,6.0,5.0,2022.0,17.0,15.0,marina_bay,80.0,75.0,5.0,20.0,90984.0,23575.0,23360.0,0.0,0.0,114559.0
9521.0,1091,825.0,210.0,7.0,2022.0,17.0,15.0,marina_bay,47.5,65.0,7.0,20.0,90984.0,24119.0,24435.5,0.0,0.0,115103.0
9525.0,1091,854.0,210.0,14.0,2022.0,17.0,15.0,marina_bay,47.5,30.0,14.0,20.0,90984.0,24752.0,24435.5,0.0,0.0,115736.0
9522.0,1091,852.0,213.0,8.0,2022.0,17.0,15.0,marina_bay,50.0,60.0,8.0,20.0,90984.0,24330.0,24476.0,0.0,0.0,115314.0
9519.0,1091,842.0,213.0,12.0,2022.0,17.0,15.0,marina_bay,50.0,40.0,12.0,20.0,90984.0,24622.0,24476.0,0.0,0.0,115606.0
9517.0,1091,4.0,214.0,9.0,2022.0,17.0,15.0,marina_bay,32.5,55.00000000000001,9.0,20.0,90984.0,24376.0,24864.5,0.0,0.0,115360.0
9530.0,1091,839.0,214.0,18.0,2022.0,17.0,15.0,marina_bay,32.5,10.0,18.0,20.0,90984.0,25353.0,24864.5,0.0,0.0,116337.0
9527.0,1091,855.0,51.0,10.0,2022.0,17.0,15.0,marina_bay,35.0,50.0,10.0,20.0,90984.0,24391.0,24745.0,0.0,0.0,115375.0
9528.0,1091,822.0,51.0,16.0,2022.0,17.0,15.0,marina_bay,35.0,20.0,16.0,20.0,90984.0,25099.0,24745.0,0.0,0.0,116083.0
9526.0,1091,20.0,117.0,11.0,2022.0,17.0,15.0,marina_bay,40.0,45.0,11.0,20.0,90984.0,24618.0,24631.5,0.0,0.0,115602.0
9524.0,1091,840.0,117.0,13.0,2022.0,17.0,15.0,marina_bay,40.0,35.0,13.0,20.0,90984.0,24645.0,24631.5,0.0,0.0,115629.0
9518.0,1091,846.0,1.0,15.0,2022.0,17.0,15.0,marina_bay,20.0,25.0,15.0,20.0,90984.0,24930.0,25086.0,0.0,0.0,115914.0
9529.0,1091,817.0,1.0,17.0,2022.0,17.0,15.0,marina_bay,20.0,15.0,17.0,20.0,90984.0,25242.0,25086.0,0.0,0.0,116226.0
9531.0,1091,848.0,3.0,19.0,2022.0,17.0,15.0,marina_bay,2.5,5.0,19.0,20.0,90984.0,26001.0,26274.5,0.0,0.0,116985.0
