qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10195.0,1.0,131.0,2024.0,18.0,15.0,1.0,2.0,90984.0,22177.0,22913.0,0,-470.0,-545.5,7.0,114326.43,2.0
10200.0,847.0,131.0,2024.0,18.0,15.0,15.0,6.0,90984.0,23649.0,22913.0,0,-621.0,-545.5,16.0,115202.81,12.0
10197.0,4.0,117.0,2024.0,18.0,15.0,6.0,9.0,90984.0,24376.0,24864.5,0,-2233.0,-1116.5,10.0,114638.734,5.0
10205.0,840.0,117.0,2024.0,18.0,15.0,14.0,13.0,90984.0,24645.0,24631.5,0,-1418.0,-1320.0,17.0,115191.43,10.0
10212.0,807.0,213.0,2024.0,18.0,15.0,7.0,20.0,90984.0,0.0,0.0,0,0.0,0.0,20.0,115048.83,7.0
10211.0,817.0,213.0,2024.0,18.0,15.0,4.0,17.0,90984.0,25242.0,25086.0,0,0.0,-986.0,3.0,114363.555,4.0
10199.0,815.0,9.0,2024.0,18.0,15.0,5.0,4.0,90984.0,23420.0,22746.5,0,-1586.0,-960.0,9.0,114647.914,6.0
10194.0,830.0,9.0,2024.0,18.0,15.0,2.0,1.0,90984.0,22073.0,22746.5,0,-334.0,-960.0,8.0,114323.2,1.0
10202.0,822.0,51.0,2024.0,18.0,15.0,3.0,16.0,90984.0,25099.0,24745.0,0,0.0,71.5,3.0,114349.83,3.0
10209.0,855.0,51.0,2024.0,18.0,15.0,15.0,10.0,90984.0,24391.0,24745.0,0,143.0,71.5,20.0,115518.18,16.0
10196.0,832.0,6.0,2024.0,18.0,15.0,8.0,5.0,90984.0,23575.0,23360.0,0,-1340.0,-1563.0,11.0,115064.93,8.0
10193.0,844.0,6.0,2024.0,18.0,15.0,9.0,3.0,90984.0,23145.0,23360.0,0,-1786.0,-1563.0,6.0,115095.87,9.0
10206.0,846.0,1.0,2024.0,18.0,15.0,10.0,15.0,90984.0,24930.0,25086.0,0,-1972.0,-986.0,14.0,115202.79,11.0
10198.0,857.0,1.0,2024.0,18.0,15.0,10.0,20.0,90984.0,0.0,0.0,0,0.0,0.0,20.0,115496.19,14.0
10208.0,848.0,3.0,2024.0,18.0,15.0,10.0,19.0,90984.0,26001.0,26274.5,0,0.0,0.0,3.0,115204.79,13.0
10210.0,858.0,3.0,2024.0,18.0,15.0,10.0,20.0,90984.0,0.0,0.0,0,0.0,0.0,20.0,115498.19,15.0
