qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q1,q2
9515.0,1091,1.0,131.0,2.0,2022.0,17.0,15.0,marina_bay,80.0,90.0,2.0,20.0,90984.0,22177.0,22913.0,0.0,0.0,0,-470.0,-545.5,0.0,0.0,7.0,20.0,113161.0,112691.0
9523.0,1091,847.0,131.0,6.0,2022.0,17.0,15.0,marina_bay,80.0,70.0,6.0,20.0,90984.0,23649.0,22913.0,0.0,0.0,0,-621.0,-545.5,0.0,0.0,16.0,20.0,114633.0,114012.0
9517.0,1091,4.0,214.0,9.0,2022.0,17.0,15.0,marina_bay,32.5,55.00000000000001,9.0,20.0,90984.0,24376.0,24864.5,0.0,0.0,0,-2233.0,-1116.5,0.0,0.0,10.0,20.0,115360.0,113127.0
9530.0,1091,839.0,214.0,18.0,2022.0,17.0,15.0,marina_bay,32.5,10.0,18.0,20.0,90984.0,25353.0,24864.5,0.0,0.0,1,0.0,-1116.5,0.0,0.0,3.0,20.0,116337.0,0.0
9526.0,1091,20.0,117.0,11.0,2022.0,17.0,15.0,marina_bay,40.0,45.0,11.0,20.0,90984.0,24618.0,24631.5,0.0,0.0,0,-1222.0,-1320.0,0.0,0.0,19.0,20.0,115602.0,114380.0
9524.0,1091,840.0,117.0,13.0,2022.0,17.0,15.0,marina_bay,40.0,35.0,13.0,20.0,90984.0,24645.0,24631.5,0.0,0.0,0,-1418.0,-1320.0,0.0,0.0,17.0,20.0,115629.0,114211.0
9514.0,1091,815.0,9.0,4.0,2022.0,17.0,15.0,marina_bay,87.5,80.0,4.0,20.0,90984.0,23420.0,22746.5,0.0,0.0,0,-1586.0,-960.0,0.0,0.0,9.0,20.0,114404.0,112818.0
9520.0,1091,830.0,9.0,1.0,2022.0,17.0,15.0,marina_bay,87.5,95.0,1.0,20.0,90984.0,22073.0,22746.5,0.0,0.0,0,-334.0,-960.0,0.0,0.0,8.0,20.0,113057.0,112723.0
9529.0,1091,817.0,1.0,17.0,2022.0,17.0,15.0,marina_bay,20.0,15.0,17.0,20.0,90984.0,25242.0,25086.0,0.0,0.0,1,0.0,-986.0,0.0,0.0,3.0,20.0,116226.0,0.0
9518.0,1091,846.0,1.0,15.0,2022.0,17.0,15.0,marina_bay,20.0,25.0,15.0,20.0,90984.0,24930.0,25086.0,0.0,0.0,0,-1972.0,-986.0,0.0,0.0,14.0,20.0,115914.0,113942.0
