qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10195.0,1.0,131.0,2024.0,18.0,15.0,1.0,2.0,90984.0,22177.0,22913.0,0,-470.0,-545.5,2.0,7.0,0,-3225.0,-1612.5,13.0,111026.97,7.0
10197.0,4.0,117.0,2024.0,18.0,15.0,6.0,9.0,90984.0,24376.0,24864.5,0,-2233.0,-1116.5,5.0,10.0,0,-3161.0,-1580.5,15.0,110887.83,1.0
10205.0,840.0,117.0,2024.0,18.0,15.0,14.0,13.0,90984.0,24645.0,24631.5,0,-1418.0,-1320.0,10.0,17.0,0,0.0,0.0,5.5,111046.72,8.0
10212.0,807.0,213.0,2024.0,18.0,15.0,7.0,20.0,90984.0,0.0,0.0,0,0.0,0.0,7.0,20.0,0,0.0,0.0,20.0,110889.83,2.0
10211.0,817.0,213.0,2024.0,18.0,15.0,4.0,17.0,90984.0,25242.0,25086.0,0,0.0,-986.0,4.0,3.0,0,0.0,-1679.0,5.5,110890.83,3.0
10199.0,815.0,9.0,2024.0,18.0,15.0,5.0,4.0,90984.0,23420.0,22746.5,0,-1586.0,-960.0,6.0,9.0,0,-3384.0,-2356.0,12.0,110891.83,4.0
10194.0,830.0,9.0,2024.0,18.0,15.0,2.0,1.0,90984.0,22073.0,22746.5,0,-334.0,-960.0,1.0,8.0,0,-1328.0,-2356.0,18.0,110987.85,6.0
10202.0,822.0,51.0,2024.0,18.0,15.0,3.0,16.0,90984.0,25099.0,24745.0,0,0.0,71.5,3.0,3.0,0,0.0,0.0,5.5,110892.83,5.0
10196.0,832.0,6.0,2024.0,18.0,15.0,8.0,5.0,90984.0,23575.0,23360.0,0,-1340.0,-1563.0,8.0,11.0,0,-3636.0,-3283.5,14.0,111051.72,9.0
10193.0,844.0,6.0,2024.0,18.0,15.0,9.0,3.0,90984.0,23145.0,23360.0,0,-1786.0,-1563.0,9.0,6.0,0,-2931.0,-3283.5,11.0,111052.72,10.0
