qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
9292.0,1078,839.0,214.0,1.0,2022.0,5.0,79.0,miami,80.0,95.0,1.0,20.0,86841.0,-86841.0,-41637.5,0.0,0.0,91325.0
9283.0,1078,4.0,214.0,7.0,2022.0,5.0,79.0,miami,80.0,65.0,7.0,20.0,86841.0,3566.0,-41637.5,0.0,0.0,90407.0
9273.0,1078,844.0,6.0,2.0,2022.0,5.0,79.0,miami,82.5,90.0,2.0,20.0,86841.0,2633.0,2935.5,0.0,0.0,89474.0
9274.0,1078,832.0,6.0,5.0,2022.0,5.0,79.0,miami,82.5,75.0,5.0,20.0,86841.0,3238.0,2935.5,0.0,0.0,90079.0
9275.0,1078,830.0,9.0,3.0,2022.0,5.0,79.0,miami,82.5,85.0,3.0,20.0,86841.0,2995.0,3104.5,0.0,0.0,89836.0
9276.0,1078,815.0,9.0,4.0,2022.0,5.0,79.0,miami,82.5,80.0,4.0,20.0,86841.0,3214.0,3104.5,0.0,0.0,90055.0
9278.0,1078,1.0,131.0,6.0,2022.0,5.0,79.0,miami,60.0,70.0,6.0,20.0,86841.0,3547.0,3598.0,0.0,0.0,90388.0
9284.0,1078,847.0,131.0,10.0,2022.0,5.0,79.0,miami,60.0,50.0,10.0,20.0,86841.0,3649.0,3598.0,0.0,0.0,90490.0
9282.0,1078,840.0,117.0,8.0,2022.0,5.0,79.0,miami,47.5,60.0,8.0,20.0,86841.0,3600.0,3718.0,0.0,0.0,90441.0
9285.0,1078,20.0,117.0,13.0,2022.0,5.0,79.0,miami,47.5,35.0,13.0,20.0,86841.0,3836.0,3718.0,0.0,0.0,90677.0
9281.0,1078,852.0,213.0,9.0,2022.0,5.0,79.0,miami,40.0,55.00000000000001,9.0,20.0,86841.0,3644.0,3791.0,0.0,0.0,90485.0
9279.0,1078,842.0,213.0,15.0,2022.0,5.0,79.0,miami,40.0,25.0,15.0,20.0,86841.0,3938.0,3791.0,0.0,0.0,90779.0
9286.0,1078,817.0,1.0,11.0,2022.0,5.0,79.0,miami,37.5,45.0,11.0,20.0,86841.0,3742.0,3831.0,0.0,0.0,90583.0
9280.0,1078,846.0,1.0,14.0,2022.0,5.0,79.0,miami,37.5,30.0,14.0,20.0,86841.0,3920.0,3831.0,0.0,0.0,90761.0
9287.0,1078,854.0,210.0,12.0,2022.0,5.0,79.0,miami,27.5,40.0,12.0,20.0,86841.0,3804.0,3969.0,0.0,0.0,90645.0
9288.0,1078,825.0,210.0,17.0,2022.0,5.0,79.0,miami,27.5,15.0,17.0,20.0,86841.0,4134.0,3969.0,0.0,0.0,90975.0
9277.0,1078,822.0,51.0,16.0,2022.0,5.0,79.0,miami,15.0,20.0,16.0,20.0,86841.0,4004.0,4091.5,0.0,0.0,90845.0
9289.0,1078,855.0,51.0,18.0,2022.0,5.0,79.0,miami,15.0,10.0,18.0,20.0,86841.0,4179.0,4091.5,0.0,0.0,91020.0
9290.0,1078,848.0,3.0,19.0,2022.0,5.0,79.0,miami,2.5,5.0,19.0,20.0,86841.0,4425.0,4454.5,0.0,0.0,91266.0
9291.0,1078,849.0,3.0,20.0,2022.0,5.0,79.0,miami,2.5,0.0,20.0,20.0,86841.0,4484.0,4454.5,0.0,0.0,91325.0
9721.0,1102,830.0,9.0,1.0,2023.0,5.0,79.0,miami,87.5,95.0,1.0,3.0,86841.0,522.0,697.0,2995.0,3104.5,87363.0
9713.0,1102,815.0,9.0,4.0,2023.0,5.0,79.0,miami,87.5,80.0,3.5,4.0,86841.0,872.0,697.0,3214.0,3104.5,87713.0
9715.0,1102,832.0,6.0,2.0,2023.0,5.0,79.0,miami,87.5,90.0,2.0,5.0,86841.0,845.0,858.5,3238.0,2935.5,87686.0
9719.0,1102,844.0,6.0,3.0,2023.0,5.0,79.0,miami,87.5,85.0,3.5,2.0,86841.0,872.0,858.5,2633.0,2935.5,87713.0
9716.0,1102,825.0,210.0,5.0,2023.0,5.0,79.0,miami,65.0,75.0,5.0,17.0,86841.0,968.0,1036.0,4134.0,3969.0,87809.0
