qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
9955.0,1.0,131.0,2024.0,6.0,79.0,11.0,6.0,86841.0,1005.0,1125.0,0,129.0,-107.0,18.0,88059.47,6.0
9957.0,4.0,117.0,2024.0,6.0,79.0,12.0,12.0,86841.0,1338.0,1486.5,0,-1082.0,-541.0,8.0,88163.98,9.0
9972.0,807.0,213.0,2024.0,6.0,79.0,14.0,9.0,86841.0,1104.0,1036.0,0,-42.0,-89.0,17.0,88062.586,7.0
9971.0,817.0,213.0,2024.0,6.0,79.0,13.0,11.0,86841.0,3742.0,3831.0,0,-273.0,-700.0,19.0,88233.94,13.0
9959.0,815.0,9.0,2024.0,6.0,79.0,3.0,3.5,86841.0,872.0,697.0,0,-385.0,-467.0,10.0,87642.05,3.0
9954.0,830.0,9.0,2024.0,6.0,79.0,1.0,1.0,86841.0,522.0,697.0,0,-549.0,-467.0,6.0,87621.63,1.0
9962.0,822.0,51.0,2024.0,6.0,79.0,10.0,7.0,86841.0,1023.0,1181.0,0,-300.0,-194.5,12.0,88042.11,5.0
9956.0,832.0,6.0,2024.0,6.0,79.0,2.0,2.0,86841.0,845.0,858.5,0,-538.0,-643.5,9.0,87635.48,2.0
9953.0,844.0,6.0,2024.0,6.0,79.0,4.0,3.5,86841.0,872.0,858.5,0,-749.0,-643.5,7.0,87865.21,4.0
9964.0,839.0,214.0,2024.0,6.0,79.0,9.0,8.0,86841.0,1031.0,1125.5,0,-428.0,-438.5,11.0,88067.41,8.0
9963.0,842.0,214.0,2024.0,6.0,79.0,15.0,10.0,86841.0,1220.0,1125.5,0,-449.0,-438.5,13.0,88189.555,12.0
9966.0,846.0,1.0,2024.0,6.0,79.0,5.0,16.0,86841.0,1553.0,1598.0,0,0.0,0.0,3.0,88175.445,11.0
9958.0,857.0,1.0,2024.0,6.0,79.0,7.0,19.0,86841.0,1643.0,1598.0,0,0.0,0.0,3.0,88259.3,14.0
9968.0,848.0,3.0,2024.0,6.0,79.0,5.0,14.0,86841.0,1393.0,1564.5,0,-439.0,-219.5,16.0,88173.84,10.0
9970.0,858.0,3.0,2024.0,6.0,79.0,8.0,20.0,86841.0,1736.0,1564.5,0,0.0,-219.5,3.0,88277.67,15.0
