qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
9955.0,1.0,131.0,2024.0,6.0,79.0,11.0,6.0,86841.0,1005.0,1125.0,0,129.0,-107.0,6.0,18.0,0,0.0,30.5,6.5,89016.47,4.0
9957.0,4.0,117.0,2024.0,6.0,79.0,12.0,12.0,86841.0,1338.0,1486.5,0,-1082.0,-541.0,9.0,8.0,0,105.0,52.5,14.0,89134.93,6.0
9972.0,807.0,213.0,2024.0,6.0,79.0,14.0,9.0,86841.0,1104.0,1036.0,0,-42.0,-89.0,7.0,17.0,0,0.0,47.0,6.5,89017.47,5.0
9959.0,815.0,9.0,2024.0,6.0,79.0,3.0,3.5,86841.0,872.0,697.0,0,-385.0,-467.0,3.0,10.0,0,-487.0,-243.5,13.0,88906.336,3.0
9954.0,830.0,9.0,2024.0,6.0,79.0,1.0,1.0,86841.0,522.0,697.0,0,-549.0,-467.0,1.0,6.0,0,0.0,-243.5,6.5,88580.53,1.0
9962.0,822.0,51.0,2024.0,6.0,79.0,10.0,7.0,86841.0,1023.0,1181.0,0,-300.0,-194.5,5.0,12.0,0,0.0,0.0,6.5,89213.14,8.0
9956.0,832.0,6.0,2024.0,6.0,79.0,2.0,2.0,86841.0,845.0,858.5,0,-538.0,-643.5,2.0,9.0,0,201.0,549.0,15.0,88846.07,2.0
9953.0,844.0,6.0,2024.0,6.0,79.0,4.0,3.5,86841.0,872.0,858.5,0,-749.0,-643.5,4.0,7.0,0,897.0,549.0,19.0,89368.56,10.0
9964.0,839.0,214.0,2024.0,6.0,79.0,9.0,8.0,86841.0,1031.0,1125.5,0,-428.0,-438.5,8.0,11.0,0,491.0,332.5,20.0,89344.555,9.0
9968.0,848.0,3.0,2024.0,6.0,79.0,5.0,14.0,86841.0,1393.0,1564.5,0,-439.0,-219.5,10.0,16.0,0,0.0,0.0,6.5,89188.125,7.0
