qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
8817.0,1056,822.0,131.0,1.0,2021.0,5.0,6.0,monaco,80.0,95.0,1.0,20.0,71365.0,-427.0,-85.0,0.0,0.0,70938.0
8821.0,1056,1.0,131.0,7.0,2021.0,5.0,6.0,monaco,80.0,65.0,7.0,20.0,71365.0,257.0,-85.0,0.0,0.0,71622.0
8815.0,1056,844.0,6.0,2.0,2021.0,5.0,6.0,monaco,82.5,90.0,2.0,20.0,71365.0,-252.0,-146.5,0.0,0.0,71113.0
8818.0,1056,832.0,6.0,5.0,2021.0,5.0,6.0,monaco,82.5,75.0,5.0,20.0,71365.0,-41.0,-146.5,0.0,0.0,71324.0
8816.0,1056,830.0,9.0,3.0,2021.0,5.0,6.0,monaco,72.5,85.0,3.0,20.0,71365.0,-241.0,19.0,0.0,0.0,71124.0
8823.0,1056,815.0,9.0,8.0,2021.0,5.0,6.0,monaco,72.5,60.0,8.0,20.0,71365.0,279.0,19.0,0.0,0.0,71644.0
8819.0,1056,846.0,1.0,4.0,2021.0,5.0,6.0,monaco,62.5,80.0,4.0,20.0,71365.0,-44.0,169.0,0.0,0.0,71321.0
8826.0,1056,817.0,1.0,11.0,2021.0,5.0,6.0,monaco,62.5,45.0,11.0,20.0,71365.0,382.0,169.0,0.0,0.0,71747.0
8820.0,1056,842.0,213.0,6.0,2021.0,5.0,6.0,monaco,45.0,70.0,6.0,20.0,71365.0,195.0,463.0,0.0,0.0,71560.0
8830.0,1056,852.0,213.0,16.0,2021.0,5.0,6.0,monaco,45.0,20.0,16.0,20.0,71365.0,731.0,463.0,0.0,0.0,72096.0
8824.0,1056,841.0,51.0,9.0,2021.0,5.0,6.0,monaco,47.5,55.00000000000001,9.0,20.0,71365.0,293.0,413.5,0.0,0.0,71658.0
