qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
9995.0,1.0,131.0,2024.0,8.0,6.0,5.0,7.0,71365.0,1507.0,1455.5,0,-716.0,-667.0,10.0,72373.23,4.0
10000.0,847.0,131.0,2024.0,8.0,6.0,9.0,6.0,71365.0,1404.0,1455.5,0,-618.0,-667.0,9.0,72305.64,1.0
9997.0,4.0,117.0,2024.0,8.0,6.0,3.0,9.0,71365.0,1521.0,1439.0,0,-779.0,-439.0,8.0,72353.445,2.0
10005.0,840.0,117.0,2024.0,8.0,6.0,9.0,5.0,71365.0,1357.0,1439.0,0,-99.0,-439.0,19.0,72410.4,7.0
10012.0,807.0,213.0,2024.0,8.0,6.0,8.0,18.0,71365.0,1914.0,1909.5,0,0.0,0.0,3.0,72669.1,14.0
10011.0,817.0,213.0,2024.0,8.0,6.0,4.0,11.0,71365.0,1973.0,1767.5,0,-374.0,-517.5,19.0,72413.98,8.0
10001.0,852.0,213.0,2024.0,8.0,6.0,15.0,2.0,71365.0,1277.0,1483.0,0,-393.0,-509.5,14.0,72384.375,5.0
9999.0,815.0,9.0,2024.0,8.0,6.0,7.0,20.0,71365.0,2485.0,1753.0,0,0.0,-239.0,3.0,72664.516,13.0
9994.0,830.0,9.0,2024.0,8.0,6.0,1.0,1.0,71365.0,1021.0,1753.0,0,-478.0,-239.0,6.0,72509.15,9.0
10002.0,822.0,51.0,2024.0,8.0,6.0,2.0,14.0,71365.0,1673.0,1915.5,0,-413.0,-206.5,20.0,72655.23,12.0
10007.0,825.0,210.0,2024.0,8.0,6.0,6.0,17.0,71365.0,1905.0,1909.5,0,0.0,0.0,3.0,72680.62,15.0
9996.0,832.0,6.0,2024.0,8.0,6.0,12.0,4.0,71365.0,1352.0,1449.5,0,-507.0,-658.0,12.0,72373.125,3.0
9998.0,857.0,1.0,2024.0,8.0,6.0,14.0,12.0,71365.0,1641.0,1576.5,0,-611.0,-555.5,16.0,72403.29,6.0
10008.0,848.0,3.0,2024.0,8.0,6.0,11.0,3.0,71365.0,1341.0,1544.5,0,-179.0,-89.5,18.0,72576.664,10.0
10010.0,858.0,3.0,2024.0,8.0,6.0,13.0,16.0,71365.0,1748.0,1544.5,0,0.0,-89.5,3.0,72621.46,11.0
