qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
9995.0,1.0,131.0,2024.0,8.0,6.0,5.0,7.0,71365.0,1507.0,1455.5,0,-716.0,-667.0,4.0,10.0,0,-431.0,-309.0,16.0,71498.05,2.0
10000.0,847.0,131.0,2024.0,8.0,6.0,9.0,6.0,71365.0,1404.0,1455.5,0,-618.0,-667.0,1.0,9.0,0,-187.0,-309.0,18.0,71676.94,5.0
9997.0,4.0,117.0,2024.0,8.0,6.0,3.0,9.0,71365.0,1521.0,1439.0,0,-779.0,-439.0,2.0,8.0,0,-658.0,-329.0,12.0,71610.63,3.0
10005.0,840.0,117.0,2024.0,8.0,6.0,9.0,5.0,71365.0,1357.0,1439.0,0,-99.0,-439.0,7.0,19.0,0,0.0,-329.0,5.5,71693.07,7.0
10011.0,817.0,213.0,2024.0,8.0,6.0,4.0,11.0,71365.0,1973.0,1767.5,0,-374.0,-517.5,8.0,19.0,0,0.0,-208.5,5.5,71623.58,4.0
10001.0,852.0,213.0,2024.0,8.0,6.0,15.0,2.0,71365.0,1277.0,1483.0,0,-393.0,-509.5,5.0,14.0,0,-167.0,-83.5,19.0,71767.39,9.0
9994.0,830.0,9.0,2024.0,8.0,6.0,1.0,1.0,71365.0,1021.0,1753.0,0,-478.0,-239.0,9.0,6.0,0,-543.0,-271.5,11.0,71697.516,8.0
9996.0,832.0,6.0,2024.0,8.0,6.0,12.0,4.0,71365.0,1352.0,1449.5,0,-507.0,-658.0,3.0,12.0,0,-580.0,-606.0,15.0,71496.2,1.0
9998.0,857.0,1.0,2024.0,8.0,6.0,14.0,12.0,71365.0,1641.0,1576.5,0,-611.0,-555.5,6.0,16.0,0,0.0,-61.5,5.5,71685.305,6.0
10008.0,848.0,3.0,2024.0,8.0,6.0,11.0,3.0,71365.0,1341.0,1544.5,0,-179.0,-89.5,10.0,18.0,0,0.0,0.0,5.5,71908.13,10.0
