qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
8995.0,1065,1.0,131.0,1.0,2021.0,14.0,14.0,monza,92.5,95.0,1.0,20.0,80294.0,249.0,320.0,0.0,0.0,80543.0
8994.0,1065,822.0,131.0,2.0,2021.0,14.0,14.0,monza,92.5,90.0,2.0,20.0,80294.0,391.0,320.0,0.0,0.0,80685.0
8997.0,1065,846.0,1.0,3.0,2021.0,14.0,14.0,monza,72.5,85.0,3.0,20.0,80294.0,622.0,810.0,0.0,0.0,80916.0
8998.0,1065,817.0,1.0,8.0,2021.0,14.0,14.0,monza,72.5,60.0,8.0,20.0,80294.0,998.0,810.0,0.0,0.0,81292.0
8996.0,1065,830.0,9.0,4.0,2021.0,14.0,14.0,monza,67.5,80.0,4.0,20.0,80294.0,741.0,877.5,0.0,0.0,81035.0
9002.0,1065,815.0,9.0,9.0,2021.0,14.0,14.0,monza,67.5,55.00000000000001,9.0,20.0,80294.0,1014.0,877.5,0.0,0.0,81308.0
9000.0,1065,832.0,6.0,5.0,2021.0,14.0,14.0,monza,70.0,75.0,5.0,20.0,80294.0,824.0,874.5,0.0,0.0,81118.0
9001.0,1065,844.0,6.0,7.0,2021.0,14.0,14.0,monza,70.0,65.0,7.0,20.0,80294.0,925.0,874.5,0.0,0.0,81219.0
9003.0,1065,841.0,51.0,6.0,2021.0,14.0,14.0,monza,37.5,70.0,6.0,20.0,80294.0,903.0,1569.5,0.0,0.0,81197.0
9012.0,1065,9.0,51.0,19.0,2021.0,14.0,14.0,monza,37.5,5.0,19.0,20.0,80294.0,2236.0,1569.5,0.0,0.0,82530.0
9004.0,1065,20.0,117.0,10.0,2021.0,14.0,14.0,monza,47.5,50.0,10.0,20.0,80294.0,1100.0,1110.5,0.0,0.0,81394.0
9005.0,1065,840.0,117.0,11.0,2021.0,14.0,14.0,monza,47.5,45.0,11.0,20.0,80294.0,1121.0,1110.5,0.0,0.0,81415.0
8999.0,1065,842.0,213.0,12.0,2021.0,14.0,14.0,monza,27.5,40.0,12.0,20.0,80294.0,1146.0,1412.5,0.0,0.0,81440.0
9010.0,1065,852.0,213.0,17.0,2021.0,14.0,14.0,monza,27.5,15.0,17.0,20.0,80294.0,1679.0,1412.5,0.0,0.0,81973.0
9006.0,1065,4.0,214.0,13.0,2021.0,14.0,14.0,monza,32.5,35.0,13.0,20.0,80294.0,1193.0,1199.5,0.0,0.0,81487.0
9007.0,1065,839.0,214.0,14.0,2021.0,14.0,14.0,monza,32.5,30.0,14.0,20.0,80294.0,1206.0,1199.5,0.0,0.0,81500.0
9008.0,1065,847.0,3.0,15.0,2021.0,14.0,14.0,monza,22.5,25.0,15.0,20.0,80294.0,1596.0,1613.5,0.0,0.0,81890.0
9009.0,1065,849.0,3.0,16.0,2021.0,14.0,14.0,monza,22.5,20.0,16.0,20.0,80294.0,1631.0,1613.5,0.0,0.0,81925.0
9011.0,1065,854.0,210.0,18.0,2021.0,14.0,14.0,monza,5.0,10.0,18.0,20.0,80294.0,1954.0,2188.0,0.0,0.0,82248.0
9013.0,1065,853.0,210.0,20.0,2021.0,14.0,14.0,monza,5.0,0.0,20.0,20.0,80294.0,2422.0,2188.0,0.0,0.0,82716.0
9494.0,1089,830.0,9.0,1.0,2022.0,16.0,14.0,monza,87.5,95.0,1.0,4.0,80294.0,628.0,914.5,741.0,877.5,80922.0
9496.0,1089,815.0,9.0,4.0,2022.0,16.0,14.0,monza,87.5,80.0,4.0,9.0,80294.0,1201.0,914.5,1014.0,877.5,81495.0
9493.0,1089,844.0,6.0,2.0,2022.0,16.0,14.0,monza,87.5,90.0,2.0,7.0,80294.0,986.0,1020.0,925.0,874.5,81280.0
9495.0,1089,832.0,6.0,3.0,2022.0,16.0,14.0,monza,87.5,85.0,3.0,5.0,80294.0,1054.0,1020.0,824.0,874.5,81348.0
9498.0,1089,847.0,131.0,5.0,2022.0,16.0,14.0,monza,65.0,75.0,5.0,15.0,80294.0,1491.0,1622.5,1596.0,1613.5,81785.0
9497.0,1089,1.0,131.0,9.0,2022.0,16.0,14.0,monza,65.0,55.00000000000001,9.0,1.0,80294.0,1754.0,1622.5,249.0,320.0,82048.0
9506.0,1089,855.0,51.0,6.0,2022.0,16.0,14.0,monza,50.0,70.0,6.0,20.0,80294.0,1709.0,1834.5,0.0,0.0,82003.0
9504.0,1089,822.0,51.0,14.0,2022.0,16.0,14.0,monza,50.0,30.0,14.0,2.0,80294.0,1960.0,1834.5,391.0,320.0,82254.0
9501.0,1089,842.0,213.0,7.0,2022.0,16.0,14.0,monza,62.5,65.0,7.0,12.0,80294.0,1716.0,1721.0,1146.0,1412.5,82010.0
9507.0,1089,852.0,213.0,8.0,2022.0,16.0,14.0,monza,62.5,60.0,8.0,17.0,80294.0,1726.0,1721.0,1679.0,1412.5,82020.0
9502.0,1089,4.0,214.0,10.0,2022.0,16.0,14.0,monza,42.5,50.0,10.0,13.0,80294.0,1795.0,1833.5,1193.0,1199.5,82089.0
9503.0,1089,839.0,214.0,13.0,2022.0,16.0,14.0,monza,42.5,35.0,13.0,14.0,80294.0,1872.0,1833.5,1206.0,1199.5,82166.0
9499.0,1089,846.0,1.0,11.0,2022.0,16.0,14.0,monza,42.5,45.0,11.0,3.0,80294.0,1836.0,1840.5,622.0,810.0,82130.0
9500.0,1089,817.0,1.0,12.0,2022.0,16.0,14.0,monza,42.5,40.0,12.0,8.0,80294.0,1845.0,1840.5,998.0,810.0,82139.0
9505.0,1089,856.0,3.0,15.0,2022.0,16.0,14.0,monza,22.5,25.0,15.0,20.0,80294.0,2273.0,2283.0,0.0,0.0,82567.0
9508.0,1089,849.0,3.0,16.0,2022.0,16.0,14.0,monza,22.5,20.0,16.0,16.0,80294.0,2293.0,2283.0,1631.0,1613.5,82587.0
9509.0,1089,20.0,117.0,17.0,2022.0,16.0,14.0,monza,12.5,15.0,17.0,10.0,80294.0,2342.0,2398.0,1100.0,1110.5,82636.0
9510.0,1089,840.0,117.0,18.0,2022.0,16.0,14.0,monza,12.5,10.0,18.0,11.0,80294.0,2454.0,2398.0,1121.0,1110.5,82748.0
9511.0,1089,825.0,210.0,19.0,2022.0,16.0,14.0,monza,2.5,5.0,19.0,20.0,80294.0,2614.0,2662.5,0.0,0.0,82908.0
