qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10160.0,847.0,131.0,2024.0,16.0,14.0,6.0,5.0,80294.0,1491.0,1622.5,0,-38.0,-189.0,12.0,82521.97,12.0
10165.0,840.0,117.0,2024.0,16.0,14.0,4.0,18.0,80294.0,2454.0,2398.0,0,0.0,0.0,3.5,82419.6,3.0
10171.0,817.0,213.0,2024.0,16.0,14.0,10.0,12.0,80294.0,1845.0,1840.5,0,-284.0,-291.5,14.0,82487.15,6.0
10161.0,852.0,213.0,2024.0,16.0,14.0,6.0,8.0,80294.0,1726.0,1721.0,0,0.0,26.0,3.5,82577.2,15.0
10154.0,830.0,9.0,2024.0,16.0,14.0,1.0,1.0,80294.0,628.0,914.5,0,343.0,103.0,9.0,82416.484,2.0
10162.0,822.0,51.0,2024.0,16.0,14.0,2.0,14.0,80294.0,1960.0,1834.5,0,-19.0,277.5,18.0,82406.01,1.0
10169.0,855.0,51.0,2024.0,16.0,14.0,4.0,6.0,80294.0,1709.0,1834.5,0,574.0,277.5,20.0,82481.81,5.0
10156.0,832.0,6.0,2024.0,16.0,14.0,3.0,3.0,80294.0,1054.0,1020.0,0,-470.0,-271.0,7.0,82428.93,4.0
10153.0,844.0,6.0,2024.0,16.0,14.0,15.0,2.0,80294.0,986.0,1020.0,0,-72.0,-271.0,8.0,82515.125,9.0
10164.0,839.0,214.0,2024.0,16.0,14.0,9.0,13.0,80294.0,1872.0,1833.5,0,-36.0,-132.0,17.0,82513.03,7.0
10163.0,842.0,214.0,2024.0,16.0,14.0,6.0,7.0,80294.0,1716.0,1721.0,0,52.0,26.0,16.0,82517.5,10.0
10166.0,846.0,1.0,2024.0,16.0,14.0,11.0,11.0,80294.0,1836.0,1840.5,0,-299.0,-291.5,13.0,82514.3,8.0
10158.0,857.0,1.0,2024.0,16.0,14.0,12.0,20.0,80294.0,0.0,0.0,0,0.0,0.0,20.0,82559.14,13.0
10168.0,848.0,3.0,2024.0,16.0,14.0,12.0,20.0,80294.0,0.0,0.0,0,0.0,0.0,20.0,82518.766,11.0
10170.0,858.0,3.0,2024.0,16.0,14.0,12.0,20.0,80294.0,0.0,0.0,0,0.0,0.0,20.0,82560.14,14.0
