qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,driver_q3vsq2,car_q3vsq2,previous_driver_q3vsq2,previous_car_q3vsq2,position_q3,previous_year_position_q3,q1,q2,q3
8995.0,1065,1.0,131.0,1.0,2021.0,14.0,14.0,monza,92.5,95.0,1.0,20.0,80294.0,249.0,320.0,0.0,0.0,0,-607.0,-630.0,0.0,0.0,6.0,20.0,0,-285.0,-381.0,0.0,0.0,12.0,20.0,80543.0,79936.0,79651.0
8994.0,1065,822.0,131.0,2.0,2021.0,14.0,14.0,monza,92.5,90.0,2.0,20.0,80294.0,391.0,320.0,0.0,0.0,0,-653.0,-630.0,0.0,0.0,7.0,20.0,0,-477.0,-381.0,0.0,0.0,11.0,20.0,80685.0,80032.0,79555.0
9006.0,1065,4.0,214.0,13.0,2021.0,14.0,14.0,monza,32.5,35.0,13.0,20.0,80294.0,1193.0,1199.5,0.0,0.0,0,-418.0,-407.5,0.0,0.0,18.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,81487.0,81069.0,0.0
9007.0,1065,839.0,214.0,14.0,2021.0,14.0,14.0,monza,32.5,30.0,14.0,20.0,80294.0,1206.0,1199.5,0.0,0.0,0,-397.0,-407.5,0.0,0.0,19.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,81500.0,81103.0,0.0
9012.0,1065,9.0,51.0,19.0,2021.0,14.0,14.0,monza,37.5,5.0,19.0,20.0,80294.0,2236.0,1569.5,0.0,0.0,1,0.0,-235.5,0.0,0.0,19.0,20.0,1,0.0,41.0,0.0,0.0,5.5,20.0,82530.0,0.0,0.0
9003.0,1065,841.0,51.0,6.0,2021.0,14.0,14.0,monza,37.5,70.0,6.0,20.0,80294.0,903.0,1569.5,0.0,0.0,0,-471.0,-235.5,0.0,0.0,12.0,20.0,1,82.0,41.0,0.0,0.0,20.0,20.0,81197.0,80726.0,80808.0
9004.0,1065,20.0,117.0,10.0,2021.0,14.0,14.0,monza,47.5,50.0,10.0,20.0,80294.0,1100.0,1110.5,0.0,0.0,0,-481.0,-438.0,0.0,0.0,16.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,81394.0,80913.0,0.0
9005.0,1065,840.0,117.0,11.0,2021.0,14.0,14.0,monza,47.5,45.0,11.0,20.0,80294.0,1121.0,1110.5,0.0,0.0,0,-395.0,-438.0,0.0,0.0,17.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,81415.0,81020.0,0.0
9002.0,1065,815.0,9.0,9.0,2021.0,14.0,14.0,monza,67.5,55.00000000000001,9.0,20.0,80294.0,1014.0,877.5,0.0,0.0,0,-426.0,-616.0,0.0,0.0,15.0,20.0,1,-271.0,-267.0,0.0,0.0,19.0,20.0,81308.0,80882.0,80611.0
8996.0,1065,830.0,9.0,4.0,2021.0,14.0,14.0,monza,67.5,80.0,4.0,20.0,80294.0,741.0,877.5,0.0,0.0,0,-806.0,-616.0,0.0,0.0,9.0,20.0,0,-263.0,-267.0,0.0,0.0,13.0,20.0,81035.0,80229.0,79966.0
8998.0,1065,817.0,1.0,8.0,2021.0,14.0,14.0,monza,72.5,60.0,8.0,20.0,80294.0,998.0,810.0,0.0,0.0,0,-857.0,-857.0,0.0,0.0,10.0,20.0,0,-440.0,-255.0,0.0,0.0,15.0,20.0,81292.0,80435.0,79995.0
8997.0,1065,846.0,1.0,3.0,2021.0,14.0,14.0,monza,72.5,85.0,3.0,20.0,80294.0,622.0,810.0,0.0,0.0,0,-857.0,-857.0,0.0,0.0,8.0,20.0,0,-70.0,-255.0,0.0,0.0,14.0,20.0,80916.0,80059.0,79989.0
9000.0,1065,832.0,6.0,5.0,2021.0,14.0,14.0,monza,70.0,75.0,5.0,20.0,80294.0,824.0,874.5,0.0,0.0,0,-368.0,-410.0,0.0,0.0,13.0,20.0,1,-288.0,-272.5,0.0,0.0,17.0,20.0,81118.0,80750.0,80462.0
9001.0,1065,844.0,6.0,7.0,2021.0,14.0,14.0,monza,70.0,65.0,7.0,20.0,80294.0,925.0,874.5,0.0,0.0,0,-452.0,-410.0,0.0,0.0,14.0,20.0,1,-257.0,-272.5,0.0,0.0,18.0,20.0,81219.0,80767.0,80510.0
8999.0,1065,842.0,213.0,12.0,2021.0,14.0,14.0,monza,27.5,40.0,12.0,20.0,80294.0,1146.0,1412.5,0.0,0.0,0,-884.0,-442.0,0.0,0.0,11.0,20.0,1,-296.0,-148.0,0.0,0.0,16.0,20.0,81440.0,80556.0,80260.0
9010.0,1065,852.0,213.0,17.0,2021.0,14.0,14.0,monza,27.5,15.0,17.0,20.0,80294.0,1679.0,1412.5,0.0,0.0,1,0.0,-442.0,0.0,0.0,17.0,20.0,1,0.0,-148.0,0.0,0.0,5.5,20.0,81973.0,0.0,0.0
9008.0,1065,847.0,3.0,15.0,2021.0,14.0,14.0,monza,22.5,25.0,15.0,20.0,80294.0,1596.0,1613.5,0.0,0.0,0,-498.0,-249.0,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,81890.0,81392.0,0.0
9009.0,1065,849.0,3.0,16.0,2021.0,14.0,14.0,monza,22.5,20.0,16.0,20.0,80294.0,1631.0,1613.5,0.0,0.0,1,0.0,-249.0,0.0,0.0,16.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,81925.0,0.0,0.0
9013.0,1065,853.0,210.0,20.0,2021.0,14.0,14.0,monza,5.0,0.0,20.0,20.0,80294.0,2422.0,2188.0,0.0,0.0,1,0.0,0.0,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,82716.0,0.0,0.0
9011.0,1065,854.0,210.0,18.0,2021.0,14.0,14.0,monza,5.0,10.0,18.0,20.0,80294.0,1954.0,2188.0,0.0,0.0,1,0.0,0.0,0.0,0.0,18.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,82248.0,0.0,0.0
9497.0,1089,1.0,131.0,9.0,2022.0,16.0,14.0,monza,65.0,55.00000000000001,9.0,1.0,80294.0,1754.0,1622.5,249.0,320.0,0,-340.0,-189.0,-607.0,-630.0,11.0,6.0,1,-184.0,-194.5,-285.0,-381.0,16.0,12.0,82048.0,81708.0,81524.0
9498.0,1089,847.0,131.0,5.0,2022.0,16.0,14.0,monza,65.0,75.0,5.0,15.0,80294.0,1491.0,1622.5,1596.0,1613.5,0,-38.0,-189.0,-498.0,-249.0,12.0,20.0,1,-205.0,-194.5,0.0,0.0,17.0,5.5,81785.0,81747.0,81542.0
9502.0,1089,4.0,214.0,10.0,2022.0,16.0,14.0,monza,42.5,50.0,10.0,13.0,80294.0,1795.0,1833.5,1193.0,1199.5,0,-228.0,-132.0,-418.0,-407.5,15.0,18.0,1,0.0,0.0,0.0,0.0,6.0,5.5,82089.0,81861.0,0.0
9503.0,1089,839.0,214.0,13.0,2022.0,16.0,14.0,monza,42.5,35.0,13.0,14.0,80294.0,1872.0,1833.5,1206.0,1199.5,0,-36.0,-132.0,-397.0,-407.5,17.0,19.0,1,0.0,0.0,0.0,0.0,6.0,5.5,82166.0,82130.0,0.0
9509.0,1089,20.0,117.0,17.0,2022.0,16.0,14.0,monza,12.5,15.0,17.0,10.0,80294.0,2342.0,2398.0,1100.0,1110.5,1,0.0,0.0,-481.0,-438.0,17.0,16.0,1,0.0,0.0,0.0,0.0,6.0,5.5,82636.0,0.0,0.0
9510.0,1089,840.0,117.0,18.0,2022.0,16.0,14.0,monza,12.5,10.0,18.0,11.0,80294.0,2454.0,2398.0,1121.0,1110.5,1,0.0,0.0,-395.0,-438.0,18.0,17.0,1,0.0,0.0,0.0,0.0,6.0,5.5,82748.0,0.0,0.0
9496.0,1089,815.0,9.0,4.0,2022.0,16.0,14.0,monza,87.5,80.0,4.0,9.0,80294.0,1201.0,914.5,1014.0,877.5,0,-137.0,103.0,-426.0,-616.0,10.0,15.0,0,-152.0,-555.5,-271.0,-267.0,15.0,19.0,81495.0,81358.0,81206.0
9494.0,1089,830.0,9.0,1.0,2022.0,16.0,14.0,monza,87.5,95.0,1.0,4.0,80294.0,628.0,914.5,741.0,877.5,0,343.0,103.0,-806.0,-616.0,9.0,9.0,0,-959.0,-555.5,-263.0,-267.0,13.0,13.0,80922.0,81265.0,80306.0
9500.0,1089,817.0,1.0,12.0,2022.0,16.0,14.0,monza,42.5,40.0,12.0,8.0,80294.0,1845.0,1840.5,998.0,810.0,0,-284.0,-291.5,-857.0,-857.0,14.0,10.0,1,70.0,-88.5,-440.0,-255.0,19.0,15.0,82139.0,81855.0,81925.0
9499.0,1089,846.0,1.0,11.0,2022.0,16.0,14.0,monza,42.5,45.0,11.0,3.0,80294.0,1836.0,1840.5,622.0,810.0,0,-299.0,-291.5,-857.0,-857.0,13.0,8.0,1,-247.0,-88.5,-70.0,-255.0,18.0,14.0,82130.0,81831.0,81584.0
9504.0,1089,822.0,51.0,14.0,2022.0,16.0,14.0,monza,50.0,30.0,14.0,2.0,80294.0,1960.0,1834.5,391.0,320.0,0,-19.0,277.5,-653.0,-630.0,18.0,7.0,1,0.0,0.0,-477.0,-381.0,6.0,11.0,82254.0,82235.0,0.0
9506.0,1089,855.0,51.0,6.0,2022.0,16.0,14.0,monza,50.0,70.0,6.0,20.0,80294.0,1709.0,1834.5,0.0,0.0,0,574.0,277.5,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,6.0,20.0,82003.0,82577.0,0.0
9511.0,1089,825.0,210.0,19.0,2022.0,16.0,14.0,monza,2.5,5.0,19.0,20.0,80294.0,2614.0,2662.5,0.0,0.0,1,0.0,0.0,0.0,0.0,19.0,20.0,1,0.0,0.0,0.0,0.0,6.0,20.0,82908.0,0.0,0.0
9512.0,1089,854.0,210.0,20.0,2022.0,16.0,14.0,monza,2.5,0.0,20.0,18.0,80294.0,2711.0,2662.5,1954.0,2188.0,1,0.0,0.0,0.0,0.0,20.0,3.0,1,0.0,0.0,0.0,0.0,6.0,5.5,83005.0,0.0,0.0
9495.0,1089,832.0,6.0,3.0,2022.0,16.0,14.0,monza,87.5,85.0,3.0,5.0,80294.0,1054.0,1020.0,824.0,874.5,0,-470.0,-271.0,-368.0,-410.0,7.0,13.0,0,-449.0,-748.0,-288.0,-272.5,14.0,17.0,81348.0,80878.0,80429.0
9493.0,1089,844.0,6.0,2.0,2022.0,16.0,14.0,monza,87.5,90.0,2.0,7.0,80294.0,986.0,1020.0,925.0,874.5,0,-72.0,-271.0,-452.0,-410.0,8.0,14.0,0,-1047.0,-748.0,-257.0,-272.5,12.0,18.0,81280.0,81208.0,80161.0
9501.0,1089,842.0,213.0,7.0,2022.0,16.0,14.0,monza,62.5,65.0,7.0,12.0,80294.0,1716.0,1721.0,1146.0,1412.5,0,52.0,26.0,-884.0,-442.0,16.0,11.0,1,586.0,293.0,-296.0,-148.0,20.0,16.0,82010.0,82062.0,82648.0
9507.0,1089,852.0,213.0,8.0,2022.0,16.0,14.0,monza,62.5,60.0,8.0,17.0,80294.0,1726.0,1721.0,1679.0,1412.5,0,0.0,26.0,0.0,-442.0,3.5,3.0,0,0.0,293.0,0.0,-148.0,6.0,5.5,82020.0,0.0,0.0
9508.0,1089,849.0,3.0,16.0,2022.0,16.0,14.0,monza,22.5,20.0,16.0,16.0,80294.0,2293.0,2283.0,1631.0,1613.5,1,0.0,-48.0,0.0,-249.0,16.0,3.0,1,0.0,0.0,0.0,0.0,6.0,5.5,82587.0,0.0,0.0
9505.0,1089,856.0,3.0,15.0,2022.0,16.0,14.0,monza,22.5,25.0,15.0,20.0,80294.0,2273.0,2283.0,0.0,0.0,0,-96.0,-48.0,0.0,0.0,19.0,20.0,1,0.0,0.0,0.0,0.0,6.0,20.0,82567.0,82471.0,0.0
10155.0,1125,1.0,131.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,19.0,9.0,80294.0,,,1754.0,1622.5,1,,,-340.0,-189.0,19.0,11.0,1,,,-184.0,-194.5,,16.0,81482.0546875,0.0,
10160.0,1125,847.0,131.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,6.0,5.0,80294.0,,,1491.0,1622.5,0,,,-38.0,-189.0,12.0,12.0,1,,,-205.0,-194.5,,17.0,81469.6640625,82521.97,
10157.0,1125,4.0,117.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,17.0,10.0,80294.0,,,1795.0,1833.5,1,,,-228.0,-132.0,17.0,15.0,1,,,0.0,0.0,,6.0,81480.453125,0.0,
10165.0,1125,840.0,117.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,4.0,18.0,80294.0,,,2454.0,2398.0,0,,,0.0,0.0,3.0,3.5,0,,,0.0,0.0,,6.0,81468.0625,82419.6,
10172.0,1125,807.0,213.0,0.0,2024.0,16.0,14.0,monza,150.0,100.0,16.0,20.0,80294.0,,,0.0,0.0,1,,,0.0,0.0,16.0,20.0,1,,,0.0,0.0,,20.0,81480.296875,0.0,
10171.0,1125,817.0,213.0,0.0,2024.0,16.0,14.0,monza,150.0,100.0,10.0,12.0,80294.0,,,1845.0,1840.5,0,,,-284.0,-291.5,6.0,14.0,0,,,70.0,-88.5,,19.0,81471.921875,82487.15,
10161.0,1125,852.0,213.0,0.0,2024.0,16.0,14.0,monza,150.0,100.0,6.0,8.0,80294.0,,,1726.0,1721.0,0,,,0.0,26.0,15.0,3.5,1,,,0.0,293.0,,6.0,81469.6640625,82577.2,
10159.0,1125,815.0,9.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,18.0,4.0,80294.0,,,1201.0,914.5,1,,,-137.0,103.0,18.0,10.0,1,,,-152.0,-555.5,,15.0,81481.8515625,0.0,
10154.0,1125,830.0,9.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,1.0,1.0,80294.0,,,628.0,914.5,0,,,343.0,103.0,2.0,9.0,0,,,-959.0,-555.5,,13.0,81447.8984375,82416.484,
10162.0,1125,822.0,51.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,2.0,14.0,80294.0,,,1960.0,1834.5,0,,,-19.0,277.5,1.0,18.0,0,,,0.0,0.0,,6.0,81463.125,82406.01,
10169.0,1125,855.0,51.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,4.0,6.0,80294.0,,,1709.0,1834.5,0,,,574.0,277.5,5.0,20.0,0,,,0.0,0.0,,6.0,81468.0625,82481.81,
10167.0,1125,825.0,210.0,0.0,2024.0,16.0,14.0,monza,50.0,100.0,20.0,19.0,80294.0,,,2614.0,2662.5,1,,,0.0,0.0,20.0,3.5,1,,,0.0,0.0,,6.0,82172.3046875,0.0,
10156.0,1125,832.0,6.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,3.0,3.0,80294.0,,,1054.0,1020.0,0,,,-470.0,-271.0,4.0,7.0,0,,,-449.0,-748.0,,14.0,81467.8984375,82428.93,
10153.0,1125,844.0,6.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,15.0,2.0,80294.0,,,986.0,1020.0,0,,,-72.0,-271.0,9.0,8.0,0,,,-1047.0,-748.0,,12.0,81473.71875,82515.125,
10164.0,1125,839.0,214.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,9.0,13.0,80294.0,,,1872.0,1833.5,0,,,-36.0,-132.0,7.0,17.0,0,,,0.0,0.0,,6.0,81471.125,82513.03,
10163.0,1125,842.0,214.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,6.0,7.0,80294.0,,,1716.0,1721.0,0,,,52.0,26.0,10.0,16.0,0,,,586.0,293.0,,20.0,81469.6640625,82517.5,
10166.0,1125,846.0,1.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,11.0,11.0,80294.0,,,1836.0,1840.5,0,,,-299.0,-291.5,8.0,13.0,0,,,-247.0,-88.5,,18.0,81472.3203125,82514.3,
10158.0,1125,857.0,1.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,12.0,20.0,80294.0,,,0.0,0.0,0,,,0.0,0.0,13.0,20.0,1,,,0.0,0.0,,20.0,81472.8359375,82559.14,
10168.0,1125,848.0,3.0,0.0,2024.0,16.0,14.0,monza,100.0,100.0,12.0,20.0,80294.0,,,0.0,0.0,0,,,0.0,0.0,11.0,20.0,1,,,0.0,0.0,,20.0,81472.8359375,82518.766,
