qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10165.0,840.0,117.0,2024.0,16.0,14.0,4.0,18.0,80294.0,2454.0,2398.0,0,0.0,0.0,3.0,3.5,0,0.0,0.0,6.0,81178.47,7.0
10171.0,817.0,213.0,2024.0,16.0,14.0,10.0,12.0,80294.0,1845.0,1840.5,0,-284.0,-291.5,6.0,14.0,0,70.0,-88.5,19.0,81179.47,8.0
10154.0,830.0,9.0,2024.0,16.0,14.0,1.0,1.0,80294.0,628.0,914.5,0,343.0,103.0,2.0,9.0,0,-959.0,-555.5,13.0,81043.984,1.0
10162.0,822.0,51.0,2024.0,16.0,14.0,2.0,14.0,80294.0,1960.0,1834.5,0,-19.0,277.5,1.0,18.0,0,0.0,0.0,6.0,81147.39,3.0
10169.0,855.0,51.0,2024.0,16.0,14.0,4.0,6.0,80294.0,1709.0,1834.5,0,574.0,277.5,5.0,20.0,0,0.0,0.0,6.0,81175.79,6.0
10156.0,832.0,6.0,2024.0,16.0,14.0,3.0,3.0,80294.0,1054.0,1020.0,0,-470.0,-271.0,4.0,7.0,0,-449.0,-748.0,14.0,81155.17,4.0
10153.0,844.0,6.0,2024.0,16.0,14.0,15.0,2.0,80294.0,986.0,1020.0,0,-72.0,-271.0,9.0,8.0,0,-1047.0,-748.0,12.0,81061.92,2.0
10164.0,839.0,214.0,2024.0,16.0,14.0,9.0,13.0,80294.0,1872.0,1833.5,0,-36.0,-132.0,7.0,17.0,0,0.0,0.0,6.0,81180.47,9.0
10163.0,842.0,214.0,2024.0,16.0,14.0,6.0,7.0,80294.0,1716.0,1721.0,0,52.0,26.0,10.0,16.0,0,586.0,293.0,20.0,81181.47,10.0
10166.0,846.0,1.0,2024.0,16.0,14.0,11.0,11.0,80294.0,1836.0,1840.5,0,-299.0,-291.5,8.0,13.0,0,-247.0,-88.5,18.0,81174.125,5.0
