qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
8775.0,1054,822.0,131.0,1.0,2021.0,3.0,75.0,portimao,0.0,0.0,1.0,20.0,76466.0,2256.0,2323.5,0.0,0.0,78722.0
8776.0,1054,1.0,131.0,3.0,2021.0,3.0,75.0,portimao,0.0,0.0,3.0,20.0,76466.0,2391.0,2323.5,0.0,0.0,78857.0
8781.0,1054,846.0,1.0,2.0,2021.0,3.0,75.0,portimao,0.0,0.0,2.0,20.0,76466.0,2328.0,2850.5,0.0,0.0,78794.0
8790.0,1054,817.0,1.0,16.0,2021.0,3.0,75.0,portimao,0.0,0.0,16.0,20.0,76466.0,3373.0,2850.5,0.0,0.0,79839.0
8780.0,1054,839.0,214.0,4.0,2021.0,3.0,75.0,portimao,0.0,0.0,4.0,20.0,76466.0,2626.0,2944.0,0.0,0.0,79092.0
8787.0,1054,4.0,214.0,13.0,2021.0,3.0,75.0,portimao,0.0,0.0,13.0,20.0,76466.0,3262.0,2944.0,0.0,0.0,79728.0
8779.0,1054,832.0,6.0,5.0,2021.0,3.0,75.0,portimao,0.0,0.0,5.0,20.0,76466.0,2843.0,2875.0,0.0,0.0,79309.0
8782.0,1054,844.0,6.0,7.0,2021.0,3.0,75.0,portimao,0.0,0.0,7.0,20.0,76466.0,2907.0,2875.0,0.0,0.0,79373.0
8778.0,1054,815.0,9.0,6.0,2021.0,3.0,75.0,portimao,0.0,0.0,6.0,20.0,76466.0,2871.0,2945.0,0.0,0.0,79337.0
8777.0,1054,830.0,9.0,11.0,2021.0,3.0,75.0,portimao,0.0,0.0,11.0,20.0,76466.0,3019.0,2945.0,0.0,0.0,79485.0
8784.0,1054,20.0,117.0,8.0,2021.0,3.0,75.0,portimao,0.0,0.0,8.0,20.0,76466.0,2937.0,3192.0,0.0,0.0,79403.0
8791.0,1054,840.0,117.0,17.0,2021.0,3.0,75.0,portimao,0.0,0.0,17.0,20.0,76466.0,3447.0,3192.0,0.0,0.0,79913.0
8786.0,1054,841.0,51.0,9.0,2021.0,3.0,75.0,portimao,0.0,0.0,9.0,20.0,76466.0,2944.0,3113.0,0.0,0.0,79410.0
8789.0,1054,8.0,51.0,14.0,2021.0,3.0,75.0,portimao,0.0,0.0,14.0,20.0,76466.0,3282.0,3113.0,0.0,0.0,79748.0
8783.0,1054,842.0,213.0,10.0,2021.0,3.0,75.0,portimao,0.0,0.0,10.0,20.0,76466.0,2998.0,3108.0,0.0,0.0,79464.0
8788.0,1054,852.0,213.0,12.0,2021.0,3.0,75.0,portimao,0.0,0.0,12.0,20.0,76466.0,3218.0,3108.0,0.0,0.0,79684.0
8785.0,1054,847.0,3.0,15.0,2021.0,3.0,75.0,portimao,0.0,0.0,15.0,20.0,76466.0,3331.0,3575.0,0.0,0.0,79797.0
8792.0,1054,849.0,3.0,18.0,2021.0,3.0,75.0,portimao,0.0,0.0,18.0,20.0,76466.0,3819.0,3575.0,0.0,0.0,80285.0
8793.0,1054,854.0,210.0,19.0,2021.0,3.0,75.0,portimao,0.0,0.0,19.0,20.0,76466.0,3986.0,4216.0,0.0,0.0,80452.0
8794.0,1054,853.0,210.0,20.0,2021.0,3.0,75.0,portimao,0.0,0.0,20.0,20.0,76466.0,4446.0,4216.0,0.0,0.0,80912.0
