qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
8874.0,1058,830.0,9.0,1.0,2021.0,8.0,70.0,red_bull_ring,162.5,95.0,4.0,20.0,64391.0,98.00000000000728,161.25000000000182,0.0,0.0,64489.00000000001
8878.0,1058,815.0,9.0,5.0,2021.0,8.0,70.0,red_bull_ring,162.5,75.0,11.0,20.0,64391.0,247.00000000000728,161.25000000000182,0.0,0.0,64638.00000000001
8894.0,1060,830.0,9.0,1.0,2021.0,9.0,70.0,red_bull_ring,162.5,95.0,1.0,4.0,64391.0,-142.00000000000728,161.25000000000182,98.00000000000728,161.25000000000182,64248.99999999999
8896.0,1060,815.0,9.0,8.0,2021.0,9.0,70.0,red_bull_ring,162.5,60.0,17.0,11.0,64391.0,442.0,161.25000000000182,247.00000000000728,161.25000000000182,64833.0
8875.0,1058,822.0,131.0,2.0,2021.0,8.0,70.0,red_bull_ring,157.5,90.0,6.0,20.0,64391.0,146.00000000000728,178.50000000000182,0.0,0.0,64537.00000000001
8876.0,1058,1.0,131.0,6.0,2021.0,8.0,70.0,red_bull_ring,157.5,70.0,12.0,20.0,64391.0,281.0,178.50000000000182,0.0,0.0,64672.0
8897.0,1060,1.0,131.0,4.0,2021.0,9.0,70.0,red_bull_ring,157.5,80.0,5.0,12.0,64391.0,115.0,178.50000000000182,281.0,178.50000000000182,64506.0
8898.0,1060,822.0,131.0,5.0,2021.0,9.0,70.0,red_bull_ring,157.5,75.0,7.0,6.0,64391.0,172.0,178.50000000000182,146.00000000000728,178.50000000000182,64563.0
8877.0,1058,846.0,1.0,3.0,2021.0,8.0,70.0,red_bull_ring,112.5,85.0,8.0,20.0,64391.0,193.0,371.0,0.0,0.0,64584.0
8886.0,1058,817.0,1.0,15.0,2021.0,8.0,70.0,red_bull_ring,112.5,25.0,32.0,20.0,64391.0,750.9999999999927,371.0,0.0,0.0,65141.99999999999
8895.0,1060,846.0,1.0,2.0,2021.0,9.0,70.0,red_bull_ring,112.5,90.0,2.0,8.0,64391.0,-46.0,371.0,193.0,371.0,64345.0
8906.0,1060,817.0,1.0,15.0,2021.0,9.0,70.0,red_bull_ring,112.5,25.0,26.0,32.0,64391.0,586.0000000000073,371.0,750.9999999999927,371.0,64977.00000000001
8881.0,1058,852.0,213.0,4.0,2021.0,8.0,70.0,red_bull_ring,112.5,80.0,10.0,20.0,64391.0,217.00000000000728,404.25,0.0,0.0,64608.00000000001
8879.0,1058,842.0,213.0,8.0,2021.0,8.0,70.0,red_bull_ring,112.5,60.0,14.0,20.0,64391.0,374.0,404.25,0.0,0.0,64765.0
8899.0,1060,842.0,213.0,9.0,2021.0,9.0,70.0,red_bull_ring,112.5,55.00000000000001,18.0,14.0,64391.0,449.9999999999927,404.25,374.0,404.25,64840.99999999999
8900.0,1060,852.0,213.0,14.0,2021.0,9.0,70.0,red_bull_ring,112.5,30.0,24.0,10.0,64391.0,576.0,404.25,217.00000000000728,404.25,64967.0
8880.0,1058,844.0,6.0,7.0,2021.0,8.0,70.0,red_bull_ring,115.0,65.0,13.0,20.0,64391.0,354.0000000000073,385.5000000000018,0.0,0.0,64745.00000000001
8885.0,1058,832.0,6.0,10.0,2021.0,8.0,70.0,red_bull_ring,115.0,50.0,20.0,20.0,64391.0,467.9999999999927,385.5000000000018,0.0,0.0,64858.99999999999
8904.0,1060,832.0,6.0,6.0,2021.0,9.0,70.0,red_bull_ring,115.0,70.0,9.0,20.0,64391.0,205.0,385.5000000000018,467.9999999999927,385.5000000000018,64596.0
8905.0,1060,844.0,6.0,11.0,2021.0,9.0,70.0,red_bull_ring,115.0,45.0,21.0,13.0,64391.0,515.0000000000073,385.5000000000018,354.0000000000073,385.5000000000018,64906.00000000001
8883.0,1058,840.0,117.0,9.0,2021.0,8.0,70.0,red_bull_ring,87.5,55.00000000000001,16.0,20.0,64391.0,430.0,520.2500000000018,0.0,0.0,64821.0
8887.0,1058,20.0,117.0,13.0,2021.0,8.0,70.0,red_bull_ring,87.5,35.0,29.5,20.0,64391.0,660.0,520.2500000000018,0.0,0.0,65051.0
8901.0,1060,20.0,117.0,10.0,2021.0,9.0,70.0,red_bull_ring,87.5,50.0,19.0,29.5,64391.0,455.0,520.2500000000018,660.0,520.2500000000018,64846.0
8903.0,1060,840.0,117.0,13.0,2021.0,9.0,70.0,red_bull_ring,87.5,35.0,23.0,16.0,64391.0,536.0000000000073,520.2500000000018,430.0,520.2500000000018,64927.00000000001
8882.0,1058,4.0,214.0,11.0,2021.0,8.0,70.0,red_bull_ring,80.0,45.0,25.0,20.0,64391.0,580.0,536.7499999999982,0.0,0.0,64971.0
8890.0,1058,839.0,214.0,17.0,2021.0,8.0,70.0,red_bull_ring,80.0,15.0,35.0,20.0,64391.0,826.0,536.7499999999982,0.0,0.0,65217.0
8907.0,1060,4.0,214.0,3.0,2021.0,9.0,70.0,red_bull_ring,80.0,85.0,3.0,25.0,64391.0,80.99999999999272,536.7499999999982,580.0,536.7499999999982,64471.99999999999
8910.0,1060,839.0,214.0,17.0,2021.0,9.0,70.0,red_bull_ring,80.0,15.0,29.5,35.0,64391.0,660.0,536.7499999999982,826.0,536.7499999999982,65051.0
8884.0,1058,847.0,3.0,12.0,2021.0,8.0,70.0,red_bull_ring,55.0,40.0,28.0,20.0,64391.0,642.0,686.4999999999982,0.0,0.0,65033.0
8889.0,1058,849.0,3.0,16.0,2021.0,8.0,70.0,red_bull_ring,55.0,20.0,33.0,20.0,64391.0,784.0,686.4999999999982,0.0,0.0,65175.0
8902.0,1060,847.0,3.0,12.0,2021.0,9.0,70.0,red_bull_ring,55.0,40.0,22.0,28.0,64391.0,516.0,686.4999999999982,642.0,686.4999999999982,64907.0
8911.0,1060,849.0,3.0,18.0,2021.0,9.0,70.0,red_bull_ring,55.0,10.0,34.0,33.0,64391.0,803.9999999999927,686.4999999999982,784.0,686.4999999999982,65194.99999999999
8888.0,1058,841.0,51.0,14.0,2021.0,8.0,70.0,red_bull_ring,62.5,30.0,31.0,20.0,64391.0,701.0,687.0,0.0,0.0,65092.0
