qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10055.0,1.0,131.0,2024.0,11.0,70.0,15.0,8.5,64391.0,1282.0,1288.5,0,-485.0,-371.5,12.0,101126.75,10.0
10060.0,847.0,131.0,2024.0,11.0,70.0,7.0,11.0,64391.0,1295.0,1288.5,0,-258.0,-371.5,16.0,101113.945,4.0
10057.0,4.0,117.0,2024.0,11.0,70.0,13.0,7.0,64391.0,1264.0,1291.5,0,-474.0,-531.5000000000036,11.0,101121.8,7.0
10065.0,840.0,117.0,2024.0,11.0,70.0,7.0,12.0,64391.0,1319.0,1291.5,0,-589.0000000000073,-531.5000000000036,10.0,101114.48,5.0
10072.0,807.0,213.0,2024.0,11.0,70.0,14.0,14.0,64391.0,1349.0,1464.5,0,-378.0000000000073,-189.00000000000364,14.0,101125.57,9.0
10061.0,852.0,213.0,2024.0,11.0,70.0,7.0,16.0,64391.0,1393.0,1488.0,0,0.0,0.0,3.0,101122.9,8.0
10069.0,855.0,51.0,2024.0,11.0,70.0,7.0,17.0,64391.0,1427.0,1399.5,0,0.0,-41.5,3.0,101117.21,6.0
10056.0,832.0,6.0,2024.0,11.0,70.0,6.0,3.0,64391.0,948.0,1067.0,0,-364.0000000000073,-427.00000000000364,7.0,101702.445,14.0
10053.0,844.0,6.0,2024.0,11.0,70.0,1.0,5.0,64391.0,1186.0,1067.0,0,-490.0,-427.00000000000364,9.0,101667.33,12.0
10064.0,839.0,214.0,2024.0,11.0,70.0,7.0,13.0,64391.0,1338.0,1231.0,0,-276.0,-241.49999999999636,17.0,101112.44,3.0
10063.0,842.0,214.0,2024.0,11.0,70.0,7.0,4.0,64391.0,1124.0,1231.0,0,-206.99999999999272,-241.49999999999636,13.0,101700.94,13.0
10066.0,846.0,1.0,2024.0,11.0,70.0,2.0,6.0,64391.0,1226.0,1259.0,0,-579.0,-328.5,8.0,102080.31,15.0
10058.0,857.0,1.0,2024.0,11.0,70.0,2.0,10.0,64391.0,1292.0,1259.0,0,-78.0,-328.5,18.0,101290.04,11.0
10068.0,848.0,3.0,2024.0,11.0,70.0,2.0,8.5,64391.0,1282.0,1419.5,0,-286.0,-143.0,15.0,101049.016,1.0
10070.0,858.0,3.0,2024.0,11.0,70.0,5.0,18.0,64391.0,1557.0,1419.5,0,0.0,-143.0,3.0,101072.6,2.0
