qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q1,q2
8876.0,1058,1.0,131.0,6.0,2021.0,8.0,70.0,red_bull_ring,157.5,70.0,12.0,20.0,64391.0,281.0,178.50000000000182,0.0,0.0,0,-160.0,-172.25000000000182,0.0,0.0,45.5,20.0,64672.0,64512.0
8876.0,1058,1.0,131.0,6.0,2021.0,8.0,70.0,red_bull_ring,157.5,70.0,12.0,20.0,64391.0,281.0,178.50000000000182,0.0,0.0,0,-414.0000000000073,-172.25000000000182,-160.0,-172.25000000000182,25.5,45.5,64672.0,64257.99999999999
8897.0,1060,1.0,131.0,4.0,2021.0,9.0,70.0,red_bull_ring,157.5,80.0,5.0,12.0,64391.0,115.0,178.50000000000182,281.0,178.50000000000182,0,6.0,-172.25000000000182,-414.0000000000073,-172.25000000000182,45.5,25.5,64506.0,64512.0
8897.0,1060,1.0,131.0,4.0,2021.0,9.0,70.0,red_bull_ring,157.5,80.0,5.0,12.0,64391.0,115.0,178.50000000000182,281.0,178.50000000000182,0,-248.00000000000728,-172.25000000000182,6.0,-172.25000000000182,25.5,45.5,64506.0,64257.99999999999
8875.0,1058,822.0,131.0,2.0,2021.0,8.0,70.0,red_bull_ring,157.5,90.0,6.0,20.0,64391.0,146.00000000000728,178.50000000000182,0.0,0.0,0,-94.00000000000728,-172.25000000000182,0.0,0.0,39.5,20.0,64537.00000000001,64443.0
8875.0,1058,822.0,131.0,2.0,2021.0,8.0,70.0,red_bull_ring,157.5,90.0,6.0,20.0,64391.0,146.00000000000728,178.50000000000182,0.0,0.0,0,-161.0,-172.25000000000182,-94.00000000000728,-172.25000000000182,29.5,39.5,64537.00000000001,64376.00000000001
8898.0,1060,822.0,131.0,5.0,2021.0,9.0,70.0,red_bull_ring,157.5,75.0,7.0,6.0,64391.0,172.0,178.50000000000182,146.00000000000728,178.50000000000182,0,-120.0,-172.25000000000182,-161.0,-172.25000000000182,39.5,29.5,64563.0,64443.0
8898.0,1060,822.0,131.0,5.0,2021.0,9.0,70.0,red_bull_ring,157.5,75.0,7.0,6.0,64391.0,172.0,178.50000000000182,146.00000000000728,178.50000000000182,0,-186.99999999999272,-172.25000000000182,-120.0,-172.25000000000182,29.5,39.5,64563.0,64376.00000000001
8882.0,1058,4.0,214.0,11.0,2021.0,8.0,70.0,red_bull_ring,80.0,45.0,25.0,20.0,64391.0,580.0,536.7499999999982,0.0,0.0,1,-389.0000000000073,-1.250000000001819,0.0,0.0,55.5,20.0,64971.0,64581.99999999999
8882.0,1058,4.0,214.0,11.0,2021.0,8.0,70.0,red_bull_ring,80.0,45.0,25.0,20.0,64391.0,580.0,536.7499999999982,0.0,0.0,1,-115.00000000000728,-1.250000000001819,-389.0000000000073,-1.250000000001819,73.5,55.5,64971.0,64855.99999999999
8907.0,1060,4.0,214.0,3.0,2021.0,9.0,70.0,red_bull_ring,80.0,85.0,3.0,25.0,64391.0,80.99999999999272,536.7499999999982,580.0,536.7499999999982,0,110.0,-1.250000000001819,-115.00000000000728,-1.250000000001819,55.5,73.5,64471.99999999999,64581.99999999999
8907.0,1060,4.0,214.0,3.0,2021.0,9.0,70.0,red_bull_ring,80.0,85.0,3.0,25.0,64391.0,80.99999999999272,536.7499999999982,580.0,536.7499999999982,0,384.0,-1.250000000001819,110.0,-1.250000000001819,73.5,55.5,64471.99999999999,64855.99999999999
8890.0,1058,839.0,214.0,17.0,2021.0,8.0,70.0,red_bull_ring,80.0,15.0,35.0,20.0,64391.0,826.0,536.7499999999982,0.0,0.0,1,0.0,-1.250000000001819,0.0,0.0,10.5,20.0,65217.0,0.0
8890.0,1058,839.0,214.0,17.0,2021.0,8.0,70.0,red_bull_ring,80.0,15.0,35.0,20.0,64391.0,826.0,536.7499999999982,0.0,0.0,1,0.0,-1.250000000001819,0.0,-1.250000000001819,10.5,10.5,65217.0,0.0
8910.0,1060,839.0,214.0,17.0,2021.0,9.0,70.0,red_bull_ring,80.0,15.0,29.5,35.0,64391.0,660.0,536.7499999999982,826.0,536.7499999999982,1,0.0,-1.250000000001819,0.0,-1.250000000001819,10.5,10.5,65051.0,0.0
8910.0,1060,839.0,214.0,17.0,2021.0,9.0,70.0,red_bull_ring,80.0,15.0,29.5,35.0,64391.0,660.0,536.7499999999982,826.0,536.7499999999982,1,0.0,-1.250000000001819,0.0,-1.250000000001819,10.5,10.5,65051.0,0.0
8891.0,1058,8.0,51.0,18.0,2021.0,8.0,70.0,red_bull_ring,62.5,10.0,37.0,20.0,64391.0,1038.0,687.0,0.0,0.0,1,0.0,30.5,0.0,0.0,10.5,20.0,65429.0,0.0
8891.0,1058,8.0,51.0,18.0,2021.0,8.0,70.0,red_bull_ring,62.5,10.0,37.0,20.0,64391.0,1038.0,687.0,0.0,0.0,1,0.0,30.5,0.0,30.5,10.5,10.5,65429.0,0.0
8909.0,1060,8.0,51.0,16.0,2021.0,9.0,70.0,red_bull_ring,62.5,20.0,27.0,37.0,64391.0,618.0,687.0,1038.0,687.0,1,0.0,30.5,0.0,30.5,10.5,10.5,65009.0,0.0
