qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,driver_q3vsq2,car_q3vsq2,previous_driver_q3vsq2,previous_car_q3vsq2,position_q3,previous_year_position_q3,q1,q2,q3
8876.0,1058,1.0,131.0,6.0,2021.0,8.0,70.0,red_bull_ring,157.5,70.0,12.0,20.0,64391.0,281.0,178.50000000000182,0.0,0.0,0,-160.0,-172.25000000000182,0.0,0.0,45.5,20.0,1,-445.0000000000073,-356.0000000000018,0.0,0.0,110.5,20.0,64672.0,64512.0,64066.99999999999
8876.0,1058,1.0,131.0,6.0,2021.0,8.0,70.0,red_bull_ring,157.5,70.0,12.0,20.0,64391.0,281.0,178.50000000000182,0.0,0.0,0,-160.0,-172.25000000000182,0.0,0.0,45.5,20.0,1,-498.0000000000073,-356.0000000000018,-445.0000000000073,-356.0000000000018,98.5,110.5,64672.0,64512.0,64013.99999999999
8876.0,1058,1.0,131.0,6.0,2021.0,8.0,70.0,red_bull_ring,157.5,70.0,12.0,20.0,64391.0,281.0,178.50000000000182,0.0,0.0,0,-414.0000000000073,-172.25000000000182,-160.0,-172.25000000000182,25.5,45.5,1,-191.0,-356.0000000000018,-498.0000000000073,-356.0000000000018,110.5,98.5,64672.0,64257.99999999999,64066.99999999999
8876.0,1058,1.0,131.0,6.0,2021.0,8.0,70.0,red_bull_ring,157.5,70.0,12.0,20.0,64391.0,281.0,178.50000000000182,0.0,0.0,0,-414.0000000000073,-172.25000000000182,-160.0,-172.25000000000182,25.5,45.5,1,-244.0,-356.0000000000018,-191.0,-356.0000000000018,98.5,110.5,64672.0,64257.99999999999,64013.99999999999
8897.0,1060,1.0,131.0,4.0,2021.0,9.0,70.0,red_bull_ring,157.5,80.0,5.0,12.0,64391.0,115.0,178.50000000000182,281.0,178.50000000000182,0,6.0,-172.25000000000182,-414.0000000000073,-172.25000000000182,45.5,25.5,1,-445.0000000000073,-356.0000000000018,-244.0,-356.0000000000018,110.5,98.5,64506.0,64512.0,64066.99999999999
8897.0,1060,1.0,131.0,4.0,2021.0,9.0,70.0,red_bull_ring,157.5,80.0,5.0,12.0,64391.0,115.0,178.50000000000182,281.0,178.50000000000182,0,6.0,-172.25000000000182,-414.0000000000073,-172.25000000000182,45.5,25.5,1,-498.0000000000073,-356.0000000000018,-445.0000000000073,-356.0000000000018,98.5,110.5,64506.0,64512.0,64013.99999999999
8897.0,1060,1.0,131.0,4.0,2021.0,9.0,70.0,red_bull_ring,157.5,80.0,5.0,12.0,64391.0,115.0,178.50000000000182,281.0,178.50000000000182,0,-248.00000000000728,-172.25000000000182,6.0,-172.25000000000182,25.5,45.5,1,-191.0,-356.0000000000018,-498.0000000000073,-356.0000000000018,110.5,98.5,64506.0,64257.99999999999,64066.99999999999
8897.0,1060,1.0,131.0,4.0,2021.0,9.0,70.0,red_bull_ring,157.5,80.0,5.0,12.0,64391.0,115.0,178.50000000000182,281.0,178.50000000000182,0,-248.00000000000728,-172.25000000000182,6.0,-172.25000000000182,25.5,45.5,1,-244.0,-356.0000000000018,-191.0,-356.0000000000018,98.5,110.5,64506.0,64257.99999999999,64013.99999999999
8875.0,1058,822.0,131.0,2.0,2021.0,8.0,70.0,red_bull_ring,157.5,90.0,6.0,20.0,64391.0,146.00000000000728,178.50000000000182,0.0,0.0,0,-94.00000000000728,-172.25000000000182,0.0,0.0,39.5,20.0,1,-408.0,-356.0000000000018,0.0,0.0,102.5,20.0,64537.00000000001,64443.0,64035.0
8875.0,1058,822.0,131.0,2.0,2021.0,8.0,70.0,red_bull_ring,157.5,90.0,6.0,20.0,64391.0,146.00000000000728,178.50000000000182,0.0,0.0,0,-94.00000000000728,-172.25000000000182,0.0,0.0,39.5,20.0,1,-393.9999999999927,-356.0000000000018,-408.0,-356.0000000000018,106.5,102.5,64537.00000000001,64443.0,64049.00000000001
8875.0,1058,822.0,131.0,2.0,2021.0,8.0,70.0,red_bull_ring,157.5,90.0,6.0,20.0,64391.0,146.00000000000728,178.50000000000182,0.0,0.0,0,-161.0,-172.25000000000182,-94.00000000000728,-172.25000000000182,29.5,39.5,1,-341.0000000000073,-356.0000000000018,-393.9999999999927,-356.0000000000018,102.5,106.5,64537.00000000001,64376.00000000001,64035.0
8875.0,1058,822.0,131.0,2.0,2021.0,8.0,70.0,red_bull_ring,157.5,90.0,6.0,20.0,64391.0,146.00000000000728,178.50000000000182,0.0,0.0,0,-161.0,-172.25000000000182,-94.00000000000728,-172.25000000000182,29.5,39.5,1,-327.0,-356.0000000000018,-341.0000000000073,-356.0000000000018,106.5,102.5,64537.00000000001,64376.00000000001,64049.00000000001
8898.0,1060,822.0,131.0,5.0,2021.0,9.0,70.0,red_bull_ring,157.5,75.0,7.0,6.0,64391.0,172.0,178.50000000000182,146.00000000000728,178.50000000000182,0,-120.0,-172.25000000000182,-161.0,-172.25000000000182,39.5,29.5,1,-408.0,-356.0000000000018,-327.0,-356.0000000000018,102.5,106.5,64563.0,64443.0,64035.0
8898.0,1060,822.0,131.0,5.0,2021.0,9.0,70.0,red_bull_ring,157.5,75.0,7.0,6.0,64391.0,172.0,178.50000000000182,146.00000000000728,178.50000000000182,0,-120.0,-172.25000000000182,-161.0,-172.25000000000182,39.5,29.5,1,-393.9999999999927,-356.0000000000018,-408.0,-356.0000000000018,106.5,102.5,64563.0,64443.0,64049.00000000001
8898.0,1060,822.0,131.0,5.0,2021.0,9.0,70.0,red_bull_ring,157.5,75.0,7.0,6.0,64391.0,172.0,178.50000000000182,146.00000000000728,178.50000000000182,0,-186.99999999999272,-172.25000000000182,-120.0,-172.25000000000182,29.5,39.5,1,-341.0000000000073,-356.0000000000018,-393.9999999999927,-356.0000000000018,102.5,106.5,64563.0,64376.00000000001,64035.0
