qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10055.0,1.0,131.0,2024.0,11.0,70.0,15.0,8.5,64391.0,1282.0,1288.5,0,-485.0,-371.5,10.0,12.0,0,-369.0,-184.5,15.0,70765.57,9.0
10060.0,847.0,131.0,2024.0,11.0,70.0,7.0,11.0,64391.0,1295.0,1288.5,0,-258.0,-371.5,4.0,16.0,0,0.0,-184.5,5.5,65877.78,6.0
10057.0,4.0,117.0,2024.0,11.0,70.0,13.0,7.0,64391.0,1264.0,1291.5,0,-474.0,-531.5000000000036,7.0,11.0,0,-270.0,-248.99999999999636,17.0,70164.39,8.0
10065.0,840.0,117.0,2024.0,11.0,70.0,7.0,12.0,64391.0,1319.0,1291.5,0,-589.0000000000073,-531.5000000000036,5.0,10.0,0,-227.99999999999272,-248.99999999999636,16.0,65008.63,2.0
10072.0,807.0,213.0,2024.0,11.0,70.0,14.0,14.0,64391.0,1349.0,1464.5,0,-378.0000000000073,-189.00000000000364,9.0,14.0,0,-271.9999999999927,-135.99999999999636,18.0,70811.93,10.0
10061.0,852.0,213.0,2024.0,11.0,70.0,7.0,16.0,64391.0,1393.0,1488.0,0,0.0,0.0,8.0,3.0,0,0.0,0.0,5.5,65886.53,7.0
10069.0,855.0,51.0,2024.0,11.0,70.0,7.0,17.0,64391.0,1427.0,1399.5,0,0.0,-41.5,6.0,3.0,0,0.0,0.0,5.5,65194.855,4.0
10064.0,839.0,214.0,2024.0,11.0,70.0,7.0,13.0,64391.0,1338.0,1231.0,0,-276.0,-241.4999999999964,3.0,17.0,0,0.0,-69.00000000000364,5.5,65608.19,5.0
10068.0,848.0,3.0,2024.0,11.0,70.0,2.0,8.5,64391.0,1282.0,1419.5,0,-286.0,-143.0,1.0,15.0,0,436.0,218.0,20.0,64723.45,1.0
10070.0,858.0,3.0,2024.0,11.0,70.0,5.0,18.0,64391.0,1557.0,1419.5,0,0.0,-143.0,2.0,3.0,0,0.0,218.0,5.5,65108.207,3.0
