qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
9076.0,1070,822.0,131.0,1.0,2021.0,18.0,32.0,rodriguez,82.5,95.0,1.0,20.0,77166.0,-439.0,-199.0,0.0,0.0,76727.0
9077.0,1070,1.0,131.0,6.0,2021.0,18.0,32.0,rodriguez,82.5,70.0,6.0,20.0,77166.0,41.0,-199.0,0.0,0.0,77207.0
9083.0,1070,844.0,6.0,2.0,2021.0,18.0,32.0,rodriguez,72.5,90.0,2.0,20.0,77166.0,-418.0,-33.5,0.0,0.0,76748.0
9081.0,1070,832.0,6.0,9.0,2021.0,18.0,32.0,rodriguez,72.5,55.00000000000001,9.0,20.0,77166.0,351.0,-33.5,0.0,0.0,77517.0
9078.0,1070,830.0,9.0,3.0,2021.0,18.0,32.0,rodriguez,80.0,85.0,3.0,20.0,77166.0,-378.0,-270.5,0.0,0.0,76788.0
9079.0,1070,815.0,9.0,5.0,2021.0,18.0,32.0,rodriguez,80.0,75.0,5.0,20.0,77166.0,-163.0,-270.5,0.0,0.0,77003.0
9080.0,1070,842.0,213.0,4.0,2021.0,18.0,32.0,rodriguez,72.5,80.0,4.0,20.0,77166.0,-258.0,-47.0,0.0,0.0,76908.0
9084.0,1070,852.0,213.0,7.0,2021.0,18.0,32.0,rodriguez,72.5,65.0,7.0,20.0,77166.0,164.0,-47.0,0.0,0.0,77330.0
9086.0,1070,20.0,117.0,8.0,2021.0,18.0,32.0,rodriguez,30.0,60.0,8.0,20.0,77166.0,336.0,2021.5,0.0,0.0,77502.0
9095.0,1070,840.0,117.0,20.0,2021.0,18.0,32.0,rodriguez,30.0,0.0,20.0,20.0,77166.0,3707.0,2021.5,0.0,0.0,80873.0
9085.0,1070,846.0,1.0,10.0,2021.0,18.0,32.0,rodriguez,45.0,50.0,10.0,20.0,77166.0,403.0,478.0,0.0,0.0,77569.0
9082.0,1070,817.0,1.0,12.0,2021.0,18.0,32.0,rodriguez,45.0,40.0,12.0,20.0,77166.0,553.0,478.0,0.0,0.0,77719.0
9087.0,1070,8.0,51.0,11.0,2021.0,18.0,32.0,rodriguez,40.0,45.0,11.0,20.0,77166.0,440.0,585.5,0.0,0.0,77606.0
9089.0,1070,841.0,51.0,13.0,2021.0,18.0,32.0,rodriguez,40.0,35.0,13.0,20.0,77166.0,731.0,585.5,0.0,0.0,77897.0
9088.0,1070,847.0,3.0,14.0,2021.0,18.0,32.0,rodriguez,22.5,30.0,14.0,20.0,77166.0,792.0,1191.0,0.0,0.0,77958.0
9092.0,1070,849.0,3.0,17.0,2021.0,18.0,32.0,rodriguez,22.5,15.0,17.0,20.0,77166.0,1590.0,1191.0,0.0,0.0,78756.0
9090.0,1070,839.0,214.0,15.0,2021.0,18.0,32.0,rodriguez,22.5,25.0,15.0,20.0,77166.0,960.0,1123.0,0.0,0.0,78126.0
9091.0,1070,4.0,214.0,16.0,2021.0,18.0,32.0,rodriguez,22.5,20.0,16.0,20.0,77166.0,1286.0,1123.0,0.0,0.0,78452.0
9093.0,1070,854.0,210.0,18.0,2021.0,18.0,32.0,rodriguez,7.5,10.0,18.0,20.0,77166.0,1692.0,1914.5,0.0,0.0,78858.0
9094.0,1070,853.0,210.0,19.0,2021.0,18.0,32.0,rodriguez,7.5,5.0,19.0,20.0,77166.0,2137.0,1914.5,0.0,0.0,79303.0
9575.0,1094,1.0,131.0,1.0,2022.0,20.0,32.0,rodriguez,82.5,95.0,1.0,6.0,77166.0,2003.0,2210.0,41.0,-199.0,79169.0
9574.0,1094,847.0,131.0,6.0,2022.0,20.0,32.0,rodriguez,82.5,70.0,6.0,14.0,77166.0,2417.0,2210.0,792.0,1191.0,79583.0
9573.0,1094,830.0,9.0,2.0,2022.0,20.0,32.0,rodriguez,77.5,90.0,2.0,3.0,77166.0,2056.0,2298.0,-378.0,-270.5,79222.0
9576.0,1094,815.0,9.0,7.0,2022.0,20.0,32.0,rodriguez,77.5,65.0,7.0,5.0,77166.0,2540.0,2298.0,-163.0,-270.5,79706.0
9579.0,1094,844.0,6.0,3.0,2022.0,20.0,32.0,rodriguez,80.0,85.0,3.0,2.0,77166.0,2339.0,2369.5,-418.0,-33.5,79505.0
9577.0,1094,832.0,6.0,5.0,2022.0,20.0,32.0,rodriguez,80.0,75.0,5.0,9.0,77166.0,2400.0,2369.5,351.0,-33.5,79566.0
9578.0,1094,822.0,51.0,4.0,2022.0,20.0,32.0,rodriguez,55.0,80.0,4.0,1.0,77166.0,2357.0,2737.0,-439.0,-199.0,79523.0
9584.0,1094,855.0,51.0,14.0,2022.0,20.0,32.0,rodriguez,55.0,30.0,14.0,20.0,77166.0,3117.0,2737.0,0.0,0.0,80283.0
9580.0,1094,846.0,1.0,8.0,2022.0,20.0,32.0,rodriguez,47.5,60.0,8.0,10.0,77166.0,2691.0,2902.0,403.0,478.0,79857.0
9583.0,1094,817.0,1.0,13.0,2022.0,20.0,32.0,rodriguez,47.5,35.0,13.0,12.0,77166.0,3113.0,2902.0,553.0,478.0,80279.0
9585.0,1094,852.0,213.0,9.0,2022.0,20.0,32.0,rodriguez,47.5,55.00000000000001,9.0,7.0,77166.0,2741.0,2915.5,164.0,-47.0,79907.0
9586.0,1094,842.0,213.0,12.0,2022.0,20.0,32.0,rodriguez,47.5,40.0,12.0,4.0,77166.0,3090.0,2915.5,-258.0,-47.0,80256.0
9582.0,1094,839.0,214.0,10.0,2022.0,20.0,32.0,rodriguez,47.5,50.0,10.0,15.0,77166.0,2779.0,2809.5,960.0,1123.0,79945.0
9581.0,1094,4.0,214.0,11.0,2022.0,20.0,32.0,rodriguez,47.5,45.0,11.0,16.0,77166.0,2840.0,2809.5,1286.0,1123.0,80006.0
9587.0,1094,825.0,210.0,15.0,2022.0,20.0,32.0,rodriguez,20.0,25.0,15.0,20.0,77166.0,3127.0,3190.0,0.0,0.0,80293.0
9588.0,1094,854.0,210.0,17.0,2022.0,20.0,32.0,rodriguez,20.0,15.0,16.5,18.0,77166.0,3253.0,3190.0,1692.0,1914.5,80419.0
9589.0,1094,20.0,117.0,16.0,2022.0,20.0,32.0,rodriguez,15.0,20.0,16.5,8.0,77166.0,3253.0,3303.5,336.0,2021.5,80419.0
9590.0,1094,840.0,117.0,18.0,2022.0,20.0,32.0,rodriguez,15.0,10.0,18.0,20.0,77166.0,3354.0,3303.5,3707.0,2021.5,80520.0
9591.0,1094,848.0,3.0,19.0,2022.0,20.0,32.0,rodriguez,2.5,5.0,19.0,20.0,77166.0,3693.0,3847.0,0.0,0.0,80859.0
9592.0,1094,849.0,3.0,20.0,2022.0,20.0,32.0,rodriguez,2.5,0.0,20.0,17.0,77166.0,4001.0,3847.0,1590.0,1191.0,81167.0
10233.0,1129,844.0,6.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,3.0,77166.0,,,2339.0,2369.5,
10236.0,1129,832.0,6.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,5.0,77166.0,,,2400.0,2369.5,
10234.0,1129,830.0,9.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,2.0,77166.0,,,2056.0,2298.0,
10239.0,1129,815.0,9.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,7.0,77166.0,,,2540.0,2298.0,
10235.0,1129,1.0,131.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,1.0,77166.0,,,2003.0,2210.0,
10240.0,1129,847.0,131.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,6.0,77166.0,,,2417.0,2210.0,
10237.0,1129,4.0,117.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,11.0,77166.0,,,2840.0,2809.5,
10245.0,1129,840.0,117.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,18.0,77166.0,,,3354.0,3303.5,
10238.0,1129,857.0,1.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,20.0,77166.0,,,0.0,0.0,
10246.0,1129,846.0,1.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,8.0,77166.0,,,2691.0,2902.0,
10241.0,1129,852.0,213.0,0.0,2024.0,20.0,32.0,rodriguez,150.0,100.0,0.0,9.0,77166.0,,,2741.0,2915.5,
10251.0,1129,817.0,213.0,0.0,2024.0,20.0,32.0,rodriguez,150.0,100.0,0.0,13.0,77166.0,,,3113.0,2902.0,
10252.0,1129,807.0,213.0,0.0,2024.0,20.0,32.0,rodriguez,150.0,100.0,0.0,20.0,77166.0,,,0.0,0.0,
10242.0,1129,822.0,51.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,4.0,77166.0,,,2357.0,2737.0,
10249.0,1129,855.0,51.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,14.0,77166.0,,,3117.0,2737.0,
10243.0,1129,842.0,214.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,12.0,77166.0,,,3090.0,2915.5,
10244.0,1129,839.0,214.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,10.0,77166.0,,,2779.0,2809.5,
10247.0,1129,825.0,210.0,0.0,2024.0,20.0,32.0,rodriguez,50.0,100.0,0.0,15.0,77166.0,,,3127.0,3190.0,
10248.0,1129,848.0,3.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,19.0,77166.0,,,3693.0,3847.0,
10250.0,1129,858.0,3.0,0.0,2024.0,20.0,32.0,rodriguez,100.0,100.0,0.0,20.0,77166.0,,,0.0,0.0,
