qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10235.0,1.0,131.0,2024.0,20.0,32.0,1.0,1.0,77166.0,2003.0,2210.0,0,-617.0,-817.5,6.0,79630.32,2.0
10240.0,847.0,131.0,2024.0,20.0,32.0,9.0,6.0,77166.0,2417.0,2210.0,0,-1018.0,-817.5,8.0,79642.3,3.0
10237.0,4.0,117.0,2024.0,20.0,32.0,14.0,11.0,77166.0,2840.0,2809.5,0,-734.0,-799.0,15.0,79700.805,15.0
10245.0,840.0,117.0,2024.0,20.0,32.0,8.0,18.0,77166.0,3354.0,3303.5,0,0.0,0.0,3.0,79657.56,4.0
10252.0,807.0,213.0,2024.0,20.0,32.0,4.0,20.0,77166.0,0.0,0.0,0,0.0,0.0,20.0,79693.24,11.0
10251.0,817.0,213.0,2024.0,20.0,32.0,5.0,13.0,77166.0,3113.0,2902.0,0,-954.0,-846.0,16.0,79694.24,13.0
10241.0,852.0,213.0,2024.0,20.0,32.0,6.0,9.0,77166.0,2741.0,2915.5,0,-318.0,-451.0,18.0,79667.71,7.0
10239.0,815.0,9.0,2024.0,20.0,32.0,12.0,7.0,77166.0,2540.0,2298.0,0,-1091.0,-873.5,10.0,79697.69,14.0
10234.0,830.0,9.0,2024.0,20.0,32.0,11.0,2.0,77166.0,2056.0,2298.0,0,-656.0,-873.5,9.0,79673.48,8.0
10242.0,822.0,51.0,2024.0,20.0,32.0,12.0,4.0,77166.0,2357.0,2737.0,0,-761.0,-784.0,11.0,79693.87,12.0
10249.0,855.0,51.0,2024.0,20.0,32.0,15.0,14.0,77166.0,3117.0,2737.0,0,-807.0,-784.0,17.0,79661.99,5.0
10236.0,832.0,6.0,2024.0,20.0,32.0,10.0,5.0,77166.0,2400.0,2369.5,0,-1006.0,-701.0,7.0,79665.13,6.0
10233.0,844.0,6.0,2024.0,20.0,32.0,7.0,3.0,77166.0,2339.0,2369.5,0,-396.0,-701.0,13.0,79606.37,1.0
10244.0,839.0,214.0,2024.0,20.0,32.0,3.0,10.0,77166.0,2779.0,2809.5,0,-864.0,-799.0,12.0,79677.125,9.0
10243.0,842.0,214.0,2024.0,20.0,32.0,2.0,12.0,77166.0,3090.0,2915.5,0,-584.0,-451.0,19.0,79683.36,10.0
