qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10235.0,1.0,131.0,2024.0,20.0,32.0,1.0,1.0,77166.0,2003.0,2210.0,0,-617.0,-817.5,2.0,6.0,0,-468.0,-477.0,13.0,78202.1,3.0
10240.0,847.0,131.0,2024.0,20.0,32.0,9.0,6.0,77166.0,2417.0,2210.0,0,-1018.0,-817.5,3.0,8.0,0,-486.0,-477.0,12.0,78259.0,7.0
10245.0,840.0,117.0,2024.0,20.0,32.0,8.0,18.0,77166.0,3354.0,3303.5,0,0.0,0.0,4.0,3.0,0,0.0,0.0,5.5,78275.52,9.0
10241.0,852.0,213.0,2024.0,20.0,32.0,6.0,9.0,77166.0,2741.0,2915.5,0,-318.0,-451.0,7.0,18.0,0,0.0,0.0,5.5,78141.93,1.0
10234.0,830.0,9.0,2024.0,20.0,32.0,11.0,2.0,77166.0,2056.0,2298.0,0,-656.0,-873.5,8.0,9.0,0,-791.0,-639.0,11.0,78214.414,4.0
10249.0,855.0,51.0,2024.0,20.0,32.0,15.0,14.0,77166.0,3117.0,2737.0,0,-807.0,-784.0,5.0,17.0,0,0.0,-180.5,5.5,78167.664,2.0
10236.0,832.0,6.0,2024.0,20.0,32.0,10.0,5.0,77166.0,2400.0,2369.5,0,-1006.0,-701.0,6.0,7.0,0,-209.0,-381.5,15.0,78314.805,10.0
10233.0,844.0,6.0,2024.0,20.0,32.0,7.0,3.0,77166.0,2339.0,2369.5,0,-396.0,-701.0,1.0,13.0,0,-554.0,-381.5,17.0,78262.08,8.0
10244.0,839.0,214.0,2024.0,20.0,32.0,3.0,10.0,77166.0,2779.0,2809.5,0,-864.0,-799.0,9.0,12.0,0,-71.0,-202.0,20.0,78240.99,6.0
10243.0,842.0,214.0,2024.0,20.0,32.0,2.0,12.0,77166.0,3090.0,2915.5,0,-584.0,-451.0,10.0,19.0,0,0.0,0.0,5.5,78223.625,5.0
