qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10075.0,1.0,131.0,2024.0,12.0,9.0,10.0,4.0,86720.0,2695.0,2693.5,0,-870.0,-750.0,14.0,104592.4,12.0
10080.0,847.0,131.0,2024.0,12.0,9.0,9.0,3.0,86720.0,2692.0,2693.5,0,-630.0,-750.0,16.0,104518.8,9.0
10077.0,4.0,117.0,2024.0,12.0,9.0,12.0,15.0,86720.0,3229.0,2978.5,0,-1581.0,-1047.0,13.0,104758.32,13.0
10085.0,840.0,117.0,2024.0,12.0,9.0,11.0,6.0,86720.0,2728.0,2978.5,0,-513.0,-1047.0,18.0,104767.51,14.0
10091.0,817.0,213.0,2024.0,12.0,9.0,2.0,14.0,86720.0,15213.0,15004.0,0,2422.0,1364.0,19.0,99177.29,2.0
10079.0,815.0,9.0,2024.0,12.0,9.0,13.0,16.0,86720.0,3248.0,2978.0,0,0.0,-863.0,3.5,103535.375,4.0
10074.0,830.0,9.0,2024.0,12.0,9.0,13.0,5.0,86720.0,2708.0,2978.0,0,-1726.0,-863.0,7.0,104783.85,15.0
10082.0,822.0,51.0,2024.0,12.0,9.0,13.0,11.0,86720.0,3078.0,3240.5,0,0.0,0.0,3.5,98780.37,1.0
10087.0,825.0,210.0,2024.0,12.0,9.0,1.0,20.0,86720.0,5658.0,4270.5,0,0.0,-353.5,3.5,103093.42,3.0
10076.0,832.0,6.0,2024.0,12.0,9.0,8.0,12.0,86720.0,3145.0,2784.0,0,-1600.0,-1191.0,11.0,104580.52,11.0
10073.0,844.0,6.0,2024.0,12.0,9.0,6.0,2.0,86720.0,2423.0,2784.0,0,-782.0,-1191.0,12.0,104352.94,8.0
10086.0,846.0,1.0,2024.0,12.0,9.0,3.0,1.0,86720.0,2197.0,2675.5,0,-875.0,-1452.0,9.0,104205.68,5.0
10078.0,857.0,1.0,2024.0,12.0,9.0,4.0,14.0,86720.0,3154.0,2675.5,0,-2029.0,-1452.0,8.0,104258.02,6.0
10088.0,848.0,3.0,2024.0,12.0,9.0,5.0,7.0,86720.0,2746.0,2949.5,0,-1399.0,-1120.5,10.0,104260.28,7.0
10090.0,858.0,3.0,2024.0,12.0,9.0,7.0,13.0,86720.0,3153.0,2949.5,0,-842.0,-1120.5,20.0,104564.234,10.0
