qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q1,q2
8914.0,1061,1.0,131.0,2.0,2021.0,10.0,9.0,silverstone,72.5,90.0,2.0,20.0,86720.0,66.0,416.5,0.0,0.0,0,-763.0,-743.0,0.0,0.0,6.0,20.0,86786.0,86023.0
8916.0,1061,822.0,131.0,9.0,2021.0,10.0,9.0,silverstone,72.5,55.00000000000001,9.0,20.0,86720.0,767.0,416.5,0.0,0.0,0,-723.0,-743.0,0.0,0.0,8.0,20.0,87487.0,86764.0
8924.0,1061,4.0,214.0,11.0,2021.0,10.0,9.0,silverstone,55.0,45.0,11.0,20.0,86720.0,860.0,777.5,0.0,0.0,0,-335.0,-205.0,0.0,0.0,16.0,20.0,87580.0,87245.0
8926.0,1061,839.0,214.0,7.0,2021.0,10.0,9.0,silverstone,55.0,65.0,7.0,20.0,86720.0,695.0,777.5,0.0,0.0,0,-75.0,-205.0,0.0,0.0,18.0,20.0,87415.0,87340.0
8930.0,1061,8.0,51.0,17.0,2021.0,10.0,9.0,silverstone,27.5,15.0,17.0,20.0,86720.0,1342.0,1108.5,0.0,0.0,1,0.0,11.0,0.0,0.0,3.0,20.0,88062.0,0.0
8927.0,1061,841.0,51.0,12.0,2021.0,10.0,9.0,silverstone,27.5,40.0,12.0,20.0,86720.0,875.0,1108.5,0.0,0.0,0,22.0,11.0,0.0,0.0,19.0,20.0,87595.0,87617.0
8923.0,1061,20.0,117.0,10.0,2021.0,10.0,9.0,silverstone,37.5,50.0,10.0,20.0,86720.0,773.0,1035.0,0.0,0.0,0,-390.0,-371.0,0.0,0.0,13.0,20.0,87493.0,87103.0
8928.0,1061,840.0,117.0,15.0,2021.0,10.0,9.0,silverstone,37.5,25.0,15.0,20.0,86720.0,1297.0,1035.0,0.0,0.0,0,-352.0,-371.0,0.0,0.0,20.0,20.0,88017.0,87665.0
8918.0,1061,815.0,9.0,4.0,2021.0,10.0,9.0,silverstone,87.5,80.0,4.0,20.0,86720.0,401.0,216.0,0.0,0.0,0,-48.0,-242.0,0.0,0.0,11.0,20.0,87121.0,87073.0
8915.0,1061,830.0,9.0,1.0,2021.0,10.0,9.0,silverstone,87.5,95.0,1.0,20.0,86720.0,31.0,216.0,0.0,0.0,0,-436.0,-242.0,0.0,0.0,7.0,20.0,86751.0,86315.0
8920.0,1061,817.0,1.0,5.0,2021.0,10.0,9.0,silverstone,67.5,75.0,5.0,20.0,86720.0,603.0,663.5,0.0,0.0,0,-198.0,-211.0,0.0,0.0,14.0,20.0,87323.0,87125.0
8919.0,1061,846.0,1.0,8.0,2021.0,10.0,9.0,silverstone,67.5,60.0,8.0,20.0,86720.0,724.0,663.5,0.0,0.0,0,-224.0,-211.0,0.0,0.0,15.0,20.0,87444.0,87220.0
8922.0,1061,832.0,6.0,6.0,2021.0,10.0,9.0,silverstone,77.5,70.0,6.0,20.0,86720.0,617.0,474.0,0.0,0.0,0,-489.0,-310.5,0.0,0.0,9.0,20.0,87337.0,86848.0
8917.0,1061,844.0,6.0,3.0,2021.0,10.0,9.0,silverstone,77.5,85.0,3.0,20.0,86720.0,331.0,474.0,0.0,0.0,0,-132.0,-310.5,0.0,0.0,10.0,20.0,87051.0,86919.0
8925.0,1061,842.0,213.0,13.0,2021.0,10.0,9.0,silverstone,27.5,35.0,13.0,20.0,86720.0,880.0,1101.5,0.0,0.0,0,-327.0,-163.5,0.0,0.0,17.0,20.0,87600.0,87273.0
8929.0,1061,852.0,213.0,16.0,2021.0,10.0,9.0,silverstone,27.5,20.0,16.0,20.0,86720.0,1323.0,1101.5,0.0,0.0,1,0.0,-163.5,0.0,0.0,3.0,20.0,88043.0,0.0
8921.0,1061,847.0,3.0,14.0,2021.0,10.0,9.0,silverstone,20.0,30.0,14.0,20.0,86720.0,951.0,1242.5,0.0,0.0,0,-591.0,-295.5,0.0,0.0,12.0,20.0,87671.0,87080.0
8931.0,1061,849.0,3.0,18.0,2021.0,10.0,9.0,silverstone,20.0,10.0,18.0,20.0,86720.0,1534.0,1242.5,0.0,0.0,1,0.0,-295.5,0.0,0.0,3.0,20.0,88254.0,0.0
8933.0,1061,853.0,210.0,20.0,2021.0,10.0,9.0,silverstone,2.5,0.0,20.0,20.0,86720.0,2331.0,2174.5,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,20.0,89051.0,0.0
8932.0,1061,854.0,210.0,19.0,2021.0,10.0,9.0,silverstone,2.5,5.0,19.0,20.0,86720.0,2018.0,2174.5,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,20.0,88738.0,0.0
