qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10080.0,847.0,131.0,2024.0,12.0,9.0,9.0,3.0,86720.0,2692.0,2693.5,0,-630.0,-750.0,9.0,16.0,0,-1627.0,-1480.5,16.0,102161.02,10.0
10091.0,817.0,213.0,2024.0,12.0,9.0,2.0,14.0,86720.0,15213.0,15004.0,0,2422.0,1364.0,2.0,19.0,0,0.0,131.5,5.5,97301.07,3.0
10079.0,815.0,9.0,2024.0,12.0,9.0,13.0,16.0,86720.0,3248.0,2978.0,0,0.0,-863.0,4.0,3.5,0,0.0,-491.0,5.5,95556.79,1.0
10082.0,822.0,51.0,2024.0,12.0,9.0,13.0,11.0,86720.0,3078.0,3240.5,0,0.0,0.0,1.0,3.5,0,0.0,0.0,5.5,97654.164,4.0
10087.0,825.0,210.0,2024.0,12.0,9.0,1.0,20.0,86720.0,5658.0,4270.5,0,0.0,-353.5,3.0,3.5,0,0.0,0.0,5.5,95712.836,2.0
10073.0,844.0,6.0,2024.0,12.0,9.0,6.0,2.0,86720.0,2423.0,2784.0,0,-782.0,-1191.0,8.0,12.0,0,-1225.0,-1171.0,14.0,102021.86,7.0
10086.0,846.0,1.0,2024.0,12.0,9.0,3.0,1.0,86720.0,2197.0,2675.5,0,-875.0,-1452.0,5.0,9.0,0,-1081.0,-917.0,12.0,100812.086,5.0
10078.0,857.0,1.0,2024.0,12.0,9.0,4.0,14.0,86720.0,3154.0,2675.5,0,-2029.0,-1452.0,6.0,8.0,0,-753.0,-917.0,13.0,100968.16,6.0
10088.0,848.0,3.0,2024.0,12.0,9.0,5.0,7.0,86720.0,2746.0,2949.5,0,-1399.0,-1120.5,7.0,10.0,0,-537.0,-268.5,18.0,102023.52,8.0
10090.0,858.0,3.0,2024.0,12.0,9.0,7.0,13.0,86720.0,3153.0,2949.5,0,-842.0,-1120.5,10.0,20.0,0,0.0,-268.5,5.5,102024.52,9.0
