qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10115.0,1.0,131.0,2024.0,14.0,13.0,14.0,3.0,103664.0,14899.0,15135.0,0,-6218.0,-6324.0,11.0,107402.06,14.0
10117.0,4.0,117.0,2024.0,14.0,13.0,1.0,5.0,103664.0,15170.0,15584.5,0,-6083.0,-6776.5,14.0,107073.56,1.0
10125.0,840.0,117.0,2024.0,14.0,13.0,10.0,13.0,103664.0,15999.0,15584.5,0,-7470.0,-6776.5,9.0,107183.29,7.0
10132.0,807.0,213.0,2024.0,14.0,13.0,4.0,20.0,103664.0,19502.0,17929.0,0,0.0,-2930.0,3.0,107123.734,2.0
10121.0,852.0,213.0,2024.0,14.0,13.0,3.0,9.0,103664.0,15380.0,16937.5,0,-5896.0,-2948.0,16.0,107136.49,3.0
10119.0,815.0,9.0,2024.0,14.0,13.0,15.0,7.0,103664.0,15235.0,15043.0,0,-6546.0,-6138.5,12.0,107403.06,15.0
10114.0,830.0,9.0,2024.0,14.0,13.0,5.0,2.0,103664.0,14851.0,15043.0,0,-5731.0,-6138.5,15.0,107163.95,5.0
10129.0,855.0,51.0,2024.0,14.0,13.0,9.0,17.0,103664.0,17168.0,16494.0,0,0.0,-2395.0,3.0,107225.26,9.0
10116.0,832.0,6.0,2024.0,14.0,13.0,8.0,4.0,103664.0,15024.0,14830.0,0,-6977.0,-6630.0,7.0,107164.44,6.0
10124.0,839.0,214.0,2024.0,14.0,13.0,10.0,12.0,103664.0,15970.0,15908.5,0,-3262.0,-4551.0,20.0,107198.98,8.0
10123.0,842.0,214.0,2024.0,14.0,13.0,10.0,11.0,103664.0,15847.0,15908.5,0,-5840.0,-4551.0,17.0,107233.94,10.0
10126.0,846.0,1.0,2024.0,14.0,13.0,13.0,14.0,103664.0,16317.0,15762.5,0,-7729.0,-7533.5,10.0,107275.79,13.0
10118.0,857.0,1.0,2024.0,14.0,13.0,2.0,6.0,103664.0,15208.0,15762.5,0,-7338.0,-7533.5,6.0,107141.78,4.0
10128.0,848.0,3.0,2024.0,14.0,13.0,6.0,16.0,103664.0,16650.0,17260.5,0,0.0,0.0,3.0,107234.164,11.0
10130.0,858.0,3.0,2024.0,14.0,13.0,6.0,18.0,103664.0,17871.0,17260.5,0,0.0,0.0,3.0,107236.75,12.0
