qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10117.0,4.0,117.0,2024.0,14.0,13.0,1.0,5.0,103664.0,15170.0,15584.5,0,-6083.0,-6776.5,1.0,14.0,0,-4908.0,-4130.0,19.0,108375.41,4.0
10125.0,840.0,117.0,2024.0,14.0,13.0,10.0,13.0,103664.0,15999.0,15584.5,0,-7470.0,-6776.5,7.0,9.0,0,-3352.0,-4130.0,20.0,108436.66,9.0
10132.0,807.0,213.0,2024.0,14.0,13.0,4.0,20.0,103664.0,19502.0,17929.0,0,0.0,-2930.0,2.0,3.0,0,0.0,0.0,5.5,108313.336,2.0
10121.0,852.0,213.0,2024.0,14.0,13.0,3.0,9.0,103664.0,15380.0,16937.5,0,-5896.0,-2948.0,3.0,16.0,0,0.0,0.0,5.5,108391.24,6.0
10114.0,830.0,9.0,2024.0,14.0,13.0,5.0,2.0,103664.0,14851.0,15043.0,0,-5731.0,-6138.5,5.0,15.0,0,-6616.0,-5962.0,11.0,108442.16,10.0
10129.0,855.0,51.0,2024.0,14.0,13.0,9.0,17.0,103664.0,17168.0,16494.0,0,0.0,-2395.0,9.0,3.0,0,0.0,0.0,5.5,108409.04,8.0
10116.0,832.0,6.0,2024.0,14.0,13.0,8.0,4.0,103664.0,15024.0,14830.0,0,-6977.0,-6630.0,6.0,7.0,0,-4559.0,-4794.0,15.0,108358.0,3.0
10124.0,839.0,214.0,2024.0,14.0,13.0,10.0,12.0,103664.0,15970.0,15908.5,0,-3262.0,-4551.0,8.0,20.0,0,0.0,0.0,5.5,108404.92,7.0
10123.0,842.0,214.0,2024.0,14.0,13.0,10.0,11.0,103664.0,15847.0,15908.5,0,-5840.0,-4551.0,10.0,17.0,0,0.0,0.0,5.5,108389.78,5.0
10118.0,857.0,1.0,2024.0,14.0,13.0,2.0,6.0,103664.0,15208.0,15762.5,0,-7338.0,-7533.5,4.0,6.0,0,-4169.0,-4376.0,16.0,108264.94,1.0
