qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
9915.0,1.0,131.0,2024.0,4.0,22.0,2.0,11.0,88877.0,2029.0,2008.5,0,-463.0,-431.5,10.0,91073.84,4.0
9920.0,847.0,131.0,2024.0,4.0,22.0,11.0,7.0,88877.0,1988.0,2008.5,0,-400.0,-431.5,12.0,91142.266,10.0
9917.0,4.0,117.0,2024.0,4.0,22.0,2.0,4.0,88877.0,1726.0,1772.5,0,-260.0,-299.5,7.0,91072.84,3.0
9925.0,840.0,117.0,2024.0,4.0,22.0,10.0,19.0,88877.0,2542.0,2460.5,0,0.0,-300.0,3.0,91139.95,9.0
9932.0,807.0,213.0,2024.0,4.0,22.0,1.0,20.0,88877.0,0.0,0.0,0,0.0,0.0,20.0,91056.125,2.0
9931.0,817.0,213.0,2024.0,4.0,22.0,4.0,8.0,88877.0,2003.0,2003.5,0,-221.0,-314.5,16.0,91084.45,6.0
9921.0,852.0,213.0,2024.0,4.0,22.0,6.0,12.0,88877.0,2253.0,2349.0,0,-322.0,-161.0,18.0,91203.74,14.0
9919.0,815.0,9.0,2024.0,4.0,22.0,5.0,5.0,88877.0,1745.0,1546.0,0,-697.0,-287.5,6.0,91036.766,1.0
9914.0,830.0,9.0,2024.0,4.0,22.0,12.0,1.0,88877.0,1347.0,1546.0,0,122.0,-287.5,8.0,91144.836,11.0
9922.0,822.0,51.0,2024.0,4.0,22.0,9.0,14.0,88877.0,2349.0,2183.0,0,-517.0,-229.0,17.0,91110.96,8.0
9929.0,855.0,51.0,2024.0,4.0,22.0,13.0,10.0,88877.0,2017.0,2183.0,0,59.0,-229.0,19.0,91274.15,15.0
9916.0,832.0,6.0,2024.0,4.0,22.0,14.0,2.0,88877.0,1459.0,1492.0,0,108.0,96.0,11.0,91152.83,13.0
9924.0,839.0,214.0,2024.0,4.0,22.0,8.0,6.0,88877.0,1819.0,1772.5,0,-339.0,-299.5,9.0,91103.914,7.0
9923.0,842.0,214.0,2024.0,4.0,22.0,7.0,17.0,88877.0,2445.0,2349.0,0,0.0,-161.0,3.0,91081.45,5.0
9928.0,848.0,3.0,2024.0,4.0,22.0,15.0,16.0,88877.0,2434.0,2534.0,0,0.0,0.0,3.0,91152.62,12.0
9930.0,858.0,3.0,2024.0,4.0,22.0,15.0,20.0,88877.0,0.0,0.0,0,0.0,0.0,20.0,91275.15,16.0
