qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
9915.0,1.0,131.0,2024.0,4.0,22.0,2.0,11.0,88877.0,2029.0,2008.5,0,-463.0,-431.5,4.0,10.0,0,-182.0,-129.0,16.0,90301.73,8.0
9920.0,847.0,131.0,2024.0,4.0,22.0,11.0,7.0,88877.0,1988.0,2008.5,0,-400.0,-431.5,10.0,12.0,0,-76.0,-129.0,18.0,90192.75,2.0
9917.0,4.0,117.0,2024.0,4.0,22.0,2.0,4.0,88877.0,1726.0,1772.5,0,-260.0,-299.5,3.0,7.0,0,-21.0,-106.5,17.0,90303.52,9.0
9925.0,840.0,117.0,2024.0,4.0,22.0,10.0,19.0,88877.0,2542.0,2460.5,0,0.0,-300.0,9.0,3.0,0,0.0,-51.0,5.5,90186.625,1.0
9932.0,807.0,213.0,2024.0,4.0,22.0,1.0,20.0,88877.0,0.0,0.0,0,0.0,0.0,2.0,20.0,0,0.0,0.0,20.0,90309.65,10.0
9931.0,817.0,213.0,2024.0,4.0,22.0,4.0,8.0,88877.0,2003.0,2003.5,0,-221.0,-314.5,6.0,16.0,0,0.0,265.0,5.5,90205.52,7.0
9919.0,815.0,9.0,2024.0,4.0,22.0,5.0,5.0,88877.0,1745.0,1546.0,0,-697.0,-287.5,1.0,6.0,0,-216.0,-629.0,14.0,90198.79,5.0
9922.0,822.0,51.0,2024.0,4.0,22.0,9.0,14.0,88877.0,2349.0,2183.0,0,-517.0,-229.0,8.0,17.0,0,0.0,0.0,5.5,90199.79,6.0
9924.0,839.0,214.0,2024.0,4.0,22.0,8.0,6.0,88877.0,1819.0,1772.5,0,-339.0,-299.5,7.0,9.0,0,-192.0,-106.5,15.0,90196.58,3.0
9923.0,842.0,214.0,2024.0,4.0,22.0,7.0,17.0,88877.0,2445.0,2349.0,0,0.0,-161.0,5.0,3.0,0,0.0,0.0,5.5,90197.58,4.0
