qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
9353.0,1082,830.0,9.0,1.0,2022.0,9.0,7.0,villeneuve,65.0,95.0,1.0,20.0,79092.0,13127.0,13982.0,0.0,0.0,92219.0
9365.0,1082,815.0,9.0,13.0,2022.0,9.0,7.0,villeneuve,65.0,35.0,13.0,20.0,79092.0,14837.0,13982.0,0.0,0.0,93929.0
9354.0,1082,4.0,214.0,2.0,2022.0,9.0,7.0,villeneuve,80.0,90.0,2.0,20.0,79092.0,13185.0,13552.5,0.0,0.0,92277.0
9359.0,1082,839.0,214.0,6.0,2022.0,9.0,7.0,villeneuve,80.0,70.0,6.0,20.0,79092.0,13920.0,13552.5,0.0,0.0,93012.0
9355.0,1082,832.0,6.0,3.0,2022.0,9.0,7.0,villeneuve,80.0,85.0,3.0,20.0,79092.0,13689.0,13802.5,0.0,0.0,92781.0
9367.0,1082,844.0,6.0,5.0,2022.0,9.0,7.0,villeneuve,80.0,75.0,5.0,20.0,79092.0,13916.0,13802.5,0.0,0.0,93008.0
9357.0,1082,825.0,210.0,4.0,2022.0,9.0,7.0,villeneuve,62.5,80.0,4.0,20.0,79092.0,13865.0,14240.0,0.0,0.0,92957.0
9358.0,1082,854.0,210.0,11.0,2022.0,9.0,7.0,villeneuve,62.5,45.0,11.0,20.0,79092.0,14615.0,14240.0,0.0,0.0,93707.0
9360.0,1082,847.0,131.0,7.0,2022.0,9.0,7.0,villeneuve,52.5,65.0,7.0,20.0,79092.0,14068.0,14408.5,0.0,0.0,93160.0
9356.0,1082,1.0,131.0,12.0,2022.0,9.0,7.0,villeneuve,52.5,40.0,12.0,20.0,79092.0,14749.0,14408.5,0.0,0.0,93841.0
9361.0,1082,817.0,1.0,8.0,2022.0,9.0,7.0,villeneuve,42.5,60.0,8.0,20.0,79092.0,14544.0,14759.0,0.0,0.0,93636.0
9366.0,1082,846.0,1.0,15.0,2022.0,9.0,7.0,villeneuve,42.5,25.0,15.0,20.0,79092.0,14974.0,14759.0,0.0,0.0,94066.0
9363.0,1082,822.0,51.0,9.0,2022.0,9.0,7.0,villeneuve,52.5,55.00000000000001,9.0,20.0,79092.0,14597.0,14598.5,0.0,0.0,93689.0
9362.0,1082,855.0,51.0,10.0,2022.0,9.0,7.0,villeneuve,52.5,50.0,10.0,20.0,79092.0,14600.0,14598.5,0.0,0.0,93692.0
9364.0,1082,848.0,3.0,14.0,2022.0,9.0,7.0,villeneuve,17.5,30.0,14.0,20.0,79092.0,14955.0,15761.5,0.0,0.0,94047.0
9371.0,1082,849.0,3.0,19.0,2022.0,9.0,7.0,villeneuve,17.5,5.0,19.0,20.0,79092.0,16568.0,15761.5,0.0,0.0,95660.0
9368.0,1082,842.0,213.0,16.0,2022.0,9.0,7.0,villeneuve,10.0,20.0,16.0,20.0,79092.0,15400.0,16441.5,0.0,0.0,94492.0
9372.0,1082,852.0,213.0,20.0,2022.0,9.0,7.0,villeneuve,10.0,0.0,20.0,20.0,79092.0,17483.0,16441.5,0.0,0.0,96575.0
9369.0,1082,20.0,117.0,17.0,2022.0,9.0,7.0,villeneuve,12.5,15.0,17.0,20.0,79092.0,15420.0,15930.0,0.0,0.0,94512.0
9370.0,1082,840.0,117.0,18.0,2022.0,9.0,7.0,villeneuve,12.5,10.0,18.0,20.0,79092.0,16440.0,15930.0,0.0,0.0,95532.0
9773.0,1106,830.0,9.0,1.0,2023.0,8.0,7.0,villeneuve,75.0,95.0,1.0,1.0,79092.0,1759.0,2409.0,13127.0,13982.0,80851.0
9784.0,1106,815.0,9.0,9.0,2023.0,8.0,7.0,villeneuve,75.0,55.00000000000001,9.0,13.0,79092.0,3059.0,2409.0,14837.0,13982.0,82151.0
9775.0,1106,4.0,117.0,2.0,2023.0,8.0,7.0,villeneuve,60.0,90.0,2.0,2.0,79092.0,2389.0,2987.0,13185.0,13552.5,81481.0
9785.0,1106,840.0,117.0,14.0,2023.0,8.0,7.0,villeneuve,60.0,30.0,14.0,18.0,79092.0,3585.0,2987.0,16440.0,15930.0,82677.0
9776.0,1106,1.0,131.0,3.0,2023.0,8.0,7.0,villeneuve,82.5,85.0,3.0,12.0,79092.0,2462.0,2584.0,14749.0,14408.5,81554.0
9777.0,1106,847.0,131.0,4.0,2023.0,8.0,7.0,villeneuve,82.5,80.0,4.0,7.0,79092.0,2706.0,2584.0,14068.0,14408.5,81798.0
9783.0,1106,844.0,6.0,5.0,2023.0,8.0,7.0,villeneuve,60.0,75.0,5.0,5.0,79092.0,2751.0,2953.5,13916.0,13802.5,81843.0
9780.0,1106,832.0,6.0,11.0,2023.0,8.0,7.0,villeneuve,60.0,45.0,11.0,3.0,79092.0,3156.0,2953.5,13689.0,13802.5,82248.0
9782.0,1106,848.0,3.0,6.0,2023.0,8.0,7.0,villeneuve,37.5,70.0,6.0,14.0,79092.0,2846.0,3545.5,14955.0,15761.5,81938.0
9791.0,1106,858.0,3.0,19.0,2023.0,8.0,7.0,villeneuve,37.5,5.0,19.0,20.0,79092.0,4245.0,3545.5,0.0,0.0,83337.0
