qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10015.0,1.0,131.0,2024.0,9.0,7.0,6.0,3.0,79092.0,2462.0,2584.0,0,-1128.0,-1414.0,15.0,81866.336,10.0
10020.0,847.0,131.0,2024.0,9.0,7.0,1.0,4.0,79092.0,2706.0,2584.0,0,-1700.0,-1414.0,12.0,81763.6,5.0
10017.0,4.0,117.0,2024.0,9.0,7.0,4.0,2.0,79092.0,2389.0,2987.0,0,-1705.0,-1449.0,10.0,81865.17,9.0
10025.0,840.0,117.0,2024.0,9.0,7.0,3.0,14.0,79092.0,3585.0,2987.0,0,-1193.0,-1449.0,18.0,81820.22,7.0
10031.0,817.0,213.0,2024.0,9.0,7.0,9.0,8.0,79092.0,14544.0,14759.0,0,-7261.0,-3630.5,17.0,81950.7,13.0
10021.0,852.0,213.0,2024.0,9.0,7.0,14.0,16.0,79092.0,3654.0,3849.5,0,0.0,0.0,3.0,81900.56,11.0
10019.0,815.0,9.0,2024.0,9.0,7.0,12.0,9.0,79092.0,3059.0,2409.0,0,-1192.0,-1475.5,17.0,82008.44,14.0
10014.0,830.0,9.0,2024.0,9.0,7.0,8.0,1.0,79092.0,1759.0,2409.0,0,-1759.0,-1475.5,7.0,81733.17,4.0
10022.0,822.0,51.0,2024.0,9.0,7.0,12.0,12.0,79092.0,3240.0,3745.0,0,-511.0,-255.5,20.0,82108.48,15.0
10016.0,832.0,6.0,2024.0,9.0,7.0,15.0,11.0,79092.0,3156.0,2953.5,0,-2392.0,-1810.0,11.0,81903.836,12.0
10013.0,844.0,6.0,2024.0,9.0,7.0,2.0,5.0,79092.0,2751.0,2953.5,0,-1228.0,-1810.0,16.0,81729.65,3.0
10024.0,839.0,214.0,2024.0,9.0,7.0,7.0,8.0,79092.0,3022.0,3408.0,0,-1708.0,-854.0,14.0,81825.336,8.0
10023.0,842.0,214.0,2024.0,9.0,7.0,5.0,17.0,79092.0,3794.0,3408.0,0,0.0,-854.0,3.0,81819.03,6.0
10026.0,846.0,1.0,2024.0,9.0,7.0,11.0,7.0,79092.0,2906.0,3002.0,0,-2651.0,-2591.0,8.0,81635.74,2.0
10028.0,848.0,3.0,2024.0,9.0,7.0,10.0,6.0,79092.0,2846.0,3545.5,0,-3213.0,-1606.5,6.0,81575.76,1.0
